epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean
1.0,1.372177004814148,1.2720789909362793,1.0009801387786865,5.18349552154541,3.576079845428467,3.475928544998169,1.0015127658843994,3.4759287710935234,1.4674881273987777,-0.22508683689502973,-0.0015127701493229395,1.0,-0.47708894878706193,2.668552586785389e-07,5.387357234954834,0.019812684506177902,1.0,1.817624568939209
2.0,1.1135445833206177,1.0133932828903198,1.0015127658843994,2.880965232849121,3.3560962677001953,3.25590443611145,1.0019184350967407,3.2559044971874345,1.3793166446821055,-0.143638500393385,-0.0019184614708547265,1.0,-0.44413228281152806,2.076211474691133e-06,5.429520606994629,0.01907307095825672,1.0,1.8169076442718506
3.0,0.9888902306556702,0.888698399066925,1.0019184350967407,2.4349286556243896,3.1537134647369385,3.0535454750061035,1.0016802549362183,3.053545421670156,1.3218387678661014,-0.06964796375136073,-0.0016803145635815309,1.0,-0.45397055774414263,1.150734398196085e-06,5.451975345611572,0.02003149874508381,1.0,1.8157832622528076
4.0,0.8983618021011353,0.7981937527656555,1.0016802549362183,1.8176625967025757,2.9658591747283936,2.86576771736145,1.0009150505065918,2.865767408792822,1.277893691017322,-0.0014716278710062054,-0.0009150518544571717,1.0,-0.49116732324279494,1.0382188054447307e-07,5.445160388946533,0.02219073288142681,1.0,1.8157532215118408
