epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean
1.0,1.5613933801651,1.5613933801651,1.1542465686798096,10.711787223815918,3.029639482498169,3.029639482498169,1.154558777809143,3.0296396730460966,1.3270317445505608,-0.09157023903153723,-0.15455884640890538,1.0,-0.7551336691204961,1.9100652331055023e-17,5.420252799987793,0.2051171511411667,1.0,1.9573988914489746
2.0,1.0642915964126587,1.0642915964126587,1.154558777809143,4.38290548324585,3.0798168182373047,3.0798168182373047,1.1553754806518555,3.079816859947732,1.3122617859714383,-0.10849068555459018,-0.1553754754532471,1.0,-0.7822549399457577,2.2934182935937947e-19,5.4370598793029785,0.2040274739265442,1.0,1.95853853225708
3.0,0.9210275411605835,0.9210275411605835,1.1553754806518555,3.3727028369903564,3.0948362350463867,3.0948362350463867,1.157124400138855,3.0948358278860333,1.3119618472868972,-0.11190962927124253,-0.1571243090550969,1.0,-0.8063294706068826,2.5721757188071723e-21,5.433046340942383,0.20985285937786102,1.0,1.9590214490890503
4.0,0.8456099033355713,0.8456099033355713,1.157124400138855,3.7829673290252686,3.0036866664886475,3.0036866664886475,1.1589140892028809,3.0036867006826053,1.2958702211282358,-0.07570441541310043,-0.15891401954416862,1.0,-0.8190799901377198,1.8334298136881546e-22,5.411163330078125,0.2183046191930771,1.0,1.9589956998825073
5.0,0.7521231770515442,0.7521231770515442,1.1589140892028809,2.6966638565063477,2.87520170211792,2.87520170211792,1.1603387594223022,2.8752014040310745,1.2747399755400803,-0.02636897603401391,-0.16033871255016618,1.0,-0.833891021802684,6.488552811602747e-24,5.377177715301514,0.22711724042892456,1.0,1.9583247900009155
6.0,0.6798823475837708,0.6798823475837708,1.1603387594223022,1.0899220705032349,2.7685468196868896,2.7685468196868896,1.1613818407058716,2.7685468139606138,1.254762828914505,0.013681622469009577,-0.16138182837584542,1.0,-0.8393152759677364,1.756221489047281e-24,5.339686393737793,0.23463314771652222,1.0,1.957120418548584
7.0,0.6548324823379517,0.6548324823379517,1.1613818407058716,1.5232183933258057,2.736807107925415,2.736807107925415,1.162450909614563,2.736807208332298,1.2495027500359963,0.02545561016005482,-0.1624509728095473,1.0,-0.8438765806065304,5.633419581223052e-25,5.29649019241333,0.24226011335849762,1.0,1.955323338508606
8.0,0.6378888487815857,0.6378888487815857,1.162450909614563,1.9540190696716309,2.736563205718994,2.736563205718994,1.163602590560913,2.7365632613670456,1.2483031219435912,0.02543307379598614,-0.16360258318381993,1.0,-0.8457257581627983,3.516096701507128e-25,5.2497782707214355,0.24977917969226837,1.0,1.9530158042907715
9.0,0.6096332669258118,0.6096332669258118,1.163602590560913,1.5663795471191406,2.755136251449585,2.755136251449585,1.1648426055908203,2.755135889785621,1.2505189263205412,0.01850642843161752,-0.1648426900922756,1.0,-0.8477862702969252,2.064288871074893e-25,5.200504779815674,0.2569737732410431,1.0,1.950202226638794
10.0,0.5778205394744873,0.5778205394744873,1.1648426055908203,0.7837582230567932,2.776658535003662,2.776658535003662,1.1661527156829834,2.7766585866276685,1.2529031168881126,0.010836651570421685,-0.16615272087167093,1.0,-0.8478214927265684,2.0454417721335202e-25,5.149799823760986,0.26359689235687256,1.0,1.9469020366668701
11.0,0.5589977502822876,0.5589977502822876,1.1661527156829834,0.9334227442741394,2.7784202098846436,2.7784202098846436,1.1675008535385132,2.778419917399573,1.2531016921045992,0.010126412855259151,-0.16750082416519863,1.0,-0.849776337571766,1.2249539296911698e-25,5.097683429718018,0.26944833993911743,1.0,1.9431405067443848
12.0,0.5435135364532471,0.5435135364532471,1.1675008535385132,1.286220908164978,2.7607624530792236,2.7607624530792236,1.1688765287399292,2.76076244355915,1.2529827759135514,0.01567392805039647,-0.1688764946993075,1.0,-0.8496002254235497,1.2832434205180251e-25,5.045032978057861,0.27444782853126526,1.0,1.9389443397521973
13.0,0.5206623077392578,0.5206623077392578,1.1688765287399292,1.0445443391799927,2.73557186126709,2.73557186126709,1.1703863143920898,2.7355719755846613,1.2565538287515554,0.022666643027691186,-0.17038641149861905,1.0,-0.8490718889789018,1.4747642797416083e-25,4.991790771484375,0.2788814306259155,1.0,1.9343047142028809
14.0,0.4972101151943207,0.4972101151943207,1.1703863143920898,0.4519502818584442,2.7198941707611084,2.7198941707611084,1.172102928161621,2.7198941528121297,1.2647234452676706,0.025243492089516744,-0.17210297166280442,1.0,-0.8496706702828363,1.2596109406667227e-25,4.938196182250977,0.28296923637390137,1.0,1.9292011260986328
15.0,0.4828139543533325,0.4828139543533325,1.172102928161621,0.651856005191803,2.7161028385162354,2.7161028385162354,1.1740590333938599,2.7161027659865797,1.2725735266805824,0.023565963093913456,-0.17405892818081858,1.0,-0.8496354478531931,1.2713737800234694e-25,4.884592533111572,0.28676140308380127,1.0,1.9236594438552856
16.0,0.47094276547431946,0.47094276547431946,1.1740590333938599,0.9518654346466064,2.717392683029175,2.717392683029175,1.1762582063674927,2.7173925663217364,1.2769557218928116,0.02099166084560966,-0.17625831891695543,1.0,-0.846782431052094,2.6783961055723305e-25,4.8312764167785645,0.2903052866458893,1.0,1.9176691770553589
17.0,0.4537501037120819,0.4537501037120819,1.1762582063674927,0.7386231422424316,2.717744827270508,2.717744827270508,1.178674578666687,2.7177448276665515,1.277516831030053,0.019880446892773202,-0.17867449191677665,1.0,-0.8445458067697511,4.753284845147714e-25,4.778947830200195,0.29352250695228577,1.0,1.9113922119140625
