method,seed,stratifier,n_entities,spearman_rho,perm_p_two_sided,kstar_std,degenerate
Plain LSTM,4,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,5,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,5,hc_mean_train,0,,,0.0,True
Plain LSTM,5,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,6,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,6,hc_mean_train,0,,,0.0,True
Plain LSTM,6,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,7,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,7,hc_mean_train,0,,,0.0,True
Plain LSTM,7,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,8,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,8,hc_mean_train,0,,,0.0,True
Plain LSTM,8,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,9,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,9,hc_mean_train,0,,,0.0,True
Plain LSTM,9,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,10,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,10,hc_mean_train,0,,,0.0,True
Plain LSTM,10,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,11,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,11,hc_mean_train,0,,,0.0,True
Plain LSTM,11,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,12,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,12,hc_mean_train,0,,,0.0,True
Plain LSTM,12,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,13,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,13,hc_mean_train,0,,,0.0,True
Plain LSTM,13,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,14,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,14,hc_mean_train,0,,,0.0,True
Plain LSTM,14,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,15,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,15,hc_mean_train,0,,,0.0,True
Plain LSTM,15,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,16,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,16,hc_mean_train,0,,,0.0,True
Plain LSTM,16,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,17,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,17,hc_mean_train,0,,,0.0,True
Plain LSTM,17,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,18,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,18,hc_mean_train,0,,,0.0,True
Plain LSTM,18,log_capital_per_worker_train,0,,,0.0,True
Plain LSTM,19,log_gdp_per_worker_train,0,,,0.0,True
Plain LSTM,19,hc_mean_train,0,,,0.0,True
Plain LSTM,19,log_capital_per_worker_train,0,,,0.0,True
TFT,0,log_gdp_per_worker_train,0,,,0.0,True
TFT,0,hc_mean_train,0,,,0.0,True
TFT,0,log_capital_per_worker_train,0,,,0.0,True
TFT,1,log_gdp_per_worker_train,0,,,0.0,True
TFT,1,hc_mean_train,0,,,0.0,True
TFT,1,log_capital_per_worker_train,0,,,0.0,True
TFT,2,log_gdp_per_worker_train,0,,,0.0,True
TFT,2,hc_mean_train,0,,,0.0,True
TFT,2,log_capital_per_worker_train,0,,,0.0,True
TFT,3,log_gdp_per_worker_train,0,,,0.0,True
TFT,3,hc_mean_train,0,,,0.0,True
TFT,3,log_capital_per_worker_train,0,,,0.0,True
TFT,4,log_gdp_per_worker_train,0,,,0.0,True
TFT,4,hc_mean_train,0,,,0.0,True
TFT,4,log_capital_per_worker_train,0,,,0.0,True
TFT,5,log_gdp_per_worker_train,0,,,0.0,True
TFT,5,hc_mean_train,0,,,0.0,True
TFT,5,log_capital_per_worker_train,0,,,0.0,True
TFT,6,log_gdp_per_worker_train,0,,,0.0,True
TFT,6,hc_mean_train,0,,,0.0,True
TFT,6,log_capital_per_worker_train,0,,,0.0,True
TFT,7,log_gdp_per_worker_train,0,,,0.0,True
TFT,7,hc_mean_train,0,,,0.0,True
TFT,7,log_capital_per_worker_train,0,,,0.0,True
TFT,8,log_gdp_per_worker_train,0,,,0.0,True
TFT,8,hc_mean_train,0,,,0.0,True
TFT,8,log_capital_per_worker_train,0,,,0.0,True
TFT,9,log_gdp_per_worker_train,0,,,0.0,True
TFT,9,hc_mean_train,0,,,0.0,True
TFT,9,log_capital_per_worker_train,0,,,0.0,True
TFT,10,log_gdp_per_worker_train,0,,,0.0,True
TFT,10,hc_mean_train,0,,,0.0,True
TFT,10,log_capital_per_worker_train,0,,,0.0,True
TFT,11,log_gdp_per_worker_train,0,,,0.0,True
TFT,11,hc_mean_train,0,,,0.0,True
TFT,11,log_capital_per_worker_train,0,,,0.0,True
TFT,12,log_gdp_per_worker_train,0,,,0.0,True
TFT,12,hc_mean_train,0,,,0.0,True
TFT,12,log_capital_per_worker_train,0,,,0.0,True
TFT,13,log_gdp_per_worker_train,0,,,0.0,True
TFT,13,hc_mean_train,0,,,0.0,True
TFT,13,log_capital_per_worker_train,0,,,0.0,True
TFT,14,log_gdp_per_worker_train,0,,,0.0,True
TFT,14,hc_mean_train,0,,,0.0,True
TFT,14,log_capital_per_worker_train,0,,,0.0,True
TFT,15,log_gdp_per_worker_train,0,,,0.0,True
TFT,15,hc_mean_train,0,,,0.0,True
TFT,15,log_capital_per_worker_train,0,,,0.0,True
TFT,16,log_gdp_per_worker_train,0,,,0.0,True
TFT,16,hc_mean_train,0,,,0.0,True
TFT,16,log_capital_per_worker_train,0,,,0.0,True
TFT,17,log_gdp_per_worker_train,0,,,0.0,True
TFT,17,hc_mean_train,0,,,0.0,True
TFT,17,log_capital_per_worker_train,0,,,0.0,True
TFT,18,log_gdp_per_worker_train,0,,,0.0,True
TFT,18,hc_mean_train,0,,,0.0,True
TFT,18,log_capital_per_worker_train,0,,,0.0,True
TFT,19,log_gdp_per_worker_train,0,,,0.0,True
TFT,19,hc_mean_train,0,,,0.0,True
TFT,19,log_capital_per_worker_train,0,,,0.0,True
GA-Net,0,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,0,hc_mean_train,0,,,0.0,True
GA-Net,0,log_capital_per_worker_train,0,,,0.0,True
GA-Net,1,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,1,hc_mean_train,0,,,0.0,True
GA-Net,1,log_capital_per_worker_train,0,,,0.0,True
GA-Net,2,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,2,hc_mean_train,0,,,0.0,True
GA-Net,2,log_capital_per_worker_train,0,,,0.0,True
GA-Net,3,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,3,hc_mean_train,0,,,0.0,True
GA-Net,3,log_capital_per_worker_train,0,,,0.0,True
GA-Net,4,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,4,hc_mean_train,0,,,0.0,True
GA-Net,4,log_capital_per_worker_train,0,,,0.0,True
GA-Net,5,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,5,hc_mean_train,0,,,0.0,True
GA-Net,5,log_capital_per_worker_train,0,,,0.0,True
GA-Net,6,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,6,hc_mean_train,0,,,0.0,True
GA-Net,6,log_capital_per_worker_train,0,,,0.0,True
GA-Net,7,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,7,hc_mean_train,0,,,0.0,True
GA-Net,7,log_capital_per_worker_train,0,,,0.0,True
GA-Net,8,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,8,hc_mean_train,0,,,0.0,True
GA-Net,8,log_capital_per_worker_train,0,,,0.0,True
GA-Net,9,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,9,hc_mean_train,0,,,0.0,True
GA-Net,9,log_capital_per_worker_train,0,,,0.0,True
GA-Net,10,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,10,hc_mean_train,0,,,0.0,True
GA-Net,10,log_capital_per_worker_train,0,,,0.0,True
GA-Net,11,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,11,hc_mean_train,0,,,0.0,True
GA-Net,11,log_capital_per_worker_train,0,,,0.0,True
GA-Net,12,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,12,hc_mean_train,0,,,0.0,True
GA-Net,12,log_capital_per_worker_train,0,,,0.0,True
GA-Net,13,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,13,hc_mean_train,0,,,0.0,True
GA-Net,13,log_capital_per_worker_train,0,,,0.0,True
GA-Net,14,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,14,hc_mean_train,0,,,0.0,True
GA-Net,14,log_capital_per_worker_train,0,,,0.0,True
GA-Net,15,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,15,hc_mean_train,0,,,0.0,True
GA-Net,15,log_capital_per_worker_train,0,,,0.0,True
GA-Net,16,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,16,hc_mean_train,0,,,0.0,True
GA-Net,16,log_capital_per_worker_train,0,,,0.0,True
GA-Net,17,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,17,hc_mean_train,0,,,0.0,True
GA-Net,17,log_capital_per_worker_train,0,,,0.0,True
GA-Net,18,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,18,hc_mean_train,0,,,0.0,True
GA-Net,18,log_capital_per_worker_train,0,,,0.0,True
GA-Net,19,log_gdp_per_worker_train,0,,,0.0,True
GA-Net,19,hc_mean_train,0,,,0.0,True
GA-Net,19,log_capital_per_worker_train,0,,,0.0,True
No Recon Regularization,0,log_gdp_per_worker_train,88,-0.1353950195484485,0.196,0.039740683796457385,False
No Recon Regularization,0,hc_mean_train,88,-0.17325913141488503,0.1145,0.039740683796457385,False
No Recon Regularization,0,log_capital_per_worker_train,88,-0.10774541227853898,0.3155,0.039740683796457385,False
No Recon Regularization,1,log_gdp_per_worker_train,88,-0.07636222746645066,0.493,0.00704543255928777,False
No Recon Regularization,1,hc_mean_train,88,0.004332358846113206,0.9735,0.00704543255928777,False
No Recon Regularization,1,log_capital_per_worker_train,88,-0.07977880314184074,0.4555,0.00704543255928777,False
No Recon Regularization,2,log_gdp_per_worker_train,88,-0.11667429819308939,0.2785,0.3156238404105539,False
No Recon Regularization,2,hc_mean_train,88,-0.34070656193864257,0.0015,0.3156238404105539,False
No Recon Regularization,2,log_capital_per_worker_train,88,-0.13988587932795607,0.194,0.3156238404105539,False
No Recon Regularization,3,log_gdp_per_worker_train,88,-0.009263498996160755,0.9325,0.02232038255286689,False
No Recon Regularization,3,hc_mean_train,88,0.02657532316579198,0.814,0.02232038255286689,False
No Recon Regularization,3,log_capital_per_worker_train,88,-0.001285618681976683,0.99,0.02232038255286689,False
No Recon Regularization,4,log_gdp_per_worker_train,88,-0.33179528723891377,0.0005,0.16650898331521904,False
No Recon Regularization,4,hc_mean_train,88,-0.3396675002641683,0.0005,0.16650898331521904,False
No Recon Regularization,4,log_capital_per_worker_train,88,-0.31934415836004376,0.002,0.16650898331521904,False
No Recon Regularization,5,log_gdp_per_worker_train,88,0.15668697826776093,0.152,0.013608515617807066,False
No Recon Regularization,5,hc_mean_train,88,0.20812933676164985,0.048,0.013608515617807066,False
No Recon Regularization,5,log_capital_per_worker_train,88,0.12729386073051321,0.239,0.013608515617807066,False
No Recon Regularization,6,log_gdp_per_worker_train,88,-0.6786305519354726,0.0,0.27619788013052526,False
No Recon Regularization,6,hc_mean_train,88,-0.8890845690535735,0.0,0.27619788013052526,False
No Recon Regularization,6,log_capital_per_worker_train,88,-0.6332112289105705,0.0,0.27619788013052526,False
No Recon Regularization,7,log_gdp_per_worker_train,88,-0.4800288823923075,0.0,0.01776909671316908,False
No Recon Regularization,7,hc_mean_train,88,-0.5939382198584059,0.0,0.01776909671316908,False
No Recon Regularization,7,log_capital_per_worker_train,88,-0.4746046282272552,0.0,0.01776909671316908,False
No Recon Regularization,8,log_gdp_per_worker_train,88,0.31504702194357376,0.003,0.03768028787336031,False
No Recon Regularization,8,hc_mean_train,88,0.28380472685005814,0.009,0.03768028787336031,False
No Recon Regularization,8,log_capital_per_worker_train,88,0.29336761649818605,0.0065,0.03768028787336031,False
No Recon Regularization,9,log_gdp_per_worker_train,88,0.005934979394878659,0.9545,0.14070633376374284,False
No Recon Regularization,9,hc_mean_train,88,-0.2569476242471206,0.022,0.14070633376374284,False
No Recon Regularization,9,log_capital_per_worker_train,88,-0.003099573808601318,0.9815,0.14070633376374284,False
No Recon Regularization,10,log_gdp_per_worker_train,88,0.22348631608608366,0.03,0.006612092004726787,False
No Recon Regularization,10,hc_mean_train,88,0.2625479905603889,0.014,0.006612092004726787,False
