display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
CMDL,cmdl,,4,economics_cmdl_seed4,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.9158007819379382,-0.9158007819379382,0.6355711316966646,-0.6355711316966646,True,4.836140155792236,0.5005252625693517,1.8918968355067607,0.057422568455495454,1.0,0.38056556447389667,-0.9158007819379382,-0.9158007819379382,0.0,0.0,0.0,1.2479282144868287,1.48722505569458,0.4064672608598098,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,13,economics_cmdl_seed13,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.8044450706209716,-0.8044450706209716,0.4133528230777359,-0.4133528230777359,True,5.4580078125,0.03682101933563442,2.011750909796514,0.004494335962853105,1.0,0.07762774722590332,0.8044450706209716,0.8044450706209716,0.0,0.0,0.0,-0.47542074432442455,0.10633516311645508,0.291291423370382,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,16,economics_cmdl_seed16,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.7968194146032195,-0.7968194146032195,0.5354689866506992,-0.5354689866506992,True,4.242757797241211,0.05918238633379434,1.7618652598358702,0.016704493199930392,1.0,0.13918711816955068,-0.7968194146032195,-0.7968194146032195,0.0,0.0,0.0,0.4308601313398405,0.17839527130126953,0.337207229541444,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,7,economics_cmdl_seed7,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.7610719993733702,-0.7610719993733702,0.3670457497382875,-0.3670457497382875,True,5.154951572418213,0.02813175166959773,1.9532074778260446,0.04806425156462774,0.8409090909090909,0.22839644410197538,-0.823676517206157,-0.823676517206157,0.0,0.0,0.0,0.10928851787371445,0.08721351623535156,0.3690759109943397,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,9,economics_cmdl_seed9,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.6933006938818641,-0.6933006938818641,0.29643196787714415,-0.29643196787714415,True,3.9731273651123047,0.13682709572445337,1.961360837992742,0.04305211405751977,0.7272727272727273,0.11724292600168297,0.6933006938818641,0.6933006938818641,0.0,0.0,0.0,-1.1614860058859366,0.41118478775024414,0.27536884395008154,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,15,economics_cmdl_seed15,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.6778380472685007,-0.6778380472685007,0.9371984079461803,-0.9371984079461803,True,4.180376052856445,0.32489804610466444,1.8909882602935708,0.09444294114768555,0.8068181818181818,0.24090817776464787,0.6778380472685007,0.6778380472685007,0.0,0.0,0.0,-1.2866315110836644,0.9114878177642822,0.3109605460638629,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,4,economics_ablation_no_recon_regularization_seed4,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.5429185305202354,-0.5429185305202354,0.11524778979253991,-0.11524778979253991,True,4.616021633148193,0.1655602064564054,1.8682228223237423,0.009406302776776666,1.0,0.15095136130503745,-0.5429185305202354,-0.5429185305202354,0.0,0.0,0.0,1.0674481929717217,0.5306863784790039,0.21621211987355018,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,10,economics_cmdl_seed10,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.5134901905533444,-0.5134901905533444,0.5577647846148428,-0.5577647846148428,True,4.483112812042236,0.01017221158384319,1.7981267558339638,0.0031921127659196493,1.0,0.11575897672867662,0.5134901905533444,0.5134901905533444,0.0,0.0,0.0,-0.08711094300435904,0.0311126708984375,0.25344214131982473,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,8,economics_cmdl_seed8,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.5092811102109824,-0.5092811102109824,0.4689866506991653,-0.4689866506991653,True,5.043725490570068,0.04092852421504095,1.9046386464958915,0.054294809387429026,0.875,0.29231889819360557,-0.8743615934627172,-0.8743615934627172,0.0,0.0,0.0,0.05529438803371574,0.12118291854858398,0.39042503605472256,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,6,economics_ablation_no_recon_regularization_seed6,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.399316684864922,-0.399316684864922,0.01627276249515692,-0.01627276249515692,True,4.357926368713379,0.2746240902249972,1.9328323048796063,0.047730449704949246,0.7727272727272727,0.28320958435463794,0.399316684864922,0.399316684864922,0.0,0.0,0.0,-0.9673176042897176,0.7864482402801514,0.26008946412903844,True,softmax,0.0,,,0.0,1.0
