display_name,family,variant,n_seeds,test_r2_mean,test_r2_std,anchor_adjusted_rho_mean,anchor_positive_seed_share,mean_proxy_adjusted_rho_mean,mean_proxy_positive_seed_share,kstar_std_mean,entropy_mean,lag_gate_sensitivity_range_mean,proxy_signal_r2_mean
No AC Encoder,ablation,no_ac_encoder,3,0.050196660308305656,0.017712327149167928,,,,,0.0,1.8981806342236112,0.0,
No Recon Regularization,ablation,no_recon_regularization,3,0.06378959660423102,0.015129071907387945,0.34225634884294326,0.6666666666666666,0.5490237516583895,1.0,0.12011497531937528,1.821270443845753,0.37607336044311523,0.26478482639751005
Uniform Lag,ablation,uniform_lag,3,0.08345956104015001,0.029816695614379322,,,,,0.0,2.3025851124040755,0.3773484230041504,0.2946346400736015
CMDL,cmdl,,3,0.06407644302276816,0.017004410159614642,0.06948211287614618,0.3333333333333333,0.2651838023786881,1.0,0.08012757198312305,1.825414567127635,0.26169872283935547,0.22564190472204382
Grouped ARDL,grouped_ardl,,3,-0.08910696294806324,1.6996749443881478e-17,,,,,,,,
Plain LSTM,plain_lstm,,3,0.07804074666754308,0.06064340862395677,-0.009169449945380187,0.3333333333333333,-0.08322673090564948,0.3333333333333333,1.8463536573151462,1.8958940766616112,,
