run_group,seed_count,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_kstar_proxy_spearman_adjusted_rho_mean,test_kstar_proxy_spearman_adjusted_rho_std,test_kstar_proxy_spearman_adjusted_rho_positive_seed_share,test_kstar_proxy_mean_spearman_adjusted_rho_mean,test_kstar_proxy_mean_spearman_adjusted_rho_std,test_kstar_proxy_mean_spearman_adjusted_rho_positive_seed_share,test_kstar_std_mean,test_kstar_std_std,test_lag_gate_sensitivity_range_mean,test_lag_gate_sensitivity_range_std,test_omega_entropy_mean_mean,test_omega_entropy_mean_std
Multiseq CMDL,20,28.991725394561733,3.194831975536976,5.366171383715812,0.28729055981234947,0.034600377425733506,0.2805975868283383,0.2,0.011546144289419651,0.2932561973070642,0.15,0.02858711816173008,0.0887635823955603,0.06918190717697144,0.2075626724929698,0.37067811955761754,0.09925219704971337
No AC Encoder,20,28.855421454947855,3.096156045641131,5.354425018954845,0.2784865266542821,0.0,0.0,0.0,0.0,0.0,0.0,2.538667380809545e-09,1.1065794564211895e-08,0.0,0.0,0.36251470550888687,0.10304060828409548
No Recon,20,28.995659949325574,3.1964447270743994,5.366514448679628,0.28744334951787964,0.030685794228614692,0.2656356334609407,0.2,0.010521399990347804,0.2784414830050311,0.15,0.02834203615199298,0.08827269896820424,0.06958974599838255,0.20867482182937866,0.3704175718322714,0.09939841590831447
Multiseq Plain LSTM,20,29.35492878236115,2.4028044558965953,5.405140930192456,0.2201600107244495,0.16482651556572434,0.26351187490292677,0.1,0.150347182207656,0.2424393307160762,0.1,0.015419974290340166,0.04417490364835595,,0.0,0.686389009634302,0.020219549350366264
Uniform Lag,20,28.022430452740384,3.560962140963172,5.274588605761528,0.3189429442465028,,0.0,,,0.0,,0.0,0.0,0.07418726682662963,0.22085518977836294,0.6931471805599453,0.0
Single CMDL,20,23.464629266861003,1.5340601923873076,4.837971102765628,0.15831686900865188,-0.019639360882992916,0.235651905441986,0.1,-0.07448209024641457,0.2423703357842233,0.05,1.6004669922436333e-05,3.686440317555861e-05,4.7135353088374926e-05,0.00011224100251084144,0.4118975324842248,0.0967831187415059
