experiment,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,train_years,val_years,test_years,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean,run_group
multiseq_overlap_region_proxy_cmdl_seed18,cmdl,none,multiseq_overlap_region_proxy,18,2,6,26,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed18\summary.json,30.477097274832257,5.513618220885594,0.0,0.0,0.0,0.0,0.0,0.0,1.158274531364441,0.2084207040120206,0.4831168831168831,0.464935064935065,0.6321365833282471,0.3173540446440636,0.9047619047619048,0.4296677796468053,0.5054473017640585,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed19,cmdl,none,multiseq_overlap_region_proxy,19,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed19\summary.json,32.80845559777434,5.711292904402528,0.0,0.0,0.0,0.0,0.0,0.0,1.4922335147857666,0.3612230623202423,0.0714285714285714,-0.161038961038961,0.746833324432373,0.3959774818756786,0.5714285714285714,0.2654828804207902,0.0024659249640582,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed2,cmdl,none,multiseq_overlap_region_proxy,2,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed2\summary.json,28.12265004396271,5.29075398118723,0.0,0.0,0.0,0.0,0.0,0.0,1.074209213256836,6.270045903289468e-08,-0.0,-0.0,2.384185791015625e-07,0.2643932631087153,1.0,0.369941552108547,0.7018230123353488,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed3,cmdl,none,multiseq_overlap_region_proxy,3,2,6,14,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed3\summary.json,29.26374077414177,5.405109377134414,0.0,0.0,0.0,0.0,0.0,0.0,1.8197524547576904,0.0015662218900701,-0.4519480519480519,-0.5272727272727272,0.0031076669692993,0.4717601082359859,1.0,0.110507215558396,0.2910702431403013,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed4,cmdl,none,multiseq_overlap_region_proxy,4,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed4\summary.json,24.47689836033086,4.943198856853304,0.0,0.0,0.0,0.0,0.0,0.0,1.8225919008255005,8.25120455095342e-05,0.8077922077922077,0.851948051948052,0.0002580881118774,0.4674403419089637,1.0,0.1499021865800689,0.3812126643670432,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed5,cmdl,none,multiseq_overlap_region_proxy,5,2,6,8,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed5\summary.json,36.91217245595314,6.051716611144089,0.0,0.0,0.0,0.0,0.0,0.0,1.813176155090332,0.0,,,0.0,0.481584579505856,1.0,0.1099809985314514,0.1459355559521042,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed6,cmdl,none,multiseq_overlap_region_proxy,6,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed6\summary.json,26.50392637241492,5.137130713178998,0.0,0.0,0.0,0.0,0.0,0.0,1.0786386728286743,7.856061978113587e-06,0.2448847157411252,0.1182202075991639,1.6689300537109375e-05,0.275431891485736,1.0,0.3406517150285965,0.0096176463951724,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed7,cmdl,none,multiseq_overlap_region_proxy,7,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed7\summary.json,27.74796282675496,5.260792766298566,0.0,0.0,0.0,0.0,0.0,0.0,1.0729877948760986,6.037546702933688e-07,-0.0,-0.0,1.6689300537109375e-06,0.2612999242480734,1.0,0.2173959926376984,0.1472925949676704,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed8,cmdl,none,multiseq_overlap_region_proxy,8,2,6,31,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed8\summary.json,30.45037129863749,5.508750687042872,0.0,0.0,0.0,0.0,0.0,0.0,1.07515549659729,1.3505137822026658e-07,-0.0,-0.0,3.5762786865234375e-07,0.2667752182353353,1.0,0.280104137275205,0.537347236443908,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed9,cmdl,none,multiseq_overlap_region_proxy,9,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed9\summary.json,26.362994878724656,5.131627343949818,0.0,0.0,0.0,0.0,0.0,0.0,1.8204832077026367,5.66697434322191e-07,-0.0,-0.0,1.7881393432617188e-06,0.4706600081171332,1.0,0.0444702391690005,0.0719808961690974,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_no_ac_encoder_seed0,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,0,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed0\summary.json,25.292790417948662,5.024912649676914,0.0,0.0,0.0,0.0,0.0,0.0,1.8224942684173584,0.0,,,0.0,0.4675902380329656,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed1,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,1,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed1\summary.json,27.64407438531033,5.253039071957271,0.0,0.0,0.0,0.0,0.0,0.0,1.8187817335128784,0.0,,,0.0,0.473236052945212,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed10,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,10,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed10\summary.json,27.687877371082955,5.246894565366564,0.0,0.0,0.0,0.0,0.0,0.0,1.073405623435974,0.0,,,0.0,0.2623606666715947,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed11,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,11,2,6,69,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed11\summary.json,35.30500043184369,5.922820783796764,0.0,0.0,0.0,0.0,0.0,0.0,1.0794638395309448,0.0,,,0.0,0.2774578245915178,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed12,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,12,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed12\summary.json,28.414839479780063,5.324088681311834,0.0,0.0,0.0,0.0,0.0,0.0,1.81202244758606,0.0,,,0.0,0.4832771371830957,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed13,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,13,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed13\summary.json,29.643919808058698,5.435297944006466,0.0,0.0,0.0,0.0,0.0,0.0,1.8034085035324097,0.0,,,0.0,0.4956406790117155,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed14,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,14,2,6,12,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed14\summary.json,30.88253490911504,5.545045077091172,0.0,0.0,0.0,0.0,0.0,0.0,1.0786980390548706,0.0,,,0.0,0.2755777655657312,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed15,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,15,2,6,4,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed15\summary.json,30.26941421219248,5.485967739706948,0.0,0.0,0.0,0.0,0.0,0.0,1.0768972635269165,0.0,,,0.0,0.2711250879981187,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed16,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,16,2,6,7,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed16\summary.json,27.090293671188554,5.192211453403745,0.0,0.0,0.0,0.0,0.0,0.0,1.074143409729004,0.0,,,0.0,0.2642268627372813,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed17,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,17,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed17\summary.json,24.601351689842502,4.951126691840944,0.0,0.0,0.0,0.0,0.0,0.0,1.8137893676757808,0.0,,,0.0,0.4806813636875836,1.0,,,0.0,1.5102827032054371,No AC Encoder
