experiment,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,train_years,val_years,test_years,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean,run_group
multiseq_overlap_region_proxy_no_ac_encoder_seed18,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,18,2,6,72,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed18\summary.json,30.75272258785644,5.5382860867040495,0.0,0.0,0.0,0.0,0.0,0.0,1.0768662691116333,0.0,,,0.0,0.2710483480288775,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed19,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,19,2,6,79,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed19\summary.json,30.3069590873858,5.49892113677093,0.0,0.0,0.0,0.0,0.0,0.0,1.0786489248275757,0.0,,,0.0,0.2754572473787897,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed2,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,2,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed2\summary.json,28.12519622021428,5.291028170358567,0.0,0.0,0.0,0.0,0.0,0.0,1.0742075443267822,0.0,,,0.0,0.2643893683124972,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed3,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,3,2,6,13,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed3\summary.json,28.561054524499387,5.338964893704369,0.0,0.0,0.0,0.0,0.0,0.0,1.8241350650787356,0.0,,,0.0,0.4650647639549083,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed4,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,4,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed4\summary.json,24.478164603014047,4.943324091888609,0.0,0.0,0.0,0.0,0.0,0.0,1.822661638259888,5.07733476161909e-08,-0.0,-0.0,0.0,0.4673337645740407,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed5,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,5,2,6,8,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed5\summary.json,36.95122193269945,6.05493265496833,0.0,0.0,0.0,0.0,0.0,0.0,1.813169360160828,0.0,,,0.0,0.4815945958083369,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed6,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,6,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed6\summary.json,26.505323997520534,5.137250145276387,0.0,0.0,0.0,0.0,0.0,0.0,1.0786515474319458,0.0,,,0.0,0.2754639392277211,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed7,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,7,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed7\summary.json,27.7898490854854,5.264705240726471,0.0,0.0,0.0,0.0,0.0,0.0,1.0729856491088867,0.0,,,0.0,0.2612941708252753,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed8,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,8,2,6,31,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed8\summary.json,30.4486047357836,5.508619504315512,0.0,0.0,0.0,0.0,0.0,0.0,1.0751644372940063,0.0,,,0.0,0.2667969601091599,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_ac_encoder_seed9,cmdl,no_ac_encoder,multiseq_overlap_region_proxy,9,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_ac_encoder_seed9\summary.json,26.35723594813523,5.131063796225048,0.0,0.0,0.0,0.0,0.0,0.0,1.820472002029419,0.0,,,0.0,0.470677273533315,1.0,,,0.0,1.5102827032054371,No AC Encoder
multiseq_overlap_region_proxy_no_recon_regularization_seed0,cmdl,no_recon_regularization,multiseq_overlap_region_proxy,0,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_recon_regularization_seed0\summary.json,25.266021653358933,5.022279821691059,0.0,0.0,0.0,0.0,0.0,0.0,1.8224899768829343,8.22543902019317e-07,-0.0,-0.0,1.7881393432617188e-06,0.4675968955150968,1.0,0.1629740695581549,0.0088837493957979,0.0,1.5102827032054371,No Recon
multiseq_overlap_region_proxy_no_recon_regularization_seed1,cmdl,no_recon_regularization,multiseq_overlap_region_proxy,1,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_recon_regularization_seed1\summary.json,27.577475377614597,5.246776806456702,0.0,0.0,0.0,0.0,0.0,0.0,1.818768858909607,3.1839787761098225e-07,-0.0,-0.0,9.5367431640625e-07,0.4732551555753957,1.0,0.1609211456012326,0.0279603046913365,0.0,1.5102827032054371,No Recon
multiseq_overlap_region_proxy_no_recon_regularization_seed10,cmdl,no_recon_regularization,multiseq_overlap_region_proxy,10,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_no_recon_regularization_seed10\summary.json,27.68238812851906,5.246376920314062,0.0,0.0,0.0,0.0,0.0,0.0,1.073406219482422,6.429898734158162e-07,-0.0,-0.0,1.7881393432617188e-06,0.2623620152759858,1.0,0.3774059878366287,0.4783980441248967,0.0,1.5102827032054371,No Recon
