epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_omega_entropy_mean
1.0,0.9805882573127747,0.9805882573127747,1.1187628507614136,3.003077507019043,2.8186185359954834,2.8186185359954834,1.1178734302520752,2.818618525587451,1.2679251610951883,0.01203696077577221,-0.11787349257224355,-0.9898999323585297,3.245641316511708e-89,6.875664234161377,0.006057864520698786,2.004781723022461
2.0,0.9237556457519531,0.9237556457519531,1.1178734302520752,4.595913410186768,2.824054002761841,2.824054002761841,1.1172425746917725,2.8240540282786992,1.2775496615200408,0.01279127400653248,-0.11724257989379505,-0.9865590562323254,7.355123251626573e-83,6.872247219085693,0.005268662702292204,2.004976511001587
3.0,0.8253419399261475,0.8253419399261475,1.1172425746917725,2.428480386734009,2.8504793643951416,2.8504793643951416,1.1171244382858276,2.8504793110969184,1.2699439129851287,0.0051116048864782715,-0.11712441700155107,-0.9848538254198631,3.3081793869414363e-80,6.8641767501831055,0.005503081250935793,2.006802797317505
4.0,0.769345760345459,0.769345760345459,1.1171244382858276,2.0875539779663086,2.8014559745788574,2.8014559745788574,1.1172806024551392,2.801456050275345,1.236071929431683,0.025601977341185744,-0.11728057267045355,-0.9822931785195935,9.670822156568567e-77,6.856306076049805,0.006136000622063875,2.0094001293182373
5.0,0.7415028810501099,0.7415028810501099,1.1172806024551392,1.7348073720932007,2.768782377243042,2.768782377243042,1.1175709962844849,2.768782290530246,1.22673133274629,0.0383370747615853,-0.11757098829328427,-0.9804555786254644,1.4926262710827831e-74,6.847514629364014,0.007010139524936676,2.012310028076172
6.0,0.7161204218864441,0.7161204218864441,1.1175709962844849,1.974950909614563,2.776365041732788,2.776365041732788,1.117958664894104,2.776365037591489,1.2394487492148838,0.03438010432254237,-0.11795857954140376,-0.9813729632239668,1.2842220920053525e-75,6.837285041809082,0.00813645776361227,2.015275001525879
7.0,0.6790325045585632,0.6790325045585632,1.117958664894104,0.8402190208435059,2.8313119411468506,2.8313119411468506,1.1184101104736328,2.8313119522612937,1.269927482590789,0.010679066565370507,-0.11841016077884237,-0.9832754076215058,5.244289539820215e-78,6.826253414154053,0.009469623677432537,2.0183184146881104
8.0,0.6628872752189636,0.6628872752189636,1.1184101104736328,1.430931806564331,2.8341610431671143,2.8341610431671143,1.1189054250717163,2.8341612094293613,1.2730858614343026,0.008260205385733485,-0.11890543392539299,-0.9850922662243418,1.4698370132309474e-80,6.814476490020752,0.011009507812559605,2.0214357376098633
9.0,0.6475648880004883,0.6475648880004883,1.1189054250717163,1.4226347208023071,2.8180220127105713,2.8180220127105713,1.1194493770599365,2.818022080781319,1.261610950517749,0.01510275079219281,-0.11944927715126075,-0.9866162139747046,5.9141680117922276e-83,6.801316261291504,0.012844517827033997,2.0245678424835205
10.0,0.627794086933136,0.627794086933136,1.1194493770599365,1.115302562713623,2.8528943061828613,2.8528943061828613,1.1200380325317383,2.85289424251467,1.264602996462158,0.003135165125342898,-0.12003797808080252,-0.9885652083765291,1.8746602202890582e-86,6.786409378051758,0.015034090727567673,2.027712106704712
11.0,0.6070374846458435,0.6070374846458435,1.1200380325317383,0.7610336542129517,2.9364984035491943,2.9364984035491943,1.1206755638122559,2.9364984435761476,1.2830394827952933,-0.02868825488950059,-0.12067547012082125,-0.9917970967198371,7.558387737341539e-94,6.770349025726318,0.017651744186878204,2.0308494567871094
12.0,0.5952708125114441,0.5952708125114441,1.1206755638122559,0.9526144862174988,2.968512535095215,2.968512535095215,1.1213529109954834,2.968512500143255,1.2920210821465368,-0.04221876128814624,-0.12135290937996657,-0.9936346672195729,1.6815974212894129e-99,6.755094528198242,0.020618630573153496,2.0338010787963867
13.0,0.5821780562400818,0.5821780562400818,1.1213529109954834,1.0610369443893433,2.944418430328369,2.944418430328369,1.1220663785934448,2.944418401498804,1.290732597808043,-0.035859137571618106,-0.12206637129682196,-0.9945158614969936,7.98958487299076e-103,6.740406513214111,0.023971762508153915,2.0365381240844727
14.0,0.5640989542007446,0.5640989542007446,1.1220663785934448,0.5349575877189636,2.9415090084075928,2.9415090084075928,1.122817039489746,2.9415089282484423,1.2979477719255974,-0.04009743800338653,-0.12281701180137006,-0.9953970557744143,9.869205854141941e-107,6.725355625152588,0.027821233496069908,2.0391814708709717
15.0,0.5514639616012573,0.5514639616012573,1.122817039489746,0.7143834233283997,2.9877192974090576,2.9877192974090576,1.1236015558242798,2.9877190988172644,1.317548239126151,-0.0641392965998067,-0.1236016006889813,-0.9961123781878498,1.6764093207502268e-110,6.709198951721191,0.032231949269771576,2.0418014526367188
16.0,0.5408768653869629,0.5408768653869629,1.1236015558242798,0.8025314807891846,3.0116961002349854,3.0116961002349854,1.1244088411331177,3.0116960421212413,1.326734279221781,-0.07700044587445427,-0.12440890522418546,-0.9971801783122538,1.1312883409747978e-117,6.692139148712158,0.03716491162776947,2.044375419616699
17.0,0.5296911001205444,0.5296911001205444,1.1244088411331177,0.7403901815414429,2.9813897609710693,2.9813897609710693,1.1252368688583374,2.981389664879477,1.318322807900785,-0.06622561347897267,-0.1252368583325436,-0.9977710968277006,6.312766468948078e-123,6.675038814544678,0.042599085718393326,2.046769857406616
18.0,0.5159950852394104,0.5159950852394104,1.1252368688583374,0.36024102568626404,2.9591598510742188,2.9591598510742188,1.1260870695114136,2.9591600181142144,1.312980466035919,-0.059357610000796514,-0.12608706017370097,-0.9983723823346464,5.955870065102758e-130,6.6593427658081055,0.048587702214717865,2.0488102436065674
19.0,0.5078087449073792,0.5078087449073792,1.1260870695114136,0.7914221286773682,2.972672939300537,2.972672939300537,1.1269426345825195,2.9726729567855616,1.3208901785801919,-0.06912403582878256,-0.12694258371473954,-0.9991499066970765,1.8025834681428005e-144,6.645339488983154,0.05506138876080513,2.05043888092041
20.0,0.4972729980945587,0.4972729980945587,1.1269426345825195,0.6209343075752258,2.973445177078247,2.973445177078247,1.1277821063995361,2.9734451825568007,1.3279796162664534,-0.07466361401341802,-0.1277820235157865,-0.9996682562720298,1.641660598509969e-165,6.634037017822266,0.06176861375570297,2.0516445636749268
21.0,0.4823428988456726,0.4823428988456726,1.1277821063995361,0.48668837547302246,2.9470386505126953,2.9470386505126953,1.1286110877990723,2.9470387013148693,1.326072772836224,-0.06808067149649898,-0.12861105124732441,-0.999854862119013,5.341471183350491e-184,6.624122619628906,0.06877932697534561,2.052564859390259
22.0,0.47234708070755005,0.47234708070755005,1.1286110877990723,0.6702025532722473,2.9309725761413574,2.9309725761413574,1.129420280456543,2.9309724514490605,1.3245214118563111,-0.06338947265713073,-0.12942022489830163,-0.9999585320340036,5.120022145804597e-212,6.614006996154785,0.07626709342002869,2.053401470184326
23.0,0.45620211958885193,0.45620211958885193,1.129420280456543,0.7201032042503357,2.916194200515747,2.916194200515747,1.1302094459533691,2.9161941676961094,1.3200934851527333,-0.057750899009039035,-0.13020931000305236,-0.9999999999999999,0.0,6.603145122528076,0.08424608409404755,2.054269313812256
24.0,0.4392070472240448,0.4392070472240448,1.1302094459533691,0.4801720976829529,2.8847479820251465,2.8847479820251465,1.1309961080551147,2.8847479832964282,1.3106485017486627,-0.0457581065761406,-0.13099602432508384,-0.9999999999999999,0.0,6.5915327072143555,0.09278276562690735,2.055163621902466
25.0,0.4215836524963379,0.4215836524963379,1.1309961080551147,0.42704522609710693,2.886265277862549,2.886265277862549,1.131778597831726,2.886265301110816,1.3130925455988045,-0.048461957893145356,-0.13177857220607603,-0.9999999999999999,0.0,6.580041885375977,0.10180775076150894,2.0560266971588135
