epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_atm_count_spearman_rho,val_kstar_proxy_atm_count_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_terminal_count_spearman_rho,val_kstar_proxy_terminal_count_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_credit_card_depth_spearman_rho,val_kstar_proxy_credit_card_depth_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q2_mean,val_kstar_anchor_q3_mean,val_kstar_anchor_q4_mean,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_atm_count_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_terminal_count_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_credit_card_depth_recon_r2
1.0,1.0979739427566528,1.0979739427566528,0.3071444630622864,0.04972822219133377,0.0,0.0,0.0,14.171552661305718,14.171552661305718,14.171552661305718,0.0,1.0,16.894289016723633,16.894289016723633,0.3067067265510559,0.04950130730867386,0.0,0.0,0.0,16.894289551600895,4.0905245287077765,0.0,1.8153150081634521,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.47842370556407054,0.0,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.6576416492462158,0.6576416492462158,0.3067067265510559,0.04950130730867386,0.0,0.0,0.0,10.196441882272925,10.196441882272925,10.196441882272925,0.0,1.0,15.337367057800293,15.337367057800293,0.30627065896987915,0.04927531257271767,0.0,0.0,0.0,15.337368322746919,3.8991256342047738,0.0,1.8141937255859375,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.48008464347655844,1.1102230246251565e-16,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.3571247458457947,0.3571247458457947,0.30627065896987915,0.04927531257271767,0.0,0.0,0.0,6.609209833482881,6.609209833482881,6.609209833482881,0.0,1.0,13.941204071044922,13.941204071044922,0.30583399534225464,0.049049049615859985,0.0,0.0,0.0,13.941202624848083,3.719298842407408,0.0,1.8127975463867188,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.4821409812561993,0.0,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.17983460426330566,0.17983460426330566,0.30583399534225464,0.049049049615859985,0.0,0.0,0.0,3.894028700428668,3.894028700428668,3.894028700428668,0.0,1.0,12.736888885498047,12.736888885498047,0.3053969144821167,0.04882263392210007,0.0,0.0,0.0,12.73688925805214,3.5569212578591847,0.0,1.8109945058822632,1.1907405491898756e-07,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.4847776506475163,1.1520331225616858e-07,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.09272922575473785,0.09272922575473785,0.3053969144821167,0.04882263392210007,0.0,0.0,0.0,1.683887814438043,1.683887814438043,1.683887814438043,0.0,1.0,11.78990650177002,11.78990650177002,0.30495986342430115,0.04859623312950134,0.0,0.0,0.0,11.789906198015522,3.424041134970529,0.0,1.8083555698394775,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.4885983250052507,0.0,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0708417296409607,0.0708417296409607,0.30495986342430115,0.04859623312950134,0.0,0.0,0.0,1.2756554110447342,1.2756554110447342,1.2756554110447342,0.0,1.0,11.267979621887207,11.267979621887207,0.3045443296432495,0.04838106036186218,0.0,0.0,0.0,11.267979547012157,3.349199184349605,0.0,1.8036328554153442,1.1907405491898756e-07,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.49532442342317684,5.586539041425403e-08,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.07721678167581558,0.07721678167581558,0.3045443296432495,0.04838106036186218,0.0,0.0,0.0,2.1392392105524873,2.1392392105524873,2.1392392105524873,0.0,1.0,11.123221397399902,11.123221397399902,0.30415523052215576,0.04817957431077957,0.0,0.0,0.0,11.123221728264,3.3290154877163114,0.0,1.7926833629608154,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.510379902270513,0.0,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.08075551688671112,0.08075551688671112,0.30415523052215576,0.04817957431077957,0.0,0.0,0.0,2.4398444222875724,2.4398444222875724,2.4398444222875724,0.0,1.0,11.271021842956543,11.271021842956543,0.3037679195404053,0.04797912389039993,0.0,0.0,0.0,11.271021632478313,3.352128993897211,0.0,1.7643390893936157,2.97685137297469e-07,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.5460264194732778,3.218644540330339e-07,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.06507202237844467,0.06507202237844467,0.3037679195404053,0.04797912389039993,0.0,0.0,0.0,2.3050239265576273,2.3050239265576273,2.3050239265576273,0.0,1.0,11.997838973999023,11.997838973999023,0.3033675253391266,0.047771863639354706,0.0,0.0,0.0,11.997838459492316,3.4590569621040705,0.0,1.621061086654663,5.358332471354441e-07,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6635422841517338,2.7899709319096505e-07,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.04852345958352089,0.04852345958352089,0.3033675253391266,0.047771863639354706,0.0,0.0,0.0,2.11871965915867,2.11871965915867,2.11871965915867,0.0,1.0,13.766310691833496,13.766310691833496,0.3031112849712372,0.04763924330472946,0.0,0.0,0.0,13.76630975403106,3.7044731492087957,0.0,1.321859359741211,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6282630508581581,8.48172854164128e-10,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
