epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_omega_entropy_mean
1.0,1.4850369691848755,1.3069263696670532,1.7811062335968018,8.572696685791016,3.126126766204834,2.946762800216675,1.7936393022537231,2.9467627128864895,1.3063397573129762,-0.052461166617797726,-0.7936394106352409,0.0,1.0,5.5,0.0,2.3025853633880615
2.0,1.1259430646896362,0.946579098701477,1.7936393022537231,3.3007490634918213,3.1443629264831543,2.963491439819336,1.8087139129638672,2.9634913144163915,1.28328064028765,-0.05169924540022667,-0.8087138130941727,0.0,1.0,5.5,0.0,2.3025853633880615
3.0,1.035546064376831,0.8546746969223022,1.8087139129638672,2.8284358978271484,3.2392282485961914,3.056671380996704,1.8255698680877686,3.0566712634684277,1.3012551429518868,-0.08204330499559026,-0.825569779711619,0.0,1.0,5.5,0.0,2.3025853633880615
4.0,0.991811215877533,0.8092542290687561,1.8255698680877686,2.9145092964172363,3.264105796813965,3.0796141624450684,1.8449159860610962,3.0796139509715523,1.3093989799686132,-0.08778395992261206,-0.8449159273705291,0.0,1.0,5.5,0.0,2.3025853633880615
5.0,0.9350228309631348,0.7505311965942383,1.8449159860610962,2.125232696533203,3.232910633087158,3.0464084148406982,1.8650219440460205,3.0464083289915234,1.3099812106391977,-0.07382726062053184,-0.8650219499781482,0.0,1.0,5.5,0.0,2.3025853633880615
6.0,0.8917649388313293,0.7052627205848694,1.8650219440460205,0.7644914984703064,3.197495460510254,3.009150266647339,1.8834527730941772,3.0091502078561283,1.3095193870395185,-0.05982014964320357,-0.8834526480475788,0.0,1.0,5.5,0.0,2.3025853633880615
7.0,0.881538987159729,0.6931936740875244,1.8834527730941772,1.3497611284255981,3.2270820140838623,3.0367536544799805,1.9032835960388184,3.03675359601914,1.323880594995405,-0.07140844297209714,-0.903283520667103,0.0,1.0,5.5,0.0,2.3025853633880615
8.0,0.8726578950881958,0.682329535484314,1.9032835960388184,1.4867051839828491,3.2654693126678467,3.0730371475219727,1.924320936203003,3.073037079543399,1.3347438082778975,-0.08627448782163401,-0.9243210551261178,0.0,1.0,5.5,0.0,2.3025853633880615
9.0,0.8557228446006775,0.6632907390594482,1.924320936203003,1.283891201019287,3.273545980453491,3.0789222717285156,1.946236491203308,3.078922417635401,1.3315266810298438,-0.08861618573244534,-0.9462366574914938,0.0,1.0,5.5,0.0,2.3025853633880615
10.0,0.834505558013916,0.6398819088935852,1.946236491203308,0.7552938461303711,3.2599446773529053,3.0631158351898193,1.968287467956543,3.0631159111571047,1.318992940572992,-0.08183397481873107,-0.968287531282243,0.0,1.0,5.5,0.0,2.3025853633880615
