display_name,family,variant,test_r2_mean,test_r2_std,test_mae_mean,test_mae_std,test_mse_mean,test_mse_std,best_val_task_loss_mean,best_val_task_loss_std
No AC Encoder,ablation,no_ac_encoder,-0.09313808227812281,0.03610057552226149,1.6202515553882748,0.05230363143069152,4.530973150403368,0.151426301654464,2.894582986831665,0.10694261210801904
No Recon Regularization,ablation,no_recon_regularization,-0.09756968944826365,0.03674891333991039,1.6216692011754743,0.05259653033037389,4.551063612519385,0.15401632758812203,2.8930845260620117,0.10772795962504012
Uniform Lag,ablation,uniform_lag,-0.0846562119559625,0.04144665232997274,1.618638149445358,0.049732001975240886,4.494834045347697,0.17300424734706893,2.9226816495259604,0.07650421257649873
CMDL,cmdl,,-0.07911137844032035,0.024418239429671116,1.6037246298218018,0.026783343711398698,4.47228132355336,0.09802783637855628,2.9666173458099365,0.06857609864058833
Plain LSTM,plain_lstm,,-0.09378024426779748,0.022795612329843406,1.6187340499450393,0.018237591716589906,4.534705843574372,0.09340526120690791,2.901252031326294,0.07744350036712938
