display_name,family,variant,test_effective_kstar_proxy_spearman_rho_mean,test_effective_kstar_proxy_spearman_rho_std,test_effective_kstar_mean_mean,test_effective_kstar_mean_std,test_effective_kstar_std_mean,test_effective_kstar_std_std,test_effective_lag_entropy_mean_mean,test_effective_lag_entropy_mean_std,test_proxy_signal_r2_mean,test_proxy_signal_r2_std
No AC Encoder,ablation,no_ac_encoder,0.0,0.0,4.542997757593791,2.0177795852231655,0.0,0.0,1.7960644960403442,0.22332562252539842,-7613463783734283.0,8393590635247001.0
No Recon Regularization,ablation,no_recon_regularization,-0.14674042820586186,1.0266643527107846,4.627961238225301,1.9650428479125293,0.1249750405550003,0.15745942218195075,1.8072182337443035,0.2122607478069564,0.6770974043313173,0.40962307312363394
Uniform Lag,ablation,uniform_lag,0.0,0.0,5.5,0.0,0.0,0.0,2.3025853633880615,0.0,0.8916875957389689,0.06308982807788387
CMDL,cmdl,,-0.9258050070075475,0.03786759412419432,5.061881383260091,0.6358542827160063,0.10970059890920918,0.14927606450030048,1.829503019650777,0.07855201723159769,0.8391273769538857,0.013365903055290352
Plain LSTM,plain_lstm,,0.061581649625057834,0.11286203731099587,5.356539090474446,0.08131081821522818,1.097149630387624,0.13645802515869143,2.1738969484965005,0.026626849674178058,,
