experiment,scenario,seed,best_epoch,best_val_task_loss,task_loss,task_mse,task_mae,task_r2,posthoc_kstar_mae,posthoc_kstar_rmse,posthoc_kstar_spearman_rho,posthoc_kstar_spearman_p,posthoc_profile_entropy_mean,posthoc_profile_peak_accuracy
LSTM_linear_seed0,linear,0,37,0.0920192301273346,0.06967781484127045,0.06967781453475604,0.20657843707047868,0.6667520486444634,1.649198299050331,2.042704937939506,0.4692339221990174,2.4082753302595492e-12,2.1396998365223987,0.15
LSTM_nonlinear_seed0,nonlinear,0,36,0.13997207581996918,0.09728246182203293,0.09728245027396733,0.24680316482379566,0.587652450698363,2.5985451531410217,2.9750227956146262,0.4533116426733681,1.5790414257432444e-11,2.0603023604202995,0.275
LSTM_linear_seed1,linear,1,32,0.10125028342008591,0.06808726489543915,0.06808726352536057,0.20450217016803798,0.6741321066900701,1.5976747161149978,1.974787907332271,0.4156021749370422,9.372734085354423e-10,2.160419897399825,0.125
LSTM_nonlinear_seed1,nonlinear,1,32,0.12512646615505219,0.08921274542808533,0.08921273306736623,0.23493910387612413,0.6024927789295741,2.5129123449325563,3.000939534086978,0.37621989091761093,4.013557340914216e-08,2.094067635659836,0.2
LSTM_linear_seed2,linear,2,29,0.09116657078266144,0.07217993587255478,0.07217993370737255,0.2128746270723641,0.6799942842106825,1.6729335033893584,2.0676250166231447,0.3730896121861549,5.299639930393936e-08,2.1545280586792757,0.15
LSTM_nonlinear_seed2,nonlinear,2,28,0.12422388046979904,0.09592175483703613,0.09592175289025823,0.24217817038553766,0.6093523481671383,2.6772753190994263,3.133958832140076,0.36230667889936885,1.3502715978800886e-07,2.091994290206102,0.22
