epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean
1.0,1.1897474527359009,1.0521655082702637,1.3758189678192139,3.6419193744659424,3.2446038722991943,3.1071133613586426,1.3749053478240967,3.1071137000629143,1.3556725113938393,-0.11636488577873978,-0.3749054589774014,1.0,,,5.5,0.0,0.0,2.3025853633880615
2.0,1.0717989206314087,0.9343083500862122,1.3749053478240967,2.5448925495147705,3.1615054607391357,3.02423095703125,1.3727450370788574,3.0242310019095786,1.3398405608710495,-0.08334954821226148,-0.3727450715279959,1.0,,,5.5,0.0,0.0,2.3025853633880615
3.0,0.9931585788726807,0.8558840751647949,1.3727450370788574,2.3250679969787598,3.0695266723632812,2.932435989379883,1.370906949043274,2.9324357477667147,1.3085729810762021,-0.04826501015393725,-0.37090703234483113,1.0,,,5.5,0.0,0.0,2.3025853633880615
4.0,0.9157930016517639,0.7787023186683655,1.370906949043274,1.2532157897949219,3.0151796340942383,2.8782193660736084,1.369602918624878,2.878219525781859,1.28713205729075,-0.02734754149465009,-0.3696028936908511,1.0,,,5.5,0.0,0.0,2.3025853633880615
5.0,0.8675336837768555,0.7305733561515808,1.369602918624878,1.1556615829467773,2.987337589263916,2.8504977226257324,1.3683993816375732,2.850497541947016,1.2759830107503203,-0.015500541720798122,-0.36839930224883044,1.0,,,5.5,0.0,0.0,2.3025853633880615
6.0,0.8291824460029602,0.6923425197601318,1.3683993816375732,1.138040542602539,2.9629461765289307,2.826216220855713,1.367300033569336,2.8262162117542644,1.270011299974144,-0.004880194768700441,-0.36729995875252497,1.0,,,5.5,0.0,0.0,2.3025853633880615
7.0,0.7931838035583496,0.6564537882804871,1.367300033569336,0.706697404384613,2.937653064727783,2.801018476486206,1.3663454055786133,2.8010186324791615,1.2670319551658449,0.005325157536675396,-0.36634542493956057,1.0,,,5.5,0.0,0.0,2.3025853633880615
8.0,0.7671266794204712,0.6304921507835388,1.3663454055786133,0.6991353034973145,2.9069552421569824,2.7704038619995117,1.3655136823654175,2.770403551032812,1.2607590568209575,0.016840087888477757,-0.36551362750924166,1.0,,,5.5,0.0,0.0,2.3025853633880615
9.0,0.7468349933624268,0.610283613204956,1.3655136823654175,0.8242781758308411,2.8784902095794678,2.742037773132324,1.3645234107971191,2.742037468911802,1.25118803534177,0.02747923297705816,-0.36452347882176994,1.0,,,5.5,0.0,0.0,2.3025853633880615
10.0,0.7260093688964844,0.5895570516586304,1.3645234107971191,0.6473968029022217,2.862416982650757,2.72609543800354,1.3632149696350098,2.7260954920582336,1.242604139874774,0.03371607982022821,-0.36321505738486387,1.0,,,5.5,0.0,0.0,2.3025853633880615
