epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_kstar_mae,val_kstar_rmse,val_kstar_spearman_rho,val_kstar_spearman_p,val_z_spearman_rho,val_z_spearman_p,val_proxy_recon_r2,val_omega_entropy_mean,val_omega_peak_accuracy
1.0,0.564633846282959,0.564633846282959,0.4122820496559143,6.835730075836182,0.4849255383014679,0.4849255383014679,0.370705246925354,1.8281264305114746,2.105657562684321,0.0,1.0,0.0,1.0,-4.62015628541693,2.0593422423874594,0.175
2.0,0.4101896584033966,0.4101896584033966,0.4119751751422882,4.879772663116455,0.38991063833236694,0.38991063833236694,0.370414137840271,1.8292104721069335,2.1065078130677004,0.0,1.0,0.0,1.0,-4.616015354512133,2.061242415781212,0.175
3.0,0.2988824248313904,0.2988824248313904,0.411684513092041,4.070098400115967,0.32746875286102295,0.32746875286102295,0.3701753616333008,1.8294894218444824,2.106727549867587,0.0,1.0,0.0,1.0,-4.612621819405065,2.062283224891174,0.175
4.0,0.19933238625526428,0.19933238625526428,0.41144615411758423,1.3788084983825684,0.3040711283683777,0.3040711283683777,0.3701685667037964,1.8299589157104492,2.107098258535377,0.0,1.0,0.0,1.0,-4.612524991271992,2.0622663064492874,0.175
5.0,0.16527435183525085,0.16527435183525085,0.41143935918807983,2.621518611907959,0.25032898783683777,0.25032898783683777,0.37027835845947266,1.8307319641113282,2.1077110412452935,0.0,1.0,0.0,1.0,-4.614084945529457,2.062089253349807,0.175
6.0,0.13340674340724945,0.13340674340724945,0.4115489423274994,2.121394157409668,0.1908474564552307,0.1908474564552307,0.3704581558704376,1.8319839477539062,2.108709769753539,0.0,1.0,0.0,1.0,-4.616640692278497,2.0621726407872103,0.175
7.0,0.10869590193033218,0.10869590193033218,0.41172847151756287,0.6183972358703613,0.15956315398216248,0.15956315398216248,0.37067219614982605,1.833742046356201,2.1101253696767044,0.0,1.0,0.0,1.0,-4.619685175851713,2.0628281005980273,0.175
8.0,0.1035543829202652,0.1035543829202652,0.41194212436676025,1.5633269548416138,0.13867013156414032,0.13867013156414032,0.3709103465080261,1.83598895072937,2.111956840756537,0.0,1.0,0.0,1.0,-4.6230757407235865,2.063895370138919,0.175
9.0,0.09256497770547867,0.09256497770547867,0.41217994689941406,1.0829639434814453,0.12855631113052368,0.12855631113052368,0.371169775724411,1.8385562896728516,2.1140800389421326,0.0,1.0,0.0,1.0,-4.626772328955357,2.0652312004873727,0.175
10.0,0.0857020914554596,0.0857020914554596,0.4124389588832855,0.7424730062484741,0.12021702527999878,0.12021702527999878,0.37144508957862854,1.8414673805236816,2.1165268063325384,0.0,1.0,0.0,1.0,-4.630698414774629,2.0668224577417043,0.175
11.0,0.08430921286344528,0.08430921286344528,0.41271382570266724,1.163459062576294,0.10680194944143295,0.10680194944143295,0.37173306941986084,1.8446504116058349,2.119249757296123,0.0,1.0,0.0,1.0,-4.634809310911232,2.0685720084060466,0.175
12.0,0.07796302437782288,0.07796302437782288,0.41300132870674133,0.4336484372615814,0.10187803208827972,0.10187803208827972,0.3720315396785736,1.8479384422302245,2.122114564869239,0.0,1.0,0.0,1.0,-4.639073984780151,2.070395868974957,0.175
13.0,0.07789548486471176,0.07789548486471176,0.4132993817329407,0.7143997550010681,0.1000935435295105,0.1000935435295105,0.37233683466911316,1.851170253753662,2.1249817143529417,0.0,1.0,0.0,1.0,-4.643440179220653,2.072204784079354,0.175
14.0,0.07770298421382904,0.07770298421382904,0.41360411047935486,0.8819119334220886,0.09612936526536942,0.09612936526536942,0.37264788150787354,1.854339838027954,2.127842880382784,0.0,1.0,0.0,1.0,-4.647893923613965,2.073935428274095,0.175
15.0,0.07459928840398788,0.07459928840398788,0.4139147102832794,0.2791782021522522,0.09577087312936783,0.09577087312936783,0.3729647696018219,1.857421588897705,2.1306713084195015,0.0,1.0,0.0,1.0,-4.652436051841014,2.0755570200307263,0.175
16.0,0.07466492801904678,0.07466492801904678,0.4142311215400696,0.5818643569946289,0.09580988436937332,0.09580988436937332,0.37328794598579407,1.8603272438049316,2.1333799861,0.0,1.0,0.0,1.0,-4.657072737335687,2.0770451704587316,0.175
17.0,0.07403934001922607,0.07403934001922607,0.4145537316799164,0.6986695528030396,0.09447694569826126,0.09447694569826126,0.37361618876457214,1.8630180358886719,2.135924471876671,0.0,1.0,0.0,1.0,-4.66178721133273,2.078371014687,0.175
18.0,0.07165683805942535,0.07165683805942535,0.41488146781921387,0.24737420678138733,0.09498235583305359,0.09498235583305359,0.3739486336708069,1.8653923988342285,2.138198466896606,0.0,1.0,0.0,1.0,-4.666567023615939,2.079493811690123,0.175
19.0,0.07103519141674042,0.07103519141674042,0.41521337628364563,0.4287208020687103,0.09533306956291199,0.09533306956291199,0.37428316473960876,1.8674630641937255,2.1402035220897955,0.0,1.0,0.0,1.0,-4.6713824203674665,2.0804018257642776,0.175
20.0,0.07085595279932022,0.07085595279932022,0.4155474007129669,0.595504105091095,0.09393899887800217,0.09393899887800217,0.3746190667152405,1.8691542148590088,2.141856196539524,0.0,1.0,0.0,1.0,-4.676222184802682,2.081094508159668,0.175
21.0,0.06940238922834396,0.06940238922834396,0.41588276624679565,0.2816770076751709,0.09335245192050934,0.09335245192050934,0.3749566674232483,1.870447540283203,2.143129242745348,0.0,1.0,0.0,1.0,-4.6810925436803466,2.0815943931087793,0.175
