epoch,train_task_loss,train_grad_norm,val_task_loss,val_mae,val_r2
1.0,1.565007209777832,10.10893726348877,3.2291455268859863,1.4335501109898994,-0.14654359976072495
2.0,1.2311699390411377,6.310074806213379,2.9961886405944824,1.3683179138743347,-0.06612233835145098
3.0,1.0479881763458252,3.4416251182556152,2.8721702098846436,1.3293448794407374,-0.025563087679058055
4.0,0.9767131805419922,3.1513898372650146,2.8242604732513428,1.3127067733069204,-0.01046258433748585
5.0,0.9433237910270691,3.837214231491089,2.806756019592285,1.3067468043335602,-0.004503743028116384
6.0,0.8899762630462646,3.611037015914917,2.8123912811279297,1.3084090300218314,-0.00653632079257771
7.0,0.8307303786277771,2.53403902053833,2.851241111755371,1.322011571859052,-0.021645310543235596
8.0,0.7876167893409729,0.9462565779685974,2.925780773162842,1.3476518279816392,-0.05202309654822921
9.0,0.7833393812179565,1.3783296346664429,2.9608466625213623,1.361559738472076,-0.06889085453147903
10.0,0.8032570481300354,2.011098861694336,2.9497005939483643,1.359053560042274,-0.06778160220974046
11.0,0.7697468996047974,1.803573727607727,2.901390314102173,1.3426541550980993,-0.05166851119736623
12.0,0.7832230925559998,1.228650689125061,2.836771249771118,1.3196632585516481,-0.027930446359907046
13.0,0.7685668468475342,0.9167348146438599,2.791060447692871,1.3060409418857573,-0.010733491318016097
14.0,0.7491126656532288,1.2942180633544922,2.767791271209717,1.3027013727661334,-0.0020791463290729304
15.0,0.7401673197746277,1.18846595287323,2.763087511062622,1.307414770500283,-0.000530494596841328
16.0,0.7530848979949951,0.6294490098953247,2.7761647701263428,1.3170958167068998,-0.005500568858265294
17.0,0.7382832765579224,0.26171761751174927,2.789158344268799,1.3245168479201808,-0.010398316739246885
18.0,0.7263213396072388,1.0137732028961182,2.782938241958618,1.3238497434684895,-0.008066292469339728
19.0,0.7192524671554565,0.9884495735168457,2.7632362842559814,1.3171868516612009,-0.0008065873376797797
20.0,0.7190853953361511,0.5933125615119934,2.743696451187134,1.3094937559499433,0.0062411621831577335
21.0,0.7107104659080505,0.4964887201786041,2.738743782043457,1.3057303783258027,0.007616159866609721
22.0,0.703587532043457,0.9374616742134094,2.7503223419189453,1.3082792861739907,0.0023702485434068574
23.0,0.6960909366607666,0.8753187656402588,2.776200294494629,1.3167297208582927,-0.008755969358671123
24.0,0.687345564365387,0.4892471134662628,2.8120765686035156,1.3283763355928275,-0.024055566609607337
25.0,0.6797981858253479,0.3045508861541748,2.8478219509124756,1.3392367453356697,-0.03945012791585482
26.0,0.6773134469985962,0.8298545479774475,2.867241382598877,1.3438604093213198,-0.04828480076529016
27.0,0.6652455925941467,0.6333391666412354,2.8745322227478027,1.3444309041369706,-0.05212421522470354
28.0,0.6568859219551086,0.3313579261302948,2.879899501800537,1.344422726271053,-0.05517261982315189
29.0,0.6451250910758972,0.5588314533233643,2.8949286937713623,1.3491547866724432,-0.06262035165118107
30.0,0.6340665817260742,0.6772966384887695,2.9207310676574707,1.3593708707626457,-0.07514330089991149
31.0,0.6280873417854309,0.41354790329933167,2.9515883922576904,1.3724344593444557,-0.09027503753350763
32.0,0.6203322410583496,0.316957026720047,2.9738407135009766,1.3817283432352159,-0.10183158621465264
33.0,0.6102563142776489,0.597371518611908,2.9747889041900635,1.3820629342120478,-0.10416997071159016
34.0,0.6042884588241577,0.32078075408935547,2.9689149856567383,1.3795215362809936,-0.103343783857975
35.0,0.6021561026573181,0.3910103738307953,2.975144147872925,1.3811100091375974,-0.10744799798628156
36.0,0.5849249958992004,0.5095834732055664,3.002377510070801,1.3894350886147357,-0.12044461103630476
37.0,0.5743732452392578,0.2629549503326416,3.042390823364258,1.401297727091746,-0.13872168735785245
38.0,0.5586903095245361,0.19676220417022705,3.0846643447875977,1.4119959918034235,-0.15751300791453435
39.0,0.548225998878479,0.28802844882011414,3.1260132789611816,1.4210232937228724,-0.17539339338080429
40.0,0.5339686274528503,0.2350839376449585,3.17124342918396,1.4309498582592686,-0.19440370507323457
41.0,0.5159152746200562,0.3572687804698944,3.2215263843536377,1.4422870890773607,-0.2146572330312276
