display_name,family,variant,seed,experiment,target_column,feature_bundle,anchor_proxy_name,anchor_expected_sign,proxy_index,proxy_name,expected_sign,rho,p_value,adjusted_rho,metric_valid
CMDL,cmdl,,10,energy_cmdl_seed10,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,0.6655749313977162,2.971363720965556e-11,-0.6655749313977162,True
CMDL,cmdl,,10,energy_cmdl_seed10,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,0.6863389774782179,4.045063277126887e-12,-0.6863389774782179,True
CMDL,cmdl,,10,energy_cmdl_seed10,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,0.7120600918069272,2.6885758909423265e-13,-0.7120600918069272,True
CMDL,cmdl,,11,energy_cmdl_seed11,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,0.6460501523792662,1.6865548583210633e-10,-0.6460501523792662,True
CMDL,cmdl,,11,energy_cmdl_seed11,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,0.6622364976795356,4.034947425089709e-11,-0.6622364976795356,True
CMDL,cmdl,,11,energy_cmdl_seed11,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,0.6723782546567355,1.5734589784761508e-11,-0.6723782546567355,True
CMDL,cmdl,,12,energy_cmdl_seed12,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,-0.1258867714563917,0.27210513733499303,0.1258867714563917,True
CMDL,cmdl,,12,energy_cmdl_seed12,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,-0.23370300585490456,0.039465886049549266,0.23370300585490456,True
CMDL,cmdl,,12,energy_cmdl_seed12,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,-0.2833748529951061,0.011935179757901926,0.2833748529951061,True
CMDL,cmdl,,13,energy_cmdl_seed13,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,0.925770432099546,7.754833387100632e-34,-0.925770432099546,True
CMDL,cmdl,,13,energy_cmdl_seed13,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,2,regulatory_quality,-1.0,0.8931448298536906,4.3151734002624655e-28,-0.8931448298536906,True
CMDL,cmdl,,13,energy_cmdl_seed13,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,rule_of_law,-1.0,0.946281566534731,5.2232270419126485e-39,-0.946281566534731,True
CMDL,cmdl,,14,energy_cmdl_seed14,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,1,government_effectiveness,-1.0,0.783305302292644,2.3525809383715905e-17,-0.783305302292644,True
