display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
No Recon Regularization,ablation,no_recon_regularization,14,energy_ablation_no_recon_regularization_seed14,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.783305302292644,-0.783305302292644,0.8088746696341633,-0.8088746696341633,True,2.9879302978515625,0.01796074555814964,1.1609606378251291,0.018231799553285834,1.0,0.04953400076708322,-0.7469871900251647,-0.7469871900251647,0.0,0.0,0.0,0.3218628261312133,0.04681682586669922,0.6281719895456127,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,10,energy_ablation_no_recon_regularization_seed10,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.6662072105110078,-0.6662072105110078,0.7007549412612704,-0.7007549412612704,True,6.274766445159912,0.045233740488316285,2.071805908329948,0.01145123202318228,0.5769230769230769,0.22535725906515153,-0.7813325914591736,-0.7813325914591736,0.0,0.0,0.0,0.17657038232956818,0.1267404556274414,0.7482647648591824,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,10,energy_cmdl_seed10,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.6655749313977162,-0.6655749313977162,0.7002491179706369,-0.7002491179706369,True,6.274797439575195,0.04520512787467858,2.0718037120521595,0.01145268518144635,0.5769230769230769,0.2253582083424415,-0.7813325914591736,-0.7813325914591736,0.0,0.0,0.0,0.17642042817797665,0.12670373916625977,0.7482631792689531,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,11,energy_cmdl_seed11,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.6460501523792662,-0.6460501523792662,0.6667889072952363,-0.6667889072952363,True,5.093633651733398,0.08347492713379348,1.9898665888026907,0.024316882342929214,1.0,0.15520223843953262,-0.6460501523792662,-0.6460501523792662,0.0,0.0,0.0,0.5384792944936654,0.24356603622436523,0.5476688843847497,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,11,energy_ablation_no_recon_regularization_seed11,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.6460501523792662,-0.6460501523792662,0.6667889072952363,-0.6667889072952363,True,5.0936279296875,0.08347376482346223,1.9898662141289647,0.024316779522646707,1.0,0.15520104339664112,-0.6460501523792662,-0.6460501523792662,0.0,0.0,0.0,0.538475730619477,0.2435626983642578,0.547662313787524,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,15,energy_ablation_no_recon_regularization_seed15,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.5467823315924581,-0.5467823315924581,0.5432668597225558,-0.5432668597225558,True,5.316315650939941,0.14524259409448215,1.825065056043743,0.13891843788865027,1.0,0.27009031435425535,0.5467823315924581,0.5467823315924581,0.0,0.0,0.0,-0.5485592938359091,0.4034266471862793,0.4840051036295476,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,15,energy_cmdl_seed15,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.5467823315924581,-0.5467823315924581,0.5432668597225558,-0.5432668597225558,True,5.316385746002197,0.14523178145355142,1.8250696719203818,0.1388984219362801,1.0,0.27004764741576087,0.5467823315924581,0.5467823315924581,0.0,0.0,0.0,-0.5486039494321118,0.40341901779174805,0.4839320389754557,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,18,energy_ablation_no_recon_regularization_seed18,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.2593988290190821,-0.2593988290190821,0.270552232577549,-0.270552232577549,True,5.408304214477539,0.01543928644286662,1.9616475236239468,0.022322856752870313,0.6794871794871795,0.23439968944592562,0.9415015364382452,0.9415015364382452,0.0,0.0,0.0,-0.029818859316563258,0.04980754852294922,0.8397637356238401,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,18,energy_cmdl_seed18,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.2593988290190821,-0.2593988290190821,0.270552232577549,-0.270552232577549,True,5.408230304718018,0.015443498145951093,1.9616366392484048,0.022327403138325905,0.6794871794871795,0.2344078721775225,0.9415015364382452,0.9415015364382452,0.0,0.0,0.0,-0.029851627450121262,0.049826622009277344,0.8397360509934418,True,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,18,energy_lstm_seed18,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,0.1020560146325551,-0.1020560146325551,0.10202507450382006,-0.10202507450382006,True,5.580286502838135,1.5473828283689413,2.030344410156906,0.6277230630963366,0.7307692307692307,,,,,,,,,,,softmax,0.0,,,0.0,1.0
