display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
Grouped ARDL,grouped_ardl,,0,energy_grouped_ardl_seed0,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,1,energy_grouped_ardl_seed1,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,2,energy_grouped_ardl_seed2,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,3,energy_grouped_ardl_seed3,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,4,energy_grouped_ardl_seed4,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,5,energy_grouped_ardl_seed5,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,6,energy_grouped_ardl_seed6,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,7,energy_grouped_ardl_seed7,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,8,energy_grouped_ardl_seed8,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,9,energy_grouped_ardl_seed9,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,10,energy_grouped_ardl_seed10,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,11,energy_grouped_ardl_seed11,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,12,energy_grouped_ardl_seed12,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,13,energy_grouped_ardl_seed13,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,14,energy_grouped_ardl_seed14,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,15,energy_grouped_ardl_seed15,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,16,energy_grouped_ardl_seed16,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,17,energy_grouped_ardl_seed17,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,18,energy_grouped_ardl_seed18,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
Grouped ARDL,grouped_ardl,,19,energy_grouped_ardl_seed19,co2_per_unit_energy,minimal,0,8.610672784518119,0.6070779775073337,,,,,,,,15.809800080631343,14725.707787937048
