epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_atm_count_spearman_rho,val_kstar_proxy_atm_count_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_terminal_count_spearman_rho,val_kstar_proxy_terminal_count_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_credit_card_depth_spearman_rho,val_kstar_proxy_credit_card_depth_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q2_mean,val_kstar_anchor_q3_mean,val_kstar_anchor_q4_mean,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2
1.0,0.9735946655273438,0.9735946655273438,,,,,,14.115418489012907,14.115418489012907,14.115418489012907,0.0,1.0,20.410099029541016,20.410099029541016,,,,,,20.410100344550905,4.499034304703985,0.0,1.8809523582458496,0.21295885499997996,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.16503518333850697,0.29522358138007904,0.7619047619047619,0.23809523809523808,0.7619047619047619
2.0,0.5532119274139404,0.5532119274139404,,,,,,9.764335540823883,9.764335540823883,9.764335540823883,0.0,1.0,18.624526977539062,18.624526977539062,,,,,,18.624526846048813,4.298162304929325,0.0,1.9047619104385376,0.19633836312465053,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.13202818351216705,0.27218269333748635,0.8095238095238095,0.19047619047619047,0.8095238095238095
3.0,0.2759963274002075,0.2759963274002075,,,,,,6.107519872918259,6.107519872918259,6.107519872918259,0.0,1.0,17.01749038696289,17.01749038696289,,,,,,17.01748924816959,4.109411760100296,0.0,1.9047619104385376,0.19633836312465053,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.13202818351216705,0.27218269333748635,0.8095238095238095,0.19047619047619047,0.8095238095238095
4.0,0.11617155373096466,0.11617155373096466,,,,,,3.150896062971995,3.150896062971995,3.150896062971995,0.0,1.0,15.621939659118652,15.621939659118652,,,,,,15.621939662094654,3.9388704349597297,0.0,1.9285714626312256,0.17496355305594127,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.09902118368582714,0.24255092254399718,0.8571428571428571,0.14285714285714285,0.8571428571428571
5.0,0.05100153014063835,0.05100153014063835,,,,,,1.2421693046815483,1.2421693046815483,1.2421693046815483,0.0,1.0,14.538177490234375,14.538177490234375,,,,,,14.538176587250481,3.8021918407508304,0.0,1.9285714626312256,0.17496355305594127,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.09902118368582714,0.24255092254399718,0.8571428571428571,0.14285714285714285,0.8571428571428571
6.0,0.038348328322172165,0.038348328322172165,,,,,,1.4962081452676474,1.4962081452676474,1.4962081452676474,0.0,1.0,13.929018020629883,13.929018020629883,,,,,,13.929017112128902,3.7240640748114813,0.0,1.9285714626312256,0.17496355305594127,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.09902118368582714,0.24255092254399718,0.8571428571428571,0.14285714285714285,0.8571428571428571
7.0,0.04307137057185173,0.04307137057185173,,,,,,2.1067970094986257,2.1067970094986257,2.1067970094986257,0.0,1.0,13.665593147277832,13.665593147277832,,,,,,13.665592089238398,3.690291404724121,0.0,1.9047619104385376,0.19633836312465053,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.13202818351216705,0.27218269333748635,0.8095238095238095,0.19047619047619047,0.8095238095238095
8.0,0.042969416826963425,0.042969416826963425,,,,,,2.2684251367131165,2.2684251367131165,2.2684251367131165,0.0,1.0,13.64592170715332,13.64592170715332,,,,,,13.645922827079838,3.6884334200904485,0.0,1.9047619104385376,0.19633836312465053,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.13202818351216705,0.27218269333748635,0.8095238095238095,0.19047619047619047,0.8095238095238095
9.0,0.03214030712842941,0.03214030712842941,,,,,,1.9629718094994792,1.9629718094994792,1.9629718094994792,0.0,1.0,13.803483963012695,13.803483963012695,,,,,,13.803483534913848,3.709849999064491,0.0,1.9047619104385376,0.19633836312465053,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.13202818351216705,0.27218269333748635,0.8095238095238095,0.19047619047619047,0.8095238095238095
10.0,0.019825240597128868,0.019825240597128868,,,,,,1.457190230524381,1.457190230524381,1.457190230524381,0.0,1.0,14.0916109085083,14.0916109085083,,,,,,14.09161140150548,3.7482671226773943,0.0,1.9047619104385376,0.19633836312465053,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.13202818351216705,0.27218269333748635,0.8095238095238095,0.19047619047619047,0.8095238095238095
