display_name,family,variant,test_r2_mean,test_r2_std,test_effective_kstar_proxy_spearman_rho_mean,test_effective_kstar_proxy_spearman_rho_std,test_effective_kstar_std_mean,test_effective_kstar_std_std,test_effective_lag_entropy_mean_mean,test_effective_lag_entropy_mean_std,test_proxy_signal_r2_mean,test_proxy_signal_r2_std,rho_positive_seed_share,rho_negative_seed_share,rho_sign_consistency_share,rho_all_same_sign,rho_dominant_sign,seed_count
CMDL,cmdl,,0.06280352165588787,0.014454038315162211,-0.2899158183931528,0.36358536489756577,0.15245601565887532,0.22318414264889858,1.8235817352930705,0.14232094088825673,0.24679880943533303,0.06206570837904305,0.3333333333333333,0.6666666666666666,0.6666666666666666,False,negative,3
No AC Encoder,ablation,no_ac_encoder,0.05175858082943429,0.01664751837287441,0.0,0.0,3.0425604791162186e-07,5.7016920510377043e-08,1.9107064406077068,0.10341423604722803,,,0.0,0.0,0.0,False,mixed,3
No Recon Regularization,ablation,no_recon_regularization,0.04989630191152778,0.016770810682553795,0.6247930682258463,0.2583816747134983,0.06421176840861638,0.016890801445858913,1.9139147996902466,0.10065916764049279,0.3145503925575956,0.065547515435815,1.0,0.0,1.0,True,positive,3
Plain LSTM,plain_lstm,,0.0990441732831745,0.022289924160423125,-0.0035562759345870026,0.14030460790019256,1.8560494184494019,0.16362575616770056,1.8957767089207966,0.07505597661554222,,,0.6666666666666666,0.3333333333333333,0.6666666666666666,False,positive,3
Uniform Lag,ablation,uniform_lag,0.08565594791093722,0.031516853368408815,,,0.0,0.0,2.3025853633880615,0.0,0.24259522742447834,0.0747119817237931,,,,False,none,3
