label,mean_test_r2,mean_rho,mean_kstar_std,mean_entropy,mean_proxy_signal_r2
CMDL,0.06280352165588787,-0.2899158183931528,0.15245601565887532,1.8235817352930705,0.24679880943533303
Plain LSTM,0.0990441732831745,-0.0035562759345870026,1.8560494184494019,1.8957767089207966,
No AC Encoder,0.05175858082943429,0.0,3.0425604791162186e-07,1.9107064406077068,
Uniform Lag,0.08565594791093722,,0.0,2.3025853633880615,0.24259522742447837
Old No Recon,0.04989630191152778,0.6247930682258463,0.06421176840861638,1.9139147996902466,0.3145503925575956
Matched-init No Recon,0.06162342241599483,-0.29248705575710615,0.15137786092236638,1.8239137729008992,0.24732785896534035
