seed,test_r2_cmdl,test_proxy_signal_r2_cmdl,test_effective_kstar_proxy_spearman_rho_cmdl,test_effective_kstar_std_cmdl,test_effective_lag_entropy_mean_cmdl,test_r2_old_no_recon,test_proxy_signal_r2_old_no_recon,test_effective_kstar_proxy_spearman_rho_old_no_recon,test_effective_kstar_std_old_no_recon,test_effective_lag_entropy_mean_old_no_recon,test_r2_matched_no_recon,test_proxy_signal_r2_matched_no_recon,test_effective_kstar_proxy_spearman_rho_matched_no_recon,test_effective_kstar_std_matched_no_recon,test_effective_lag_entropy_mean_matched_no_recon,matched_init_to_full_cmdl,causal_ablation_validity,delta_r2_old_minus_cmdl,delta_r2_matched_minus_cmdl,delta_rho_old_minus_cmdl,delta_rho_matched_minus_cmdl
0,0.04618508182232321,0.20266362525068934,-0.2250889366348491,0.04026934877038002,1.6624031066894531,0.03299722176397597,0.3824495226551041,0.8889789017646439,0.04605717957019806,1.7980560064315796,0.046186096456460754,0.20266761477709075,-0.2250889366348491,0.04026681184768677,1.66241455078125,True,matched_init_effective_lambda_only,-0.01318786005834724,1.014634137541659e-06,1.114067838399493,0.0
1,0.07245058189939865,0.21996633716846303,0.036895495051248645,0.007622060365974903,1.9319440126419067,0.06653583029878898,0.2516395105703868,0.37263569441020045,0.06711594760417938,1.9798954725265503,0.07245017034762066,0.21996367466304803,0.03576837730266635,0.007620168384164572,1.9319449663162231,True,matched_init_effective_lambda_only,-0.005914751600609669,-4.1155177799012677e-07,0.33574019935895183,-0.0011271177485822972
2,0.06977490124594174,0.31776646588684665,-0.681554013595858,0.409476637840271,1.8763980865478516,0.050155853671818386,0.3095621444472958,0.6127646085026945,0.07946217805147171,1.9637929201126099,0.06623400044390308,0.3193522874558823,-0.6881406079391357,0.4062466025352478,1.8773818016052246,True,matched_init_effective_lambda_only,-0.019619047574123354,-0.0035409008020386573,1.2943186220985525,-0.006586594343277685
