display_name,rho_dominant_sign,rho_all_same_sign,rho_sign_consistency_share,rho_positive_seed_share,rho_negative_seed_share,mean_rho,mean_abs_rho,mean_kstar_std,mean_entropy,mean_test_r2
No Recon Regularization,positive,True,1.0,1.0,0.0,0.6247930682258463,0.6247930682258463,0.06421176840861638,1.9139147996902466,0.04989630191152778
CMDL,negative,False,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.2899158183931528,0.2899158183931528,0.15245601565887532,1.8235817352930705,0.06280352165588787
Plain LSTM,positive,False,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.0035562759345870026,0.0035562759345870026,1.8560494184494019,1.8957767089207966,0.0990441732831745
No AC Encoder,mixed,False,0.0,0.0,0.0,0.0,0.0,3.0425604791162186e-07,1.9107064406077068,0.05175858082943429
Uniform Lag,none,False,,,,,,0.0,2.3025853633880615,0.08565594791093722
