epoch,train_task_loss,train_grad_norm,val_task_loss,val_mae,val_r2
1.0,1.3383244276046753,3.5297911167144775,18.247087478637695,2.686143803081881,-0.10504252786477086
2.0,1.262711524963379,3.239744186401367,17.996414184570312,2.653156073463476,-0.08772090361976152
3.0,1.223655343055725,2.244861364364624,17.63317108154297,2.6080981634386107,-0.06274195666623635
4.0,1.1857850551605225,1.1002477407455444,17.602331161499023,2.6066135625955926,-0.058317354026178915
5.0,1.1497842073440552,1.4284703731536865,17.770153045654297,2.6261632001031443,-0.0664523087875643
6.0,1.1262468099594116,0.4315260946750641,18.008474349975586,2.653095150193295,-0.08025407898905555
7.0,1.1128191947937012,1.1234110593795776,18.073793411254883,2.6604193043556763,-0.0839575310770435
8.0,1.102090835571289,0.8572190999984741,18.043428421020508,2.6573672550312506,-0.0823137078117936
9.0,1.0748529434204102,0.8239569067955017,18.09409523010254,2.6636513431345583,-0.0862779328053722
10.0,1.0536783933639526,0.8584283590316772,18.17563819885254,2.673350987034555,-0.09281729793279751
11.0,1.022896409034729,0.4552537202835083,18.209640502929688,2.677433034629983,-0.09713464756935042
12.0,0.9930287599563599,0.7343561053276062,18.14950942993164,2.6710918586498176,-0.09542153221329008
13.0,0.959758460521698,0.6518852710723877,18.05360984802246,2.6615370355375334,-0.0907020167473499
14.0,0.9236189723014832,0.7382850646972656,18.12032699584961,2.671342262423112,-0.09579235210010399
15.0,0.8999602198600769,0.9528254866600037,18.395103454589844,2.706742280933003,-0.11417499393789247
16.0,0.8587847948074341,0.48263153433799744,18.749713897705078,2.7530525533669494,-0.13746101277311326
17.0,0.8172640204429626,0.7715890407562256,19.007854461669922,2.7869449115187153,-0.15341040614064352
18.0,0.7679141759872437,0.507004976272583,19.17580795288086,2.807467869329704,-0.16359468061673652
19.0,0.7311538457870483,0.9260871410369873,19.52878189086914,2.8453282912393125,-0.18966136059027083
20.0,0.680438220500946,1.047795295715332,19.78927993774414,2.8694241878548716,-0.20863755941040518
21.0,0.6443731784820557,0.5711551308631897,20.285537719726562,2.915159507612817,-0.2447962567597282
22.0,0.6136292219161987,0.8990166783332825,20.904468536376953,2.97271939403473,-0.28965172483514745
23.0,0.5947240591049194,1.4510353803634644,20.799985885620117,2.9538785938917793,-0.2791940436063224
24.0,0.5690727829933167,1.3843837976455688,20.947561264038086,2.9656028763458737,-0.28884201049834274
