display_name,family,variant,test_r2_mean,test_r2_std,test_effective_kstar_proxy_spearman_rho_mean,test_effective_kstar_proxy_spearman_rho_std,test_effective_kstar_std_mean,test_effective_kstar_std_std,test_effective_lag_entropy_mean_mean,test_effective_lag_entropy_mean_std,test_proxy_signal_r2_mean,test_proxy_signal_r2_std,rho_positive_seed_share,rho_all_positive,seed_count
CMDL,cmdl,,0.0207755474437463,0.024155160501812645,-0.3762906904416338,0.6019068785431501,0.03259146772325039,0.043889995382602055,1.8984298706054688,0.11378989269136683,0.3864289129136649,0.09598440612969149,0.3333333333333333,False,3
No AC Encoder,ablation,no_ac_encoder,2.6359761515428366e-05,0.03295380304239487,0.0,0.0,3.9622693748242455e-07,4.943957792214064e-07,1.7866724729537964,0.13564247289549436,,,0.0,False,3
No Recon Regularization,ablation,no_recon_regularization,0.005126147457667012,0.028303848742541823,-0.8898196143479161,0.06934215273181533,0.22219538440306982,0.16333441539824045,1.801118016242981,0.1462910687162689,0.43058471206128096,0.032502144891629774,0.0,False,3
Plain LSTM,plain_lstm,,0.05713168729310439,0.005474938780532451,0.12199676684757362,0.16254404653600035,1.9147469600041707,0.09029359182177746,1.871949831644694,0.0583742032610509,,,1.0,True,3
Uniform Lag,ablation,uniform_lag,0.03915176837856762,0.021577941726926054,,,0.0,0.0,2.3025853633880615,0.0,0.42571696723827457,0.012095000811730107,,False,3
