display_name,rho_all_positive,rho_positive_seed_share,mean_rho,mean_kstar_std,mean_entropy,mean_test_r2
Plain LSTM,True,1.0,0.12199676684757362,1.9147469600041707,1.871949831644694,0.05713168729310439
No AC Encoder,False,0.0,0.0,3.9622693748242455e-07,1.7866724729537964,2.6359761515428366e-05
CMDL,False,0.3333333333333333,-0.3762906904416338,0.03259146772325039,1.8984298706054688,0.0207755474437463
No Recon Regularization,False,0.0,-0.8898196143479161,0.22219538440306982,1.801118016242981,0.005126147457667012
Uniform Lag,False,,,0.0,2.3025853633880615,0.03915176837856762
