workbook_row_index,observed_block_code,global_year,global_county,ti__unnamed_1561_level_1,ti__unnamed_1562_level_1,ti__unnamed_1563_level_1,ti__unnamed_1564_level_1,ti__unnamed_1565_level_1,ti__unnamed_1566_level_1
67,TI,2006.0,SE122 Södermanland,,,,,,
68,TI,2006.0,SE122 Södermanland,,,,,,
69,TI,2006.0,SE122 Södermanland,,,,,,
70,TI,2006.0,SE122 Södermanland,,,,,,
71,TI,2006.0,SE122 Södermanland,,,,,,
72,TI,2006.0,SE122 Södermanland,,,,,,
73,TI,2006.0,SE122 Södermanland,,,,,,
74,TI,2006.0,SE122 Södermanland,,,,,,
75,TI,2006.0,SE122 Södermanland,,,,,,
76,TI,2006.0,SE122 Södermanland,,,,,,
77,TI,2006.0,SE122 Södermanland,,,,,,
78,TI,2006.0,SE122 Södermanland,,,,,,
79,TI,2006.0,SE122 Södermanland,,,,,,
80,TI,2006.0,SE122 Södermanland,,,,,,
81,TI,2006.0,SE122 Södermanland,,,,,,
82,TI,2006.0,SE122 Södermanland,,,,,,
83,TI,2006.0,SE122 Södermanland,,,,,,
84,TI,2006.0,SE123 Östergötland,,,,,,
85,TI,2006.0,SE123 Östergötland,,,,,,
86,TI,2006.0,SE123 Östergötland,,,,,,
87,TI,2006.0,SE123 Östergötland,,,,,,
88,TI,2006.0,SE123 Östergötland,,,,,,
89,TI,2006.0,SE123 Östergötland,,,,,,
90,TI,2006.0,SE123 Östergötland,,,,,,
91,TI,2006.0,SE123 Östergötland,,,,,,
92,TI,2006.0,SE123 Östergötland,,,,,,
93,TI,2006.0,SE123 Östergötland,,,,,,
94,TI,2006.0,SE123 Östergötland,,,,,,
95,TI,2006.0,SE123 Östergötland,,,,,,
96,TI,2006.0,SE123 Östergötland,,,,,,
97,TI,2006.0,SE123 Östergötland,,,,,,
98,TI,2006.0,SE123 Östergötland,,,,,,
99,TI,2006.0,SE123 Östergötland,,,,,,
100,TI,2006.0,SE123 Östergötland,,,,,,
101,TI,2006.0,SE123 Östergötland,,,,,,
102,TI,2006.0,SE123 Östergötland,,,,,,
103,TI,2006.0,SE123 Östergötland,,,,,,
104,TI,2006.0,SE123 Östergötland,,,,,,
105,TI,2006.0,SE123 Östergötland,,,,,,
106,TI,2006.0,SE123 Östergötland,,,,,,
107,TI,2006.0,SE123 Östergötland,,,,,,
108,TI,2006.0,SE123 Östergötland,,,,,,
109,TI,2006.0,SE123 Östergötland,,,,,,
110,TI,2006.0,SE123 Östergötland,,,,,,
111,TI,2006.0,SE123 Östergötland,,,,,,
112,TI,2006.0,SE123 Östergötland,,,,,,
113,TI,2006.0,SE123 Östergötland,,,,,,
114,TI,2006.0,SE123 Östergötland,,,,,,
115,TI,2006.0,SE123 Östergötland,,,,,,
116,TI,2006.0,SE123 Östergötland,,,,,,
117,TI,2006.0,SE123 Östergötland,,,,,,
118,TI,2006.0,SE123 Östergötland,,,,,,
119,TI,2006.0,SE123 Östergötland,,,,,,
120,TI,2006.0,SE123 Östergötland,,,,,,
121,TI,2006.0,SE123 Östergötland,,,,,,
122,TI,2006.0,SE123 Östergötland,,,,,,
123,TI,2006.0,SE123 Östergötland,,,,,,
124,TI,2006.0,SE123 Östergötland,,,,,,
125,TI,2006.0,SE123 Östergötland,,,,,,
126,TI,2006.0,SE123 Östergötland,,,,,,
127,TI,2006.0,SE123 Östergötland,,,,,,
128,TI,2006.0,SE123 Östergötland,,,,,,
129,TI,2006.0,SE123 Östergötland,,,,,,
130,TI,2006.0,SE123 Östergötland,,,,,,
131,TI,2006.0,SE123 Östergötland,,,,,,
132,TI,2006.0,SE123 Östergötland,,,,,,
133,TI,2006.0,SE123 Östergötland,,,,,,
134,TI,2006.0,SE123 Östergötland,,,,,,
135,TI,2006.0,SE123 Östergötland,,,,,,
136,TI,2006.0,SE123 Östergötland,,,,,,
137,TI,2006.0,SE123 Östergötland,,,,,,
138,TI,2006.0,SE123 Östergötland,,,,,,
139,TI,2006.0,SE123 Östergötland,,,,,,
140,TI,2006.0,SE123 Östergötland,,,,,,
141,TI,2006.0,SE123 Östergötland,,,,,,
142,TI,2006.0,SE123 Östergötland,,,,,,
143,TI,2006.0,SE123 Östergötland,,,,,,
144,TI,2006.0,SE123 Östergötland,,,,,,
145,TI,2006.0,SE123 Östergötland,,,,,,
146,TI,2006.0,SE123 Östergötland,,,,,,
147,TI,2006.0,SE123 Östergötland,,,,,,
148,TI,2006.0,SE123 Östergötland,,,,,,
149,TI,2006.0,SE123 Östergötland,,,,,,
150,TI,2006.0,SE123 Östergötland,,,,,,
151,TI,2006.0,SE123 Östergötland,,,,,,
152,TI,2006.0,SE123 Östergötland,,,,,,
153,TI,2006.0,SE123 Östergötland,,,,,,
154,TI,2006.0,SE123 Östergötland,,,,,,
155,TI,2006.0,SE123 Östergötland,,,,,,
156,TI,2006.0,SE123 Östergötland,,,,,,
157,TI,2006.0,SE123 Östergötland,,,,,,
158,TI,2006.0,SE123 Östergötland,,,,,,
159,TI,2006.0,SE123 Östergötland,,,,,,
160,TI,2006.0,SE123 Östergötland,,,,,,
161,TI,2006.0,SE123 Östergötland,,,,,,
162,TI,2006.0,SE123 Östergötland,,,,,,
163,TI,2006.0,SE123 Östergötland,,,,,,
164,TI,2006.0,SE123 Östergötland,,,,,,
165,TI,2006.0,SE123 Östergötland,,,,,,
166,TI,2006.0,SE123 Östergötland,,,,,,
167,TI,2006.0,SE123 Östergötland,,,,,,
168,TI,2006.0,SE123 Östergötland,,,,,,
169,TI,2006.0,SE123 Östergötland,,,,,,
170,TI,2006.0,SE123 Östergötland,,,,,,
171,TI,2006.0,SE123 Östergötland,,,,,,
172,TI,2006.0,SE123 Östergötland,,,,,,
173,TI,2006.0,SE123 Östergötland,,,,,,
174,TI,2006.0,SE123 Östergötland,,,,,,
175,TI,2006.0,SE123 Östergötland,,,,,,
176,TI,2006.0,SE123 Östergötland,,,,,,
177,TI,2006.0,SE123 Östergötland,,,,,,
178,TI,2006.0,SE123 Östergötland,,,,,,
179,TI,2006.0,SE123 Östergötland,,,,,,
180,TI,2006.0,SE123 Östergötland,,,,,,
181,TI,2006.0,SE123 Östergötland,,,,,,
182,TI,2006.0,SE123 Östergötland,,,,,,
183,TI,2006.0,SE123 Östergötland,,,,,,
184,TI,2006.0,SE123 Östergötland,,,,,,
185,TI,2006.0,SE123 Östergötland,,,,,,
186,TI,2006.0,SE123 Östergötland,,,,,,
187,TI,2006.0,SE123 Östergötland,,,,,,
188,TI,2006.0,SE123 Östergötland,,,,,,
189,TI,2006.0,SE123 Östergötland,,,,,,
190,TI,2006.0,SE123 Östergötland,,,,,,
191,TI,2006.0,SE123 Östergötland,,,,,,
192,TI,2006.0,SE123 Östergötland,,,,,,
193,TI,2006.0,SE123 Östergötland,,,,,,
194,TI,2006.0,SE123 Östergötland,,,,,,
195,TI,2006.0,SE123 Östergötland,,,,,,
196,TI,2006.0,SE123 Östergötland,,,,,,
197,TI,2006.0,SE123 Östergötland,,,,,,
198,TI,2006.0,SE123 Östergötland,,,,,,
199,TI,2006.0,SE123 Östergötland,,,,,,
200,TI,2006.0,SE123 Östergötland,,,,,,
201,TI,2006.0,SE123 Östergötland,,,,,,
202,TI,2006.0,SE123 Östergötland,,,,,,
203,TI,2006.0,SE123 Östergötland,,,,,,
204,TI,2006.0,SE124 Örebro,,,,,,
205,TI,2006.0,SE125 Västmanland,,,,,,
206,TI,2006.0,SE21 Småland med öarna,,,,,,
207,TI,2006.0,SE211 Jönköping,,,,,,
208,TI,2006.0,SE211 Jönköping,,,,,,
209,TI,2006.0,SE211 Jönköping,,,,,,
210,TI,2006.0,SE211 Jönköping,,,,,,
211,TI,2006.0,SE211 Jönköping,,,,,,
212,TI,2006.0,SE211 Jönköping,,,,,,
213,TI,2006.0,SE211 Jönköping,,,,,,
214,TI,2006.0,SE211 Jönköping,,,,,,
215,TI,2006.0,SE211 Jönköping,,,,,,
216,TI,2006.0,SE211 Jönköping,,,,,,
217,TI,2006.0,SE211 Jönköping,,,,,,
218,TI,2006.0,SE211 Jönköping,,,,,,
219,TI,2006.0,SE211 Jönköping,,,,,,
220,TI,2006.0,SE211 Jönköping,,,,,,
221,TI,2006.0,SE211 Jönköping,,,,,,
222,TI,2006.0,SE211 Jönköping,,,,,,
223,TI,2006.0,SE211 Jönköping,,,,,,
224,TI,2006.0,SE211 Jönköping,,,,,,
225,TI,2006.0,SE211 Jönköping,,,,,,
226,TI,2006.0,SE211 Jönköping,,,,,,
227,TI,2006.0,SE211 Jönköping,,,,,,
228,TI,2006.0,SE211 Jönköping,,,,,,
229,TI,2006.0,SE211 Jönköping,,,,,,
230,TI,2006.0,SE211 Jönköping,,,,,,
231,TI,2006.0,SE211 Jönköping,,,,,,
232,TI,2006.0,SE211 Jönköping,,,,,,
233,TI,2006.0,SE211 Jönköping,,,,,,
234,TI,2006.0,SE211 Jönköping,,,,,,
235,TI,2006.0,SE211 Jönköping,,,,,,
236,TI,2006.0,SE211 Jönköping,,,,,,
237,TI,2006.0,SE211 Jönköping,,,,,,
238,TI,2006.0,SE211 Jönköping,,,,,,
239,TI,2006.0,SE211 Jönköping,,,,,,
240,TI,2006.0,SE211 Jönköping,,,,,,
241,TI,2006.0,SE211 Jönköping,,,,,,
242,TI,2006.0,SE211 Jönköping,,,,,,
243,TI,2006.0,SE211 Jönköping,,,,,,
244,TI,2006.0,SE211 Jönköping,,,,,,
245,TI,2006.0,SE211 Jönköping,,,,,,
246,TI,2006.0,SE211 Jönköping,,,,,,
247,TI,2006.0,SE211 Jönköping,,,,,,
248,TI,2006.0,SE211 Jönköping,,,,,,
249,TI,2006.0,SE211 Jönköping,,,,,,
