workbook_row_index,observed_block_code,global_year,global_county,rifm__unnamed_1912_level_1,rifm__anm_lda_brott,rifm__unnamed_1914_level_1,rifm__anm_lda_brott_1,rifm__unnamed_1916_level_1,rifm__anm_lda_brott_2,rifm__unnamed_1918_level_1,rifm__anm_lda_brott_3,rifm__unnamed_1920_level_1,rifm__anm_lda_brott_4,rifm__unnamed_1922_level_1,rifm__brottsf_rebyggande_r_det,rifm__unnamed_1924_level_1,rifm__unnamed_1925_level_1,rifm__unnamed_1926_level_1,rifm__anm_lda_brott_5,rifm__unnamed_1928_level_1,rifm__brottsf_rebyggande_r_det_1,rifm__unnamed_1930_level_1,rifm__unnamed_1931_level_1,rifm__unnamed_1932_level_1,rifm__anm_lda_brott_6,rifm__unnamed_1934_level_1,rifm__brottsf_rebyggande_r_det_2,rifm__unnamed_1936_level_1,rifm__unnamed_1937_level_1,rifm__unnamed_1938_level_1,rifm__anm_lda_brott_7,rifm__unnamed_1940_level_1,rifm__brottsf_rebyggande_r_det_3,rifm__anm_lda_brott_8,rifm__unnamed_1943_level_1,rifm__brottsf_rebyggande_r_det_4,rifm__unnamed_1945_level_1,rifm__anm_lda_brott_9,rifm__unnamed_1947_level_1,rifm__anm_lda_brott_10,rifm__unnamed_1949_level_1,rifm__brottsf_rebyggande_r_det_5,rifm__unnamed_1951_level_1,rifm__unnamed_1952_level_1,rifm__anm_lda_brott_11,rifm__unnamed_1954_level_1,rifm__anm_lda_brott_12,rifm__unnamed_1956_level_1,rifm__brottsf_rebyggande_r_det_6,rifm__unnamed_1958_level_1,rifm__anm_lda_brott_13,rifm__unnamed_1960_level_1,rifm__anm_lda_brott_14,rifm__unnamed_1962_level_1,rifm__brottsf_rebyggande_r_det_7,rifm__unnamed_1964_level_1,rifm__unnamed_1965_level_1,rifm__unnamed_1966_level_1,rifm__anm_lda_brott_15,rifm__unnamed_1968_level_1,rifm__anm_lda_brott_16,rifm__unnamed_1970_level_1,rifm__anm_lda_brott_17,rifm__unnamed_1972_level_1,rifm__anm_lda_brott_18,rifm__unnamed_1974_level_1,rifm__anm_lda_brott_19,rifm__unnamed_1976_level_1
280,RIFM,2006.0,SE211 Jönköping,..,"0975 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, mot äldre/funktionsnedsatt",..,"0975 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, mot äldre/funktionsnedsatt",..,"0975 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, mot äldre/funktionsnedsatt",0,"0975 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, mot äldre/funktionsnedsatt",0,Gävleborgs län,,,,,,0485 - Olaga integritetsintrång mot pojke under 18 år,..,..,..,0,0,"0696 - Fullbordad våldtäkt inkl. grov (4 §), mot flicka 15-17 år, utomhus (upphörde år 2024)",..,..,..,0,0,"0873 - Rån, utan skjutvapen, rån mot värdebefordran",..,..,"0873 - Rån, utan skjutvapen, rån mot värdebefordran",..,0,0,"0906 - Bedrägeri, övrigt bedrägeri",..,"0906 - Bedrägeri, övrigt bedrägeri",..,..,..,..,2208 - Krigsförbrytelse inkl. grov,0,"1205 - Skadegörelse, mot stat, kommun, landsting (ej klotter)",..,..,..,2208 - Krigsförbrytelse inkl. grov,0,"6119 - Fullbordad våldtäkt inkl. grov, mot pojke under 15 år, på internet",..,..,..,..,..,"9802 - Inbrottsstöld, fullbordat, i lägenhet",..,"9802 - Inbrottsstöld, fullbordat, i lägenhet",..,"9802 - Inbrottsstöld, fullbordat, i lägenhet",..,"9802 - Inbrottsstöld, fullbordat, i lägenhet",0,"9802 - Inbrottsstöld, fullbordat, i lägenhet",0
281,RIFM,2006.0,SE211 Jönköping,..,"0976 - Fakturabedrägeri, utan kontakt, internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0976 - Fakturabedrägeri, utan kontakt, internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0976 - Fakturabedrägeri, utan kontakt, internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0976 - Fakturabedrägeri, utan kontakt, internationell anknytning, ej mot äldre/funktionsnedsatt",0,04,..,..,..,0,0,0486 - Olaga integritetsintrång mot kvinna 18 år eller äldre(upphörde år 2019),..,..,..,..,..,"0697 - Fullbordad våldtäkt inkl. grov (4 §), mot flicka 15-17 år, inomhus (upphörde år 2024)",..,..,..,0,0,"0874 - Inbrottsstöld, försök, i lägenhet",..,..,"0874 - Inbrottsstöld, försök, i lägenhet",..,0,0,"0907 - Utpressning, ocker (upphörde år 2013)",..,"0907 - Utpressning, ocker (upphörde år 2013)",..,..,..,..,"2209 - Övriga brott mot lag om straff för folkmord, brott mot mänskligheten och krigsförbrytelser",0,"1206 - Skadegörelse, datasabotage",..,..,..,"2209 - Övriga brott mot lag om straff för folkmord, brott mot mänskligheten och krigsförbrytelser",0,"6120 - Fullbordad våldtäkt inkl. grov, mot pojke under 15 år, ej på internet",..,..,..,..,..,9803 - Tillgrepp av lastbil släp järnvägsv el dyl yrkesm godsbefor,..,9803 - Tillgrepp av lastbil släp järnvägsv el dyl yrkesm godsbefor,..,9803 - Tillgrepp av lastbil släp järnvägsv el dyl yrkesm godsbefor,..,9803 - Tillgrepp av lastbil släp järnvägsv el dyl yrkesm godsbefor,0,9803 - Tillgrepp av lastbil släp järnvägsv el dyl yrkesm godsbefor,0
282,RIFM,2006.0,SE211 Jönköping,..,"0977 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0977 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0977 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0977 - Fakturabedrägeri, utan kontakt, ej internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0401 - Hemfridsbrott, olaga intrång",..,..,..,..,..,0487 - Olaga integritetsintrång man 18 år eller äldre(upphörde år 2019),..,..,..,..,..,"0698 - Fullbordad våldtäkt inkl. grov (4 §), mot pojke 15-17 år, utomhus (upphörde år 2024)",..,..,..,0,0,"0875 - Övr brott kap. 8, egenmäktigt förfar/självtäkt/olovl kraftavledn",..,..,"0875 - Övr brott kap. 8, egenmäktigt förfar/självtäkt/olovl kraftavledn",..,0,0,"0908 - Häleri, häleriförseelse (upphörde år 1976)",..,"0908 - Häleri, häleriförseelse (upphörde år 1976)",..,..,..,..,3001 - Grov vårdslöshet i trafik,0,1207 - Klotter (upphörde år 2005),..,..,..,3001 - Grov vårdslöshet i trafik,0,"6121 - Försök till våldtäkt inkl. grov (4 §), mot flicka 15–17 år, på internet",..,..,..,..,..,9804 - Stöld ur lastbil släp järnvägsv el dyl för yrkesm godsbefor,..,9804 - Stöld ur lastbil släp järnvägsv el dyl för yrkesm godsbefor,..,9804 - Stöld ur lastbil släp järnvägsv el dyl för yrkesm godsbefor,..,9804 - Stöld ur lastbil släp järnvägsv el dyl för yrkesm godsbefor,0,9804 - Stöld ur lastbil släp järnvägsv el dyl för yrkesm godsbefor,0
283,RIFM,2006.0,SE211 Jönköping,..,"0978 - Kortbedrägeri, med fysiskt kort, internationell anknytning, mot äldre/funktionsnedsatt",..,"0978 - Kortbedrägeri, med fysiskt kort, internationell anknytning, mot äldre/funktionsnedsatt",..,"0978 - Kortbedrägeri, med fysiskt kort, internationell anknytning, mot äldre/funktionsnedsatt",0,"0978 - Kortbedrägeri, med fysiskt kort, internationell anknytning, mot äldre/funktionsnedsatt",0,0414 - Ofredande mot grupp,..,..,..,0,0,0488 - Olaga tvång mot flicka under 18 år,..,..,..,0,0,"0699 - Fullbordad våldtäkt inkl. grov (4 §), mot pojke 15-17 år, inomhus (upphörde år 2024)",..,..,..,0,0,"0876 - Stöld under yrkesmässig transport, dock ej fickstöld (upphörde år 2010)",..,..,"0876 - Stöld under yrkesmässig transport, dock ej fickstöld (upphörde år 2010)",..,..,..,"0909 - Övriga brott mot kap. 9, oredl förfarande/svindleri/ockerpant (upphörde år 2012)",..,"0909 - Övriga brott mot kap. 9, oredl förfarande/svindleri/ockerpant (upphörde år 2012)",..,..,..,..,"3002 - Olovlig körning, grov olovlig körning",0,1208 - klotter mot kollektivtrafik,..,..,..,"3002 - Olovlig körning, grov olovlig körning",0,"6122 - Försök till våldtäkt inkl. grov (4 §), mot flicka 15–17 år, ej på internet",..,..,..,..,..,"9806 - Rån mot privatperson under 18 år, utan skjutvapen, utomhus",..,"9806 - Rån mot privatperson under 18 år, utan skjutvapen, utomhus",..,"9806 - Rån mot privatperson under 18 år, utan skjutvapen, utomhus",..,"9806 - Rån mot privatperson under 18 år, utan skjutvapen, utomhus",0,"9806 - Rån mot privatperson under 18 år, utan skjutvapen, utomhus",0
284,RIFM,2006.0,SE211 Jönköping,..,"0979 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, mot äldre/funktionsnedsatt",..,"0979 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, mot äldre/funktionsnedsatt",..,"0979 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, mot äldre/funktionsnedsatt",0,"0979 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, mot äldre/funktionsnedsatt",0,0415 - Dataintrång,..,..,..,..,..,0489 - Olaga tvång mot pojke under 18 år ,..,..,..,0,0,0701 - Brott mot familj  (upphörde år 1976),..,..,..,..,..,"0877 - Rån, utan skjutvapen, rån mot privatperson, utomhus (upphörde år 2007)",..,..,"0877 - Rån, utan skjutvapen, rån mot privatperson, utomhus (upphörde år 2007)",..,..,..,"0911 - Bedrägeri/grovt bedrägeri/bedrägl beteende, automatmissbruk  (upphörde år 1987)",..,"0911 - Bedrägeri/grovt bedrägeri/bedrägl beteende, automatmissbruk  (upphörde år 1987)",..,..,..,..,3003 - Brott mot föreskrift,0,1209 - klotter övrigt,..,..,..,3003 - Brott mot föreskrift,0,"6123 - Försök till våldtäkt inkl. grov (4 §), mot pojke 15–17 år, på internet",..,..,..,..,..,"9807 - Rån mot privatperson under 18 år, utan skjutvapen, inomhus",..,"9807 - Rån mot privatperson under 18 år, utan skjutvapen, inomhus",..,"9807 - Rån mot privatperson under 18 år, utan skjutvapen, inomhus",..,"9807 - Rån mot privatperson under 18 år, utan skjutvapen, inomhus",0,"9807 - Rån mot privatperson under 18 år, utan skjutvapen, inomhus",0
285,RIFM,2006.0,SE211 Jönköping,..,"0980 - Kortbedrägeri, med fysiskt kort, internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0980 - Kortbedrägeri, med fysiskt kort, internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0980 - Kortbedrägeri, med fysiskt kort, internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0980 - Kortbedrägeri, med fysiskt kort, internationell anknytning, ej mot äldre/funktionsnedsatt",0,0416 - Människohandel för sexuella ändamål (upphörde år 2009),..,..,..,..,..,0490 - Olaga tvång mot kvinna 18 år eller äldre (upphörde år 2019),..,..,..,..,..,0711 - Egenmäktighet med barn,..,..,..,0,0,"0878 - Rån, utan skjutvapen, rån mot privatperson, inomhus (upphörde år 2007)",..,..,"0878 - Rån, utan skjutvapen, rån mot privatperson, inomhus (upphörde år 2007)",..,..,..,"0912 - bedrägeri, bedrägligt beteende avseende bluffakturor",..,"0912 - bedrägeri, bedrägligt beteende avseende bluffakturor",..,..,..,..,3004 - Tillåtit olovlig körning etc,0,"1210 - Skadegörelse, genom brand (ej på motorfordon)",..,..,..,3004 - Tillåtit olovlig körning etc,0,"6124 - Försök till våldtäkt inkl. grov (4 §), mot pojke 15–17 år, ej på internet",..,..,..,..,..,"9808 - Rån mot privatperson under 18 år, med skjutvapen, utomhus",..,"9808 - Rån mot privatperson under 18 år, med skjutvapen, utomhus",..,"9808 - Rån mot privatperson under 18 år, med skjutvapen, utomhus",..,"9808 - Rån mot privatperson under 18 år, med skjutvapen, utomhus",0,"9808 - Rån mot privatperson under 18 år, med skjutvapen, utomhus",0
286,RIFM,2006.0,SE211 Jönköping,..,"0981 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0981 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0981 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0981 - Kortbedrägeri, med fysiskt kort, ej internationell anknytning, ej mot äldre/funktionsnedsatt",0,0417 - Annan människohandel  än för sexuella ändamål (upphörde år 2009),..,..,..,..,..,0491 - Olaga tvång mot man 18 år eller äldre (upphörde år 2019),..,..,..,..,..,"0712 - Tvegifte, olovl ingående av äktenskap, olovl partnerskap m.m.",..,..,..,0,0,"0879 - Rån med skjutv, rån mot privatpers (ej fknshindrad), utomhus (upphörde år 2007)",..,..,"0879 - Rån med skjutv, rån mot privatpers (ej fknshindrad), utomhus (upphörde år 2007)",..,..,..,0913 - Bedrägeri med hjälp av Internet,..,0913 - Bedrägeri med hjälp av Internet,..,..,..,..,"3005 - Rattfylleri, inkl. grovt, enbart alkohol eller både alkohol och narkotika",0,"1211 - Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)",..,..,..,"3005 - Rattfylleri, inkl. grovt, enbart alkohol eller både alkohol och narkotika",0,"6125 - Fullbordad våldtäkt inkl. grov (4 §), mot flicka 15–17 år, på internet",..,..,..,..,..,"9809 - Rån mot privatperson under 18 år, med skjutvapen, inomhus",..,"9809 - Rån mot privatperson under 18 år, med skjutvapen, inomhus",..,"9809 - Rån mot privatperson under 18 år, med skjutvapen, inomhus",..,"9809 - Rån mot privatperson under 18 år, med skjutvapen, inomhus",0,"9809 - Rån mot privatperson under 18 år, med skjutvapen, inomhus",0
287,RIFM,2006.0,SE211 Jönköping,..,"0982 - Kortbedrägeri, utan fysiskt kort, internationell anknytning",..,"0982 - Kortbedrägeri, utan fysiskt kort, internationell anknytning",..,"0982 - Kortbedrägeri, utan fysiskt kort, internationell anknytning",0,"0982 - Kortbedrägeri, utan fysiskt kort, internationell anknytning",0,0418 - Människohandel för sexuella ändamål med barn under 18 år ,..,..,..,0,0,0492 - Olovlig avlyssning m.m.,..,..,..,..,..,0713 - Otillbörlig påverkan vid adoption av barn,..,..,..,0,0,"0880 - Stöld utan inbrott, annan stöld eller snatteri utan inbrott",..,..,"0880 - Stöld utan inbrott, annan stöld eller snatteri utan inbrott",..,0,0,0914 - Mot EU:s finansiella intressen,..,0914 - Mot EU:s finansiella intressen,..,..,..,..,3006 - Smitning(upphörde år 2018),..,1212 - Annan skadegörelse (ej klotter),..,..,..,3006 - Smitning(upphörde år 2018),..,"6126 - Fullbordad våldtäkt inkl. grov (4 §), mot flicka 15–17 år, ej på internet",..,..,..,..,..,"9810 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, utomhus",..,"9810 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, utomhus",..,"9810 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, utomhus",..,"9810 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, utomhus",0,"9810 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, utomhus",0
288,RIFM,2006.0,SE211 Jönköping,..,"0983 - Kortbedrägeri, utan fysiskt kort, ej internationell anknytning",..,"0983 - Kortbedrägeri, utan fysiskt kort, ej internationell anknytning",..,"0983 - Kortbedrägeri, utan fysiskt kort, ej internationell anknytning",0,"0983 - Kortbedrägeri, utan fysiskt kort, ej internationell anknytning",0,0419 - Människohandel för sexuella ändamål med person 18 år eller äldre ,..,..,..,0,0,"0493 - Människoexploatering inkl. grovt för tvångsarbete el. arbete under orimliga villkor, med barn under 18 år",..,..,..,0,0,Hallands län,,,,,,"0881 - Stöld under sjötransport, med/utan inbrott, ej fickstöld (upphörde år 1988)",..,..,"0881 - Stöld under sjötransport, med/utan inbrott, ej fickstöld (upphörde år 1988)",..,..,..,0915 - Övriga brott mot 9 kap. BrB,..,0915 - Övriga brott mot 9 kap. BrB,..,..,0,0,"3007 - Smitning från trafikolycksplats, med betydande materialskador, personskador eller dödligt utfall",0,"1301 - Mordbrand, grov mordbrand",..,..,..,"3007 - Smitning från trafikolycksplats, med betydande materialskador, personskador eller dödligt utfall",0,"6127 - Fullbordad våldtäkt inkl. grov (4 §), mot pojke 15–17 år, på internet",..,..,..,..,..,"9811 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, inomhus",..,"9811 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, inomhus",..,"9811 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, inomhus",..,"9811 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, inomhus",0,"9811 - Rån mot privatperson 18 år eller äldre, utan skjutvapen, inomhus",0
289,RIFM,2006.0,SE211 Jönköping,..,"0984 - Annonsbedrägeri, internationell anknytning, mot äldre/funktionsnedsatt",..,"0984 - Annonsbedrägeri, internationell anknytning, mot äldre/funktionsnedsatt",..,"0984 - Annonsbedrägeri, internationell anknytning, mot äldre/funktionsnedsatt",0,"0984 - Annonsbedrägeri, internationell anknytning, mot äldre/funktionsnedsatt",0,0420 - Annan människohandel med barn under 18 år  (upphörde år 2013),..,..,..,..,..,"0494 - Människoexploatering inkl. grovt för tvångsarbete el. arbete under orimliga villkor, med person 18 år eller äldre",..,..,..,0,0,05 - 07,..,..,..,0,0,"0882 - Stöld under yrkesmässig transport, annan godstransport (upphörde år 1988)",..,..,"0882 - Stöld under yrkesmässig transport, annan godstransport (upphörde år 1988)",..,..,..,0916 - Subventionsmissbruk,..,0916 - Subventionsmissbruk,..,..,0,0,"3008 - Smitning från trafikolycksplats, med inga eller lindriga material- och personskador",0,"1302 - Allm vårdslöshet, våll av brand som ej redov som mordbr m.m.",..,..,..,"3008 - Smitning från trafikolycksplats, med inga eller lindriga material- och personskador",0,"6128 - Fullbordad våldtäkt inkl. grov (4 §), mot pojke 15–17 år, ej på internet",..,..,..,..,..,"9812 - Rån mot privatperson 18 år eller äldre, med skjutvapen, utomhus",..,"9812 - Rån mot privatperson 18 år eller äldre, med skjutvapen, utomhus",..,"9812 - Rån mot privatperson 18 år eller äldre, med skjutvapen, utomhus",..,"9812 - Rån mot privatperson 18 år eller äldre, med skjutvapen, utomhus",0,"9812 - Rån mot privatperson 18 år eller äldre, med skjutvapen, utomhus",0
290,RIFM,2006.0,SE211 Jönköping,..,"0985 - Annonsbedrägeri, ej internationell anknytning, mot äldre/funktionsnedsatt",..,"0985 - Annonsbedrägeri, ej internationell anknytning, mot äldre/funktionsnedsatt",..,"0985 - Annonsbedrägeri, ej internationell anknytning, mot äldre/funktionsnedsatt",0,"0985 - Annonsbedrägeri, ej internationell anknytning, mot äldre/funktionsnedsatt",0,0421 - Annan människohandel med person 18 år eller äldre  (upphörde år 2013),..,..,..,..,..,"0495 - Människoexploatering inkl. grovt för tiggeri, med barn under 18 år",..,..,..,0,0,"0607 - Sexuellt ofredande, exhibitionism",..,..,..,0,..,"0883 - Stöld utan inbrott i fabrik, lager, verkstad",..,..,"0883 - Stöld utan inbrott i fabrik, lager, verkstad",..,0,0,0921 - Bedr./grovt bedr./bedrägl beteende överskr eget checkk. (upphörde år 1998),..,0921 - Bedr./grovt bedr./bedrägl beteende överskr eget checkk. (upphörde år 1998),..,..,..,..,"3070 - Rattfylleri, inkl. grovt, enbart narkotika",0,1303 - Annan allmänfarlig vårdslöshet,..,..,..,"3070 - Rattfylleri, inkl. grovt, enbart narkotika",0,"6129 - Sexuellt övergrepp inkl. grovt (2 §), mot flicka 15–17 år, på internet",..,..,..,..,..,"9813 - Rån mot privatperson 18 år eller äldre, med skjutvapen, inomhus",..,"9813 - Rån mot privatperson 18 år eller äldre, med skjutvapen, inomhus",..,"9813 - Rån mot privatperson 18 år eller äldre, med skjutvapen, inomhus",..,"9813 - Rån mot privatperson 18 år eller äldre, med skjutvapen, inomhus",0,"9813 - Rån mot privatperson 18 år eller äldre, med skjutvapen, inomhus",0
291,RIFM,2006.0,SE211 Jönköping,..,"0986 - Annonsbedrägeri, internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0986 - Annonsbedrägeri, internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0986 - Annonsbedrägeri, internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0986 - Annonsbedrägeri, internationell anknytning, ej mot äldre/funktionsnedsatt",0,0422 - Grov fridskränkning mot flicka under 18 år ,..,..,..,0,0,"0496 - Människoexploatering inkl. grovt för tiggeri, med person 18 år eller äldre",..,..,..,0,0,"0609 - Koppleri, inkl. grovt ",..,..,..,0,0,"0884 - Stöld utan inbrott på byggplats, i bod (tillfällig barack, vagn o.d.)",..,..,"0884 - Stöld utan inbrott på byggplats, i bod (tillfällig barack, vagn o.d.)",..,0,0,"0922 - Bedrägeri, annan checkbedrägeri (ej överskridet konto)",..,"0922 - Bedrägeri, annan checkbedrägeri (ej överskridet konto)",..,..,..,..,3161 - Övriga trafikbrott med fängelse i straffskalan,0,"1304 - Övr brott mot kap. 13, allmfarl ödeläg, sabotage, kapning (upphörde år 2018)",..,..,..,3161 - Övriga trafikbrott med fängelse i straffskalan,0,"6130 - Sexuellt övergrepp inkl. grovt (2 §), mot flicka 15–17 år, ej på internet",..,..,..,..,..,9814 - Stöld under övr. yrkesm. transp. (ej fickstöld el. yrkesm. godsbef),..,9814 - Stöld under övr. yrkesm. transp. (ej fickstöld el. yrkesm. godsbef),..,9814 - Stöld under övr. yrkesm. transp. (ej fickstöld el. yrkesm. godsbef),..,9814 - Stöld under övr. yrkesm. transp. (ej fickstöld el. yrkesm. godsbef),0,9814 - Stöld under övr. yrkesm. transp. (ej fickstöld el. yrkesm. godsbef),0
292,RIFM,2006.0,SE211 Jönköping,..,"0987 - Annonsbedrägeri, ej internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0987 - Annonsbedrägeri, ej internationell anknytning, ej mot äldre/funktionsnedsatt",..,"0987 - Annonsbedrägeri, ej internationell anknytning, ej mot äldre/funktionsnedsatt",0,"0987 - Annonsbedrägeri, ej internationell anknytning, ej mot äldre/funktionsnedsatt",0,0423 - Grov fridskränkning mot pojke under 18 år ,..,..,..,0,0,Hallands län,,,,,,0610 - Utnyttjande av barn genom köp av sexuell handling,..,..,..,0,0,"0885 - Stöld utan inbrott, väskryckning (upphörde år 2011)",..,..,"0885 - Stöld utan inbrott, väskryckning (upphörde år 2011)",..,..,..,0923 - Bedr/grovt bedr/bedr beteende överskr eget personkonto (upphörde år 1999),..,0923 - Bedr/grovt bedr/bedr beteende överskr eget personkonto (upphörde år 1999),..,..,..,..,3201 - Sjöfylleri ,0,1305 - Miljöbrott (8a §) (upphörde år 2000),..,..,..,3201 - Sjöfylleri ,0,"6131 - Sexuellt övergrepp inkl. grovt (2 §), mot pojke 15–17 år, på internet",..,..,..,..,..,9815 - Stöld ur och från båt (ej båtmotor),..,9815 - Stöld ur och från båt (ej båtmotor),..,9815 - Stöld ur och från båt (ej båtmotor),..,9815 - Stöld ur och från båt (ej båtmotor),0,9815 - Stöld ur och från båt (ej båtmotor),0
293,RIFM,2006.0,SE211 Jönköping,..,0988 - Försäkringsbedrägeri,..,0988 - Försäkringsbedrägeri,..,0988 - Försäkringsbedrägeri,0,0988 - Försäkringsbedrägeri,0,0424 - Grov fridskränkning mot kvinna 18 år eller äldre ,..,..,..,..,..,04,..,..,..,0,0,0611 - Utnyttjande av barn för sexuell posering (upphörde år 2024),..,..,..,0,0,0886 - Stöld kulturföremål gm inbr kyrka/museum/hemb.gård o.d ,..,..,0886 - Stöld kulturföremål gm inbr kyrka/museum/hemb.gård o.d ,..,0,0,0924 - Bedr/grovt bedr/bedr beteende/annat bedr m personkblankett (upphörde år 1999),..,0924 - Bedr/grovt bedr/bedr beteende/annat bedr m personkblankett (upphörde år 1999),..,..,..,..,3203 - Övriga sjötrafikbrott med fängelse i straffskalan,0,"1306 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9) (upphörde år 2000)",..,..,..,3203 - Övriga sjötrafikbrott med fängelse i straffskalan,0,"6132 - Sexuellt övergrepp inkl. grovt (2 §), mot pojke 15–17 år, ej på internet",..,..,..,..,..,9816 - Stöld av båtmotor,..,9816 - Stöld av båtmotor,..,9816 - Stöld av båtmotor,..,9816 - Stöld av båtmotor,0,9816 - Stöld av båtmotor,0
294,RIFM,2006.0,SE211 Jönköping,..,0989 - Snyltningsbrott,..,0989 - Snyltningsbrott,..,0989 - Snyltningsbrott,0,0989 - Snyltningsbrott,0,0425 - Grov fridskränkning mot man 18 år eller äldre ,..,..,..,..,..,"0401 - Hemfridsbrott, olaga intrång",..,..,..,..,..,"0613 -  (upphörde år 2018) Sexuellt tvång inkl. grovt, sexuellt utnyttjande av person i beroendeställning inkl. grovt, samlag med avkomling eller syskon, mot kvinna 18 år eller äldre",..,..,..,..,..,0887 - Stöld kulturföremål ej inbr kyrka/museum/hemb.gård o.d ,..,..,0887 - Stöld kulturföremål ej inbr kyrka/museum/hemb.gård o.d ,..,0,0,0925 - Bedr/grovt bedr/bedr beteende mot bank (även PK) i övrigt (upphörde år 1999),..,0925 - Bedr/grovt bedr/bedr beteende mot bank (även PK) i övrigt (upphörde år 1999),..,..,..,..,"4001 - Checklagen, ej bedrägerifall (upphörde år 1996)",..,"1307 - Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9)",..,..,..,"4001 - Checklagen, ej bedrägerifall (upphörde år 1996)",..,"6133 - Oaktsamt sexuellt övergrepp, mot flicka 15–17 år, på internet",..,..,..,..,..,"9817 - Stöld utan inbrott, fickstöld, stöld ur eller av persedel någon bär med sig, ej mot funktionsnedsatt",..,"9817 - Stöld utan inbrott, fickstöld, stöld ur eller av persedel någon bär med sig, ej mot funktionsnedsatt",..,"9817 - Stöld utan inbrott, fickstöld, stöld ur eller av persedel någon bär med sig, ej mot funktionsnedsatt",..,"9817 - Stöld utan inbrott, fickstöld, stöld ur eller av persedel någon bär med sig, ej mot funktionsnedsatt",0,"9817 - Stöld utan inbrott, fickstöld, stöld ur eller av persedel någon bär med sig, ej mot funktionsnedsatt",0
