workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
100,PRID,2006.0,SE123 Östergötland,66074,559310-4697,5299008MK4CEUC0AZL64,Finance company,Rediem Capital AB,Lilla Brogatan 6,,503 30,Borås
101,PRID,2006.0,SE123 Östergötland,11646,516406-0484,,Bank,Renault Finance Nordic bankfilial till RCI Banque SA Frankrike,Borgarfjordsgatan 18,,164 40,Kista
102,PRID,2006.0,SE123 Östergötland,11138,516401-0208,549300DM53OEWHWUO647,Bank,Resurs Bank Aktiebolag,Björkavägen 111,,254 69,Ödåkra
103,PRID,2006.0,SE123 Östergötland,12149,514400-7399,549300RDNV5FVDXYEF72,Bank,Roslagens Sparbank,Danskes Gränd 2,,761 30,Norrtälje
104,PRID,2006.0,SE123 Östergötland,12148,579500-4133,549300C4D6OMG0JECZ43,Bank,Sala Sparbank,Bergsmansgatan 2,,733 30,Sala
105,PRID,2006.0,SE123 Östergötland,11639,516406-0336,,Bank,"Santander Consumer Bank AS Norge, Sverige Filial",Hemvärnsgatan 9,,171 54,Solna
106,PRID,2006.0,SE123 Östergötland,32017,556253-7513,H0YX5LBGKDVOWCXBZ594,Bank,SBAB Bank AB (publ),Svetsarvägen 24,,171 41,Solna
107,PRID,2006.0,SE123 Östergötland,41503,556574-6624,549300GT93Z6MDO98B87,Bank,SEB Kort Bank AB,Stjärntorget 4,,169 79,Solna
108,PRID,2006.0,SE123 Östergötland,44024,556654-9191,5493002KV5GSXUI6EQ53,Finance company,Serafim Finans AB,Kungsgatan 12-14,,111 35,Stockholm
109,PRID,2006.0,SE123 Östergötland,12345,589600-6219,549300ZR41QTTH4NIE31,Bank,Sidensjö sparbank,Bredåker 101,,893 95,Sidensjö
110,PRID,2006.0,SE123 Östergötland,41282,556256-4129,529900OXR1GIHDWPVM56,Finance company,Siemens Financial Services Aktiebolag,Evenemangsgatan 21,,169 79,Solna
111,PRID,2006.0,SE123 Östergötland,11116,516401-9738,549300MM2G2LFEPR2M50,Bank,Skandiabanken Aktiebolag (publ),Lindhagensgatan 86,,112 18,Stockholm
