track,variant_id,run_group,feature_bundle,max_lag,proxy_perturbation,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,test_kstar_std_mean,test_kstar_std_std,test_kstar_std_min,test_kstar_std_max,test_kstar_proxy_spearman_adjusted_rho_mean,test_kstar_proxy_spearman_adjusted_rho_std,test_kstar_proxy_spearman_adjusted_rho_min,test_kstar_proxy_spearman_adjusted_rho_max,test_kstar_proxy_mean_spearman_adjusted_rho_mean,test_kstar_proxy_mean_spearman_adjusted_rho_std,test_kstar_proxy_mean_spearman_adjusted_rho_min,test_kstar_proxy_mean_spearman_adjusted_rho_max,test_lag_gate_sensitivity_range_mean,test_lag_gate_sensitivity_range_std,test_lag_gate_sensitivity_range_min,test_lag_gate_sensitivity_range_max,test_omega_entropy_mean_mean,test_omega_entropy_mean_std,test_omega_entropy_mean_min,test_omega_entropy_mean_max,run_count,seed_count
capacity_gate_grid,grid_fullspan_d16_temp15_dropout015,CMDL,single_fullspan_region_proxy,3,none,1.7266892424766396,0.2175492450088493,1.3549844364968273,1.926044645300667,1.2805223398738437,0.09804760387470451,1.1114362875620525,1.3665611649316454,0.0,0.0,0.0,0.0,0.01385843435119237,0.013002560593200607,0.0029274227776385727,0.03064159244893258,-0.2854545454545454,0.7982758871290455,-0.9285714285714285,0.9090909090909091,-0.19142857142857145,0.7815714543594352,-0.8,0.9129870129870129,0.0370028018951416,0.03293931366853149,0.008715152740478516,0.0753946304321289,0.9482564467044788,0.034984101816848794,0.8965884091241886,0.979337610667087,5,5
capacity_gate_grid,grid_fullspan_d16_temp15_dropout015_entropy001,CMDL,single_fullspan_region_proxy,3,none,1.7266892424766396,0.2175492450088493,1.3549844364968273,1.926044645300667,1.2805223398738437,0.09804760387470451,1.1114362875620525,1.3665611649316454,0.0,0.0,0.0,0.0,0.01385843435119237,0.013002560593200607,0.0029274227776385727,0.03064159244893258,-0.2854545454545454,0.7982758871290455,-0.9285714285714285,0.9090909090909091,-0.19142857142857145,0.7815714543594352,-0.8,0.9129870129870129,0.0370028018951416,0.03293931366853149,0.008715152740478516,0.0753946304321289,0.9482564467044788,0.034984101816848794,0.8965884091241886,0.979337610667087,5,5
capacity_gate_grid,grid_fullspan_d16_temp15_dropout030,CMDL,single_fullspan_region_proxy,3,none,1.6728194928544131,0.20084431364691765,1.3394009565615315,1.8810437180615522,1.258918327566177,0.09200057935104718,1.103668022723425,1.3491288026173909,0.0,0.0,0.0,0.0,0.01403673499539324,0.01179709415166113,0.0023976146278251917,0.030079348567893387,-0.2690909090909091,0.7686739704157658,-0.9480519480519479,0.9350649350649349,-0.23116883116883113,0.7498012330078357,-0.7792207792207791,0.8831168831168831,0.03649778366088867,0.02902882843411988,0.005982756614685059,0.07122969627380371,0.9470041098397708,0.03826353817606414,0.8883876660490053,0.9793651301775961,5,5
capacity_gate_grid,grid_fullspan_d16_temp20_dropout015,CMDL,single_fullspan_region_proxy,3,none,1.7272141547550386,0.21894885277720252,1.3591241272379513,1.9441727909347934,1.2802052793048677,0.09875477751804153,1.1119823635570587,1.3733465047109694,0.0,0.0,0.0,0.0,0.009523727871328578,0.009106607901316047,0.0016755396430868168,0.021371207398480384,-0.0994805194805195,0.7633782362567638,-0.9155844155844156,0.9025974025974025,-0.032467532467532464,0.6885076907897301,-0.6844155844155844,0.9142857142857143,0.026673531532287596,0.024877022767839305,0.005264759063720703,0.05819272994995117,1.0024203437043098,0.03061122677214013,0.9566561816041743,1.0256018115130334,5,5
capacity_gate_grid,grid_fullspan_d32_temp10_dropout015,CMDL,single_fullspan_region_proxy,3,none,1.611619973859855,0.0953245061085672,1.466492541713925,1.7148678794438157,1.2391963797902306,0.03869742503374152,1.182069186180357,1.2779500333089677,0.0,0.0,0.0,0.0,0.03095601200991658,0.023821455445820868,0.006256046664574929,0.06630439789894087,-0.21974025974025974,0.7002357263985305,-0.8974025974025974,0.9142857142857143,-0.3077922077922078,0.7783507047155017,-0.8883116883116883,0.9207792207792208,0.0862011432647705,0.06869586615926554,0.017238616943359375,0.19051504135131836,0.7703506578567058,0.18511880932503302,0.48198362558110686,0.9381835712736639,5,5
capacity_gate_grid,grid_fullspan_d8_temp10_dropout005,CMDL,single_fullspan_region_proxy,3,none,2.583534609873369,0.7671585624362599,1.8185678183597964,3.8166518571616956,1.5602354321214889,0.23725505804425379,1.3094632512047177,1.9346271521515317,0.0,0.0,0.0,0.0,0.0758746167718221,0.07970049548337281,0.004423229997525147,0.17842275954308315,-0.2994805194805195,0.6714842098075829,-0.9441558441558441,0.7298701298701298,-0.06051948051948051,0.7702407883156784,-0.8844155844155844,0.9493506493506494,0.19842171669006348,0.20805232480935607,0.014384627342224121,0.47523069381713867,0.7480515469371719,0.15862988875861977,0.4796544610776682,0.8780359361649148,5,5
falsification,falsification_noise_proxy_fullspan_k3,CMDL,single_fullspan_region_proxy,3,noise,1.6291693169821264,0.10324966743509283,1.4693338530327937,1.7271222810345694,1.2458382863847035,0.0421803161237428,1.1833413574430678,1.2919046330073523,0.0,0.0,0.0,0.0,0.06520578670575286,0.09409133731101262,0.006151927509261798,0.22980684176352428,-0.14181818181818184,0.6184132765423231,-0.9116883116883117,0.47402597402597396,0.11636363636363638,0.659770042276943,-0.5779220779220778,0.8181818181818182,0.17984495162963868,0.25145289402496146,0.017647385597229004,0.6147863864898682,0.7495671562742519,0.16417881733552903,0.48819897798507383,0.9290620911694825,5,5
falsification,falsification_proxy_shuffle_fullspan_k3,CMDL,single_fullspan_region_proxy,3,shuffle,1.636521155409179,0.11133035721268682,1.4752345269072524,1.7608376449231964,1.2492621457765973,0.04578184281675651,1.1861132553645544,1.3057280949183874,0.0,0.0,0.0,0.0,0.05316463561632277,0.06730574381813653,0.007052662141115404,0.17120309218110408,-0.09532467532467534,0.8273046335260886,-0.9285714285714285,0.9090909090909091,-0.10259740259740262,0.9203408734409358,-0.9077922077922078,0.9272727272727272,0.1411820650100708,0.17948526562845887,0.01968979835510254,0.4563639163970947,0.7480409610291333,0.16545578980205858,0.4818010147138053,0.9214763545385423,5,5
feature_subset,feature_subset_no_per_capita_overlap_k2,CMDL,multiseq_overlap_no_per_capita_region_proxy,2,none,27.802948563960733,3.14502150725142,23.91096313986547,36.16219257777178,5.256261825880834,0.28916294990540126,4.886255684353056,6.000534537292662,0.0,0.0,0.0,0.0,0.049849173271051976,0.11325729274708615,3.678878544857309e-08,0.3683920657587937,0.14689569062004632,0.3802899495049582,-0.5534264663433388,0.9623376623376624,0.12001862957130627,0.38679742535877754,-0.5501786584422628,0.9428202120268959,0.0870796024799347,0.23192350691512667,1.1920928955078125e-07,0.7495905160903931,0.3648149206357906,0.10303521474775283,0.2616447476726539,0.5362973448072409,20,20
feature_subset,feature_subset_no_per_capita_overlap_k2,Plain LSTM,multiseq_overlap_no_per_capita_region_proxy,2,none,27.086628884073313,2.595526854026406,23.15628191997085,31.712573039971094,5.1913422433215946,0.24782027169927934,4.805205072675433,5.625405220403557,0.0,0.0,0.0,0.0,0.05298311052951961,0.07971216253748757,0.0,0.24281045302822785,0.06109989773467362,0.31784092265585695,-0.3692744729379982,0.43320011272198167,0.05745447862609708,0.30404385633060976,-0.3692744729379982,0.45868247229386294,,,,,0.6617905307249223,0.0646758132771893,0.4290911819492261,0.6931471805599453,20,20
