track,run_group,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,test_kstar_std_mean,test_kstar_std_std,test_kstar_std_min,test_kstar_std_max,test_kstar_proxy_spearman_adjusted_rho_mean,test_kstar_proxy_spearman_adjusted_rho_std,test_kstar_proxy_spearman_adjusted_rho_min,test_kstar_proxy_spearman_adjusted_rho_max,test_kstar_proxy_mean_spearman_adjusted_rho_mean,test_kstar_proxy_mean_spearman_adjusted_rho_std,test_kstar_proxy_mean_spearman_adjusted_rho_min,test_kstar_proxy_mean_spearman_adjusted_rho_max,test_lag_gate_sensitivity_range_mean,test_lag_gate_sensitivity_range_std,test_lag_gate_sensitivity_range_min,test_lag_gate_sensitivity_range_max,test_omega_entropy_mean_mean,test_omega_entropy_mean_std,test_omega_entropy_mean_min,test_omega_entropy_mean_max,run_count,seed_count
capacity_gate_grid,CMDL,1.8414277860493258,0.4726627929117845,1.3394009565615315,3.8166518571616956,1.316600016421742,0.16016644108089972,1.103668022723425,1.9346271521515317,0.0,0.0,0.0,0.0,0.026351326725140876,0.0398371985525132,0.0016755396430868168,0.17842275954308315,-0.24311688311688312,0.6873320560028132,-0.9480519480519479,0.9350649350649349,-0.1691341991341991,0.6973083706317244,-0.8883116883116883,0.9493506493506494,0.07029996315638225,0.10441993159810044,0.005264759063720703,0.47523069381713867,0.8940565919578193,0.13675241317176273,0.4796544610776682,1.0256018115130334,30,5
falsification,CMDL,1.632845236195653,0.10129982607799626,1.4693338530327937,1.7608376449231964,1.2475502160806504,0.04153971571189698,1.1833413574430678,1.3057280949183874,0.0,0.0,0.0,0.0,0.05918521116103782,0.07738464169361725,0.006151927509261798,0.22980684176352428,-0.11857142857142859,0.6890311930042182,-0.9285714285714285,0.9090909090909091,0.00688311688311688,0.7637011609775282,-0.9077922077922078,0.9272727272727272,0.16051350831985473,0.20696513956847412,0.017647385597229004,0.6147863864898682,0.7488040586516926,0.15539449187388266,0.4818010147138053,0.9290620911694825,10,5
feature_subset,CMDL,20.803634233102585,9.013789573795565,1.1081679967613864,36.16219257777178,4.329037873908168,1.421093587114022,1.0074236828183372,6.000534537292662,0.0,0.0,0.0,0.0,0.01519452028027746,0.05372275895348029,0.0,0.3683920657587937,0.012456174123425492,0.3873383556595124,-0.9545454545454546,0.9623376623376624,-0.018800522665946843,0.37990188436753597,-0.961038961038961,0.9428202120268959,0.03385832707087199,0.1184147675977972,0.0,0.7495905160903931,0.44716345678194075,0.16701944448836606,0.25898374509056593,0.9366456150168755,120,20
feature_subset,Plain LSTM,20.44222971350315,9.10920827947609,0.9544291920581311,37.91703346842205,4.269408710424114,1.4726562000614982,0.9240513718317426,6.1450449622103145,0.0,0.0,0.0,0.0,0.12965150978730702,0.1219222298488115,0.0,0.37261980221984287,0.042665179810380593,0.2698921078259543,-0.7500231295477457,0.5865219569670885,0.0409055701081976,0.2671115453254121,-0.6322184495140684,0.5714285714285714,,,,,0.6229849557631211,0.2633261842667123,0.08218848003645521,1.0943864610393232,120,20
fullspan_income,CMDL,1.590732455457908,0.22576492903406808,1.0585372903525898,2.074050142634727,1.2276928850582667,0.09616480379445531,0.9804356722604661,1.416673031118181,0.0,0.0,0.0,0.0,0.024254471842032232,0.04390253942564369,5.619579801452537e-08,0.19493844870603746,-0.08537395687522736,0.5181027069403165,-0.9545454545454546,0.9272727272727272,-0.14138467515159037,0.5105286581568808,-0.961038961038961,0.9207792207792208,0.05799163281917572,0.11300452993159729,1.1920928955078125e-07,0.5785603523254395,0.5656361090172781,0.20582835891379875,0.2575048867275173,0.9366456150168755,40,20
fullspan_income,No AC Encoder,1.5773065928918228,0.21886279302041717,1.0488948166535443,1.9442152168151698,1.2223576653098305,0.09390074270849379,0.9789909370361812,1.3723883013876657,0.0,0.0,0.0,0.0,4.027093067296889e-09,1.4368612651937043e-08,0.0,5.953702745949378e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.5649076076486701,0.19200587872849265,0.25748210725860976,0.9436157955404038,40,20
fullspan_income,No Recon,1.59066430031061,0.2257699070775321,1.0585016659282218,2.0741492619867627,1.2276654914494545,0.09616762040126585,0.9804173140298753,1.4167085460254125,0.0,0.0,0.0,0.0,0.024254084157367836,0.04390127894052265,4.469785164658121e-08,0.1949134787588254,-0.08515477614755995,0.5178333903659268,-0.9545454545454546,0.9272727272727272,-0.14101202933895685,0.510402009010101,-0.961038961038961,0.9207792207792208,0.057989516854286195,0.11299684599614655,1.1920928955078125e-07,0.5784941911697388,0.5656357318276486,0.2058283119124068,0.25750467943350897,0.9366444725540626,40,20
fullspan_income,Plain LSTM,1.2973804313505413,0.19716518598992544,0.9544291920581311,1.7541792158121543,1.0925617385005195,0.09153709418502581,0.9240513718317426,1.2849676249519226,0.0,0.0,0.0,0.0,0.008034162533371835,0.004451897008201877,0.0021874478935026693,0.018311103465724288,0.008246753246753249,0.2312675035515018,-0.39090909090909093,0.48571428571428565,-3.246753246753664e-05,0.2982910628163868,-0.5883116883116883,0.5714285714285714,,,,,0.8926692023858316,0.20262603532643048,0.6918816324720181,1.0943864610393232,40,20
fullspan_income,Uniform Lag,1.5246631891673432,0.24237238707944828,0.9406223348659082,1.918366692856825,1.1997033523188698,0.10683412678493528,0.9230783137064131,1.3624592527510628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.05041576623916626,0.12273294590518863,1.1920928955078125e-07,0.7411835193634033,0.8958797360834648,0.20531523996814338,0.6931471805599453,1.0986122916069843,40,20
reference,CMDL,26.22817733071137,3.7781210788244994,20.45495873855524,36.91217245595314,5.10207124324072,0.3559731084397633,4.517187601044064,6.051716611144089,0.0,0.0,0.0,0.0,0.014301561415826263,0.06519056555053993,0.0,0.3612230623202423,0.006053146736930126,0.26281930961675004,-0.5636363636363637,0.8077922077922077,-0.03373187388733521,0.2747463954676687,-0.7571428571428571,0.851948051948052,0.03461452126502991,0.1527056561141387,0.0,0.746833324432373,0.3912878260209212,0.1014446689998016,0.26040691279380057,0.4852297737457045,40,20
reference,No AC Encoder,28.855421454947855,3.1765890775053744,24.478164603014047,36.95122193269945,5.354425018954845,0.2857211476946787,4.943324091888609,6.05493265496833,0.0,0.0,0.0,0.0,2.538667380809545e-09,1.1353265671502976e-08,0.0,5.07733476161909e-08,0.0,,-0.0,-0.0,0.0,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.3625147055088869,0.10571743348516817,0.2612941708252753,0.49564067901171555,20,20
reference,No Recon,28.995659949325578,3.279483093615072,24.47742762325342,36.91247168417387,5.366514448679629,0.294910654056191,4.943252427237375,6.051742212403388,0.0,0.0,0.0,0.0,0.02834203615199298,0.09056587822150709,4.171456171415836e-08,0.3612222953859742,0.0306857942286147,0.272536409473352,-0.5324675324675324,0.8077922077922077,0.01052139999034781,0.28567493388564824,-0.5389610389610389,0.851948051948052,0.06958974599838257,0.21409584982216906,0.0,0.7468332052230835,0.3704175718322715,0.10198062295348724,0.26129960453328677,0.48522971879648924,20,20
reference,Plain LSTM,29.354928782361146,2.4652253560436543,24.930158808620305,34.9162082523105,5.405140930192457,0.2258794049981206,4.984294247059595,5.899017805677085,0.0,0.0,0.0,0.0,0.015419974290340166,0.045322494848660695,0.0,0.1485642999965294,0.16482651556572434,0.3227348173381416,-0.18251489887592276,0.4554297618102968,0.150347182207656,0.2969263269181237,-0.1622354656674869,0.4286397758214558,,,,,0.686389009634302,0.020744819922393222,0.6243570375556055,0.6931471805599453,20,20
