epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_income_level_spearman_rho,val_kstar_proxy_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_income_recent_level_spearman_rho,val_kstar_proxy_income_recent_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_income_growth_signal_spearman_rho,val_kstar_proxy_income_growth_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3
1.0,0.8924335241317749,0.8924335241317749,,,,,,7.186066901302024,7.186066901302024,7.186066901302024,0.0,1.0,3.1826822757720947,3.1826822757720947,,,,,,3.1826823198604264,1.7606278391821044,0.0,2.1016550064086914,0.29174494628674424,0.0,-1.0,0.604471782636888,0.003702373073274449,-0.604471782636888,1.0,0.5727389489773331,0.006655154594129047,-0.5727389489773331,1.0,0.604471782636888,0.003702373073274449,-0.604471782636888,1.0,0.604471782636888,-0.604471782636888,0.5982800102155115,0.00417069204559708,-0.5982800102155115,1.0,0.5982800102155115,-0.5982800102155115,0.5402321437651061,0.011465958797255435,-0.5402321437651061,1.0,0.5402321437651061,-0.5402321437651061,2.0,6.0,2.2013999462127685,5.0,2.0070544719696044,5.0,2.2184966087341307,5.0,0.9911842442511187,0.32162046659637783,0.6666666666666666,0.6666666666666666,0.23809523809523808,0.09523809523809523
2.0,0.67058265209198,0.67058265209198,,,,,,5.201998743969884,5.201998743969884,5.201998743969884,0.0,1.0,2.481679916381836,2.481679916381836,,,,,,2.481679830496653,1.5549701661581086,0.0,2.0685675144195557,0.21307619966561894,0.0,-1.0,0.43823611408924296,0.04691124558695086,-0.43823611408924296,1.0,0.4216853248871862,0.056913952779727287,-0.4216853248871862,1.0,0.43823611408924296,0.04691124558695086,-0.43823611408924296,1.0,0.43823611408924296,-0.43823611408924296,0.43751651455871876,0.047315728791208676,-0.43751651455871876,1.0,0.43751651455871876,-0.43751651455871876,0.43823611408924296,0.04691124558695086,-0.43823611408924296,1.0,0.43823611408924296,-0.43823611408924296,2.1666666666666665,6.0,2.028058385848999,5.0,2.0083633422851563,5.0,2.051563024520874,5.0,1.0394890335671372,0.2327095300341177,0.5714285714285714,0.5714285714285714,0.38095238095238093,0.047619047619047616
3.0,0.5157943367958069,0.5157943367958069,,,,,,4.031669218495258,4.031669218495258,4.031669218495258,0.0,1.0,1.9406564235687256,1.9406564235687256,,,,,,1.9406564113080844,1.3726422424827303,0.0,2.0681958198547363,0.13106751459204213,0.0,-1.0,-0.12221092797967689,0.5976847068481186,0.12221092797967689,1.0,-0.03739787960033829,0.8721404723829185,0.03739787960033829,1.0,-0.12221092797967689,0.5976847068481186,0.12221092797967689,1.0,-0.12221092797967689,0.12221092797967689,-0.09549815683657813,0.6805054037316071,0.09549815683657813,1.0,-0.09549815683657813,0.09549815683657813,0.16027662685859265,0.4876743083281756,-0.16027662685859265,1.0,0.16027662685859265,-0.16027662685859265,2.173054337501526,6.0,2.0113565921783447,5.0,2.0386221408843994,5.0,2.0287774562835694,5.0,1.0661648867110913,0.08806957369873121,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.047619047619047616
4.0,0.41759175062179565,0.41759175062179565,,,,,,3.734667990882641,3.734667990882641,3.734667990882641,0.0,1.0,1.5602617263793945,1.5602617263793945,,,,,,1.560261763240857,1.2260367884522392,0.0,2.100883722305298,0.21236796308609482,0.0,-1.0,-0.23927198384073775,0.29620212034381926,0.23927198384073775,1.0,-0.006501956082628742,0.9776849890637866,0.006501956082628742,1.0,-0.23927198384073775,0.29620212034381926,0.23927198384073775,1.0,-0.23927198384073775,0.23927198384073775,-0.10663207975511138,0.6454849914872626,0.10663207975511138,1.0,-0.10663207975511138,0.10663207975511138,0.14694420746740958,0.5250276038738014,-0.14694420746740958,1.0,0.14694420746740958,-0.14694420746740958,2.210185090700785,6.0,2.0702788829803467,5.0,2.0339786529541017,5.0,2.067231845855713,5.0,0.9521849964509566,0.32979490488100066,0.8095238095238095,0.09523809523809523,0.8095238095238095,0.09523809523809523
5.0,0.34270694851875305,0.34270694851875305,,,,,,3.6816527409978534,3.6816527409978534,3.6816527409978534,0.0,1.0,1.3025585412979126,1.3025585412979126,,,,,,1.3025585858150404,1.1147149460656303,0.0,2.049144983291626,0.05927943414884379,0.0,-1.0,-0.5467532467532468,0.010324082786185745,0.5467532467532468,1.0,-0.5298701298701299,0.01349023456881028,0.5298701298701299,1.0,-0.5467532467532468,0.010324082786185745,0.5467532467532468,1.0,-0.5467532467532468,0.5467532467532468,-0.587012987012987,0.005149313814572183,0.587012987012987,1.0,-0.587012987012987,0.587012987012987,-0.42337662337662335,0.05582289840720049,0.42337662337662335,1.0,-0.42337662337662335,0.42337662337662335,2.07630455493927,6.0,2.071065330505371,5.0,2.022285747528076,5.0,2.021492433547974,5.0,1.0787365229601362,0.01274243546694066,0.9523809523809523,0.0,0.9523809523809523,0.047619047619047616
6.0,0.2815949022769928,0.2815949022769928,,,,,,3.477523705945962,3.477523705945962,3.477523705945962,0.0,1.0,1.120338797569275,1.120338797569275,,,,,,1.1203387970342802,1.0289192355814434,0.0,2.0222325325012207,0.010456303312819434,0.0,-1.0,-0.503896103896104,0.01985737651415709,0.503896103896104,1.0,-0.438961038961039,0.04650647377632556,0.438961038961039,1.0,-0.503896103896104,0.01985737651415709,0.503896103896104,1.0,-0.503896103896104,0.503896103896104,-0.5311688311688313,0.013221701602104063,0.5311688311688313,1.0,-0.5311688311688313,0.5311688311688313,-0.28051948051948056,0.21806007395025545,0.28051948051948056,1.0,-0.28051948051948056,0.28051948051948056,2.0285173654556274,6.0,2.026316022872925,5.0,2.015408658981323,5.0,2.0174301147460936,5.0,1.0839528545099681,0.0024677445660244144,1.0,0.0,1.0,0.0
7.0,0.22233551740646362,0.22233551740646362,,,,,,2.983767742744532,2.983767742744532,2.983767742744532,0.0,1.0,0.9789770841598511,0.9789770841598511,,,,,,0.9789770958394042,0.9581369899568104,0.0,2.0175342559814453,0.006695087881719182,0.0,-1.0,-0.3844155844155844,0.08532754860745444,0.3844155844155844,1.0,-0.2506493506493506,0.2731235283481196,0.2506493506493506,1.0,-0.3844155844155844,0.08532754860745444,0.3844155844155844,1.0,-0.3844155844155844,0.3844155844155844,-0.37142857142857144,0.09735837325949603,0.37142857142857144,1.0,-0.37142857142857144,0.37142857142857144,-0.03766233766233767,0.8712435420745898,0.03766233766233767,1.0,-0.03766233766233767,0.03766233766233767,2.020734190940857,6.0,2.0198537349700927,5.0,2.012982702255249,5.0,2.015926647186279,5.0,1.0837925432904603,0.0023997531162393473,1.0,0.0,1.0,0.0
8.0,0.1706104874610901,0.1706104874610901,,,,,,2.3400481704901326,2.3400481704901326,2.3400481704901326,0.0,1.0,0.8548360466957092,0.8548360466957092,,,,,,0.8548359655614817,0.8921883759044466,0.0,2.015842914581299,0.005533983698695075,0.0,-1.0,-0.2584415584415584,0.2579885873988545,0.2584415584415584,1.0,-0.12727272727272726,0.5824788611326692,0.12727272727272726,1.0,-0.2584415584415584,0.2579885873988545,0.2584415584415584,1.0,-0.2584415584415584,0.2584415584415584,-0.22597402597402597,0.32464763262834334,0.22597402597402597,1.0,-0.22597402597402597,0.22597402597402597,0.08051948051948052,0.7286240142042282,-0.08051948051948052,1.0,0.08051948051948052,-0.08051948051948052,2.0175277392069497,6.0,2.017803955078125,5.0,2.012262535095215,5.0,2.015440654754639,5.0,1.0831881233887917,0.002652786345744087,1.0,0.0,1.0,0.0
9.0,0.12897416949272156,0.12897416949272156,,,,,,1.7083273385262594,1.7083273385262594,1.7083273385262594,0.0,1.0,0.7295025587081909,0.7295025587081909,,,,,,0.7295025788673899,0.8199426815623329,0.0,2.0158138275146484,0.005266758298211215,0.0,-1.0,-0.17272727272727273,0.45402436101288696,0.17272727272727273,1.0,-0.016883116883116882,0.9420962008546323,0.016883116883116882,1.0,-0.17272727272727273,0.45402436101288696,0.17272727272727273,1.0,-0.17272727272727273,0.17272727272727273,-0.11298701298701298,0.6258096347836315,0.11298701298701298,1.0,-0.11298701298701298,0.11298701298701298,0.17272727272727273,0.45402436101288696,-0.17272727272727273,1.0,0.17272727272727273,-0.17272727272727273,2.0167264540990195,6.0,2.0178108692169188,5.0,2.012839841842651,5.0,2.015696573257446,5.0,1.0822784612993273,0.0031079521496072387,1.0,0.0,1.0,0.0
10.0,0.09677672386169434,0.09677672386169434,,,,,,1.3048100808023804,1.3048100808023804,1.3048100808023804,0.0,1.0,0.5944644808769226,0.5944644808769226,,,,,,0.5944645111460418,0.7329171470233372,0.0,2.0174310207366943,0.005752073869492819,0.0,-1.0,-0.17792207792207793,0.4403496824576795,0.17792207792207793,1.0,-0.045454545454545456,0.8448883449705005,0.045454545454545456,1.0,-0.17792207792207793,0.4403496824576795,0.17792207792207793,1.0,-0.17792207792207793,0.17792207792207793,-0.12207792207792208,0.5980864852006569,0.12207792207792208,1.0,-0.12207792207792208,0.12207792207792208,0.13116883116883118,0.5708891960684089,-0.13116883116883118,1.0,0.13116883116883118,-0.13116883116883118,2.018075784047445,6.0,2.0197128295898437,5.0,2.014938497543335,5.0,2.0168682098388673,5.0,1.0810276831969976,0.0038073723992924895,1.0,0.0,1.0,0.0
