domain,aggregation,stratifier,entity_code,entity_name,k_star_mean,k_star_std,n_seeds,k_star,stratifier_value
energy,20_seed_mean,rule_of_law_train,CZE,Czechia,4.929007971286774,0.9714286276571623,20,4.929007971286774,0.7603036230769231
energy,20_seed_mean,rule_of_law_train,HUN,Hungary,4.927946019172668,0.9717730691477839,20,4.927946019172668,0.8079273461538462
energy,20_seed_mean,rule_of_law_train,KOR,South Korea,4.945944046974182,0.9801474525314453,20,4.945944046974182,0.8580974538461539
energy,20_seed_mean,rule_of_law_train,SVN,Slovenia,4.934919703006744,0.9748025667769198,20,4.934919703006744,0.8759170307692308
energy,20_seed_mean,rule_of_law_train,ISR,Israel,4.946507287025452,0.9826758716902668,20,4.946507287025452,0.9003304000000001
energy,20_seed_mean,rule_of_law_train,EST,Estonia,4.922039818763733,0.9692097724046621,20,4.922039818763733,0.9118709
energy,20_seed_mean,rule_of_law_train,PRT,Portugal,4.930860757827759,0.9734171100249202,20,4.930860757827759,1.1060541923076923
energy,20_seed_mean,rule_of_law_train,ESP,Spain,4.9386939883232115,0.9790622730464993,20,4.9386939883232115,1.113653423076923
energy,20_seed_mean,rule_of_law_train,CYP,Cyprus,4.940851676464081,0.9797911975047873,20,4.940851676464081,1.1229836384615384
energy,20_seed_mean,rule_of_law_train,CHL,Chile,4.93146584033966,0.9759007900913952,20,4.93146584033966,1.2516075153846153
energy,20_seed_mean,rule_of_law_train,JPN,Japan,4.946937763690949,0.9783775774814565,20,4.946937763690949,1.2662407384615384
energy,20_seed_mean,rule_of_law_train,BEL,Belgium,4.943302881717682,0.9796476670807489,20,4.943302881717682,1.2842136153846153
energy,20_seed_mean,rule_of_law_train,FRA,France,4.945080125331879,0.9793063403560844,20,4.945080125331879,1.2937158076923079
energy,20_seed_mean,rule_of_law_train,HKG,Hong Kong,4.932757914066315,0.9781000458588395,20,4.932757914066315,1.336422046153846
energy,20_seed_mean,rule_of_law_train,SGP,Singapore,4.93560346364975,0.9777868788962248,20,4.93560346364975,1.434795176923077
energy,20_seed_mean,rule_of_law_train,USA,United States,4.93782240152359,0.9768593713185487,20,4.93782240152359,1.5557633923076923
energy,20_seed_mean,rule_of_law_train,IRL,Ireland,4.932552921772003,0.9756894477628739,20,4.932552921772003,1.5825062923076922
energy,20_seed_mean,rule_of_law_train,GBR,United Kingdom,4.934466886520386,0.9767632673754282,20,4.934466886520386,1.593030369230769
energy,20_seed_mean,rule_of_law_train,DEU,Germany,4.940463924407959,0.9756677692073102,20,4.940463924407959,1.6655447538461539
energy,20_seed_mean,rule_of_law_train,CAN,Canada,4.938938343524933,0.9759026471924884,20,4.938938343524933,1.7059076692307693
energy,20_seed_mean,rule_of_law_train,AUS,Australia,4.938263928890228,0.9757096872168431,20,4.938263928890228,1.714157853846154
energy,20_seed_mean,rule_of_law_train,LUX,Luxembourg,4.936968040466309,0.9761446028517565,20,4.936968040466309,1.7185453076923076
energy,20_seed_mean,rule_of_law_train,NLD,Netherlands,4.9357613801956175,0.9762007125643695,20,4.9357613801956175,1.7341165923076924
energy,20_seed_mean,rule_of_law_train,ISL,Iceland,4.941051888465881,0.9745769055392526,20,4.941051888465881,1.7681231230769232
energy,20_seed_mean,rule_of_law_train,NZL,New Zealand,4.9368574857711796,0.975388840856365,20,4.9368574857711796,1.8224014384615386
energy,20_seed_mean,rule_of_law_train,AUT,Austria,4.938741838932037,0.9745976537852848,20,4.938741838932037,1.8429369615384616
energy,20_seed_mean,rule_of_law_train,SWE,Sweden,4.9391920328140255,0.9748495591917337,20,4.9391920328140255,1.8525718076923074
energy,20_seed_mean,rule_of_law_train,CHE,Switzerland,4.93743132352829,0.9748463145645393,20,4.93743132352829,1.8672408846153845
energy,20_seed_mean,rule_of_law_train,NOR,Norway,4.94082248210907,0.9737308954853185,20,4.94082248210907,1.9000786076923077
energy,20_seed_mean,rule_of_law_train,DNK,Denmark,4.935952281951904,0.9750849033310336,20,4.935952281951904,1.9114383692307693
energy,20_seed_mean,rule_of_law_train,FIN,Finland,4.937150263786316,0.974514035396391,20,4.937150263786316,1.956635953846154
