epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean
1.0,1.2168561220169067,1.2168561220169067,1.0401805639266968,7.104608535766602,3.1361684799194336,3.1361684799194336,1.0403305292129517,3.1361682387573593,1.347847820633638,-0.11199386049014733,-0.04033056517192979,1.0,0.0,1.0,5.931321144104004,6.775531460334605e-07,1.0,1.7353166341781616
2.0,0.981667697429657,0.981667697429657,1.0403305292129517,2.9578707218170166,3.059990167617798,3.059990167617798,1.0403698682785034,3.0599899028568034,1.3009851621552593,-0.07950431449922908,-0.040369938947602435,1.0,,,5.940609931945801,0.0,0.0,1.7299009561538696
3.0,0.9080682396888733,0.9080682396888733,1.0403698682785034,3.154751777648926,3.033376455307007,3.033376455307007,1.040295124053955,3.0333764328807558,1.290232788067725,-0.06622383875787592,-0.040295083478648186,1.0,0.0,1.0,5.9161248207092285,7.560968242614763e-07,1.0,1.7314759492874146
4.0,0.8281158208847046,0.8281158208847046,1.040295124053955,2.182098627090454,3.0103187561035156,3.0103187561035156,1.0401897430419922,3.010318799795234,1.2956036060723284,-0.05680630898285505,-0.04018983477079707,1.0,0.0,1.0,5.884286880493164,9.5367431640625e-07,1.0,1.7356585264205933
5.0,0.7681949734687805,0.7681949734687805,1.0401897430419922,1.7520039081573486,2.9559848308563232,2.9559848308563232,1.040071725845337,2.9559848547762,1.29459950347091,-0.03712708321569025,-0.040071706742104474,1.0,0.0,1.0,5.84876823425293,9.5367431640625e-07,1.0,1.7406305074691772
6.0,0.7237149477005005,0.7237149477005005,1.040071725845337,1.4033006429672241,2.8851497173309326,2.8851497173309326,1.0399482250213623,2.8851495818677155,1.2814586790189857,-0.010940058656613702,-0.039948347691407426,1.0,,,5.811544895172119,0.0,0.0,1.7457479238510132
7.0,0.6924130320549011,0.6924130320549011,1.0399482250213623,1.1081905364990234,2.8417809009552,2.8417809009552,1.0398236513137817,2.8417808900597916,1.2676223045599366,0.005885065194069783,-0.03982371068868562,1.0,0.0,1.0,5.77357816696167,4.76837158203125e-07,1.0,1.7507966756820679
8.0,0.667271614074707,0.667271614074707,1.0398236513137817,1.2761691808700562,2.8300187587738037,2.8300187587738037,1.0396925210952759,2.8300189688616157,1.2583620520456442,0.01080581398765057,-0.039692571215665495,1.0,0.0,1.0,5.733548641204834,9.502622333457111e-07,1.0,1.7559739351272583
9.0,0.6396386623382568,0.6396386623382568,1.0396925210952759,0.9351060390472412,2.850285768508911,2.850285768508911,1.0395572185516357,2.8502857387686222,1.258859292808033,0.0025568421525195375,-0.039557157407879795,1.0,,,5.692303657531738,0.0,0.0,1.761032223701477
10.0,0.6176258325576782,0.6176258325576782,1.0395572185516357,0.6210036873817444,2.8701744079589844,2.8701744079589844,1.0394169092178345,2.870174397250714,1.264342975004443,-0.006689261619160077,-0.039416886102774384,1.0,0.0,1.0,5.64948844909668,9.5367431640625e-07,1.0,1.765949010848999
11.0,0.6033933162689209,0.6033933162689209,1.0394169092178345,1.1240248680114746,2.8596115112304688,2.8596115112304688,1.0392727851867676,2.8596116438482144,1.2625430806702564,-0.0048033016874701,-0.03927276911455724,1.0,,,5.605508327484131,0.0,0.0,1.7706605195999146
12.0,0.5836878418922424,0.5836878418922424,1.0392727851867676,0.8731392025947571,2.837404489517212,2.837404489517212,1.0391250848770142,2.8374045644720556,1.2611906805681803,0.0006377979228350631,-0.039125163526000706,1.0,0.0,1.0,5.56051778793335,4.76837158203125e-07,1.0,1.775127649307251
