epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_atm_count_spearman_rho,val_kstar_proxy_atm_count_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_terminal_count_spearman_rho,val_kstar_proxy_terminal_count_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_credit_card_depth_spearman_rho,val_kstar_proxy_credit_card_depth_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q2_mean,val_kstar_anchor_q3_mean,val_kstar_anchor_q4_mean,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_atm_count_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_terminal_count_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_credit_card_depth_recon_r2
1.0,0.9822771549224854,0.9590451121330261,0.23232027888298035,0.011985174380242825,0.0,0.0,0.0,12.98276347157003,12.98276347157003,12.982638249293693,0.057021458324343036,1.0,18.850046157836914,18.82733917236328,0.22707682847976685,0.009724698960781097,0.0,0.0,0.0,18.827338329041986,4.322688429838135,0.0,1.0777949094772339,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.27335041536594257,5.551115123125783e-17,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5840104222297668,0.5613027215003967,0.22707682847976685,0.009724698960781097,0.0,0.0,0.0,9.247671974621557,9.247671974621557,9.247498706090504,0.05660946082983351,1.0,17.694499969482422,17.672231674194336,0.2226812094449997,0.007930113933980465,0.0,0.0,0.0,17.67223112205517,4.1888964012974785,0.0,1.0765180587768555,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.2701820923853937,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.31602466106414795,0.29375654458999634,0.2226812094449997,0.007930113933980465,0.0,0.0,0.0,5.891185688217647,5.891185688217647,5.890916912195951,0.05627385417903036,1.0,16.620206832885742,16.598323822021484,0.2188267856836319,0.006439771503210068,0.0,0.0,0.0,16.598323834377837,4.060615836154847,0.0,1.0758863687515259,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.2686056505046591,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.1643434315919876,0.14246074855327606,0.2188267856836319,0.006439771503210068,0.0,0.0,0.0,3.1655108760392627,3.1655108760392627,3.1650156916001184,0.05598909043629283,1.0,15.638350486755371,15.616809844970703,0.21540965139865875,0.005188277922570705,0.0,0.0,0.0,15.616810946291128,3.939793731485094,0.0,1.0754945278167725,2.538667380809545e-08,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.2676242931099858,1.2564018756428865e-08,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.10017840564250946,0.07863744348287582,0.21540965139865875,0.005188277922570705,0.0,0.0,0.0,1.3215291503007447,1.3215291503007447,1.3203528193350085,0.05574699605093318,1.0,14.868855476379395,14.847609519958496,0.21246151626110077,0.004166810307651758,0.0,0.0,0.0,14.847609371971496,3.842775591782161,0.0,1.0752729177474976,5.953702745949378e-08,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.2670697387169986,7.258975771249395e-08,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.09246019273996353,0.07121404260396957,0.21246151626110077,0.004166810307651758,0.0,0.0,0.0,1.6836311155485308,1.6836311155485308,1.6827144957275653,0.05554870935958501,1.0,14.44025707244873,14.419242858886719,0.21014408767223358,0.0034584999084472656,0.0,0.0,0.0,14.41924254999218,3.7880115509033203,0.0,1.0751253366470337,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.26669932452667144,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.09687623381614685,0.07586182653903961,0.21014408767223358,0.0034584999084472656,0.0,0.0,0.0,2.293574794102343,2.293574794102343,2.292906088779327,0.05538053972557938,1.0,14.261260986328125,14.240425109863281,0.2083558291196823,0.0029913599137216806,0.0,0.0,0.0,14.240424026582147,3.765238268034799,0.0,1.0750216245651245,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.266438535346536,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.09141285717487335,0.07057727128267288,0.2083558291196823,0.0029913599137216806,0.0,0.0,0.0,2.403025686431274,2.403025686431274,2.402390857332042,0.05523240222834175,1.0,14.258195877075195,14.237499237060547,0.20696231722831726,0.0026929029263556004,0.0,0.0,0.0,14.237499609104924,3.765386178379967,0.0,1.0749281644821167,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.266203965145326,5.551115123125783e-17,1.0,1.0,0.0,6.346668452023863e-09,,,,0.0,,,-1.0,,0.0,1.699286126678105,0.0,1.0749281644821167,1.0749281644821167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.07602802664041519,0.055331796407699585,0.20696231722831726,0.0026929029263556004,0.0,0.0,0.0,2.1521366540915903,2.1521366540915903,2.1514312969009617,0.05509584920472884,1.0,14.38372802734375,14.363142013549805,0.205857053399086,0.002511786762624979,0.0,0.0,0.0,14.363140678495405,3.782295749301002,0.0,1.074825406074524,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.26594541711409536,5.551115123125783e-17,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.05623000115156174,0.0356442928314209,0.205857053399086,0.002511786762624979,0.0,0.0,0.0,1.7099770087940622,1.7099770087940622,1.709093372936803,0.05496556365389661,1.0,14.607291221618652,14.586793899536133,0.2049688994884491,0.002415440510958433,0.0,0.0,0.0,14.5867927426821,3.811822916780199,0.0,1.0747023820877075,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.2656363382163428,5.551115123125783e-17,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
