epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_atm_count_spearman_rho,val_kstar_proxy_atm_count_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_terminal_count_spearman_rho,val_kstar_proxy_terminal_count_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_credit_card_depth_spearman_rho,val_kstar_proxy_credit_card_depth_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q2_mean,val_kstar_anchor_q3_mean,val_kstar_anchor_q4_mean,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_atm_count_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_terminal_count_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_credit_card_depth_recon_r2
1.0,1.0378693342208862,1.0146373510360718,0.23232027888298035,0.011985174380242825,0.0,0.0,0.0,13.300187460104473,13.300187460104473,13.300065226426929,0.057021458324343036,1.0,17.512557983398438,17.489850997924805,0.2270776480436325,0.009725064970552921,0.0,0.0,0.0,17.48985014378701,4.163941805561383,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,3.1733342260119313e-09,,,,0.0,,,-1.0,,0.0,2.2329469843910847,0.0,1.07958984375,1.07958984375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.6180810332298279,0.595373272895813,0.2270776480436325,0.009725064970552921,0.0,0.0,0.0,9.44182500751346,9.44182500751346,9.441655301665996,0.05660951359046217,1.0,15.978850364685059,15.956632614135742,0.22217631340026855,0.007702238392084837,0.0,0.0,0.0,15.956634571587152,3.9785180531796955,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.336819589138031,0.31460195779800415,0.22217631340026855,0.007702238392084837,0.0,0.0,0.0,6.091990531366301,6.091990531366301,6.091730886672536,0.056244454095496,1.0,14.600930213928223,14.579168319702148,0.21762144565582275,0.00591588718816638,0.0,0.0,0.0,14.579167288519299,3.804358031068529,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.17606407403945923,0.15430192649364471,0.21762144565582275,0.00591588718816638,0.0,0.0,0.0,3.3604126617651238,3.3604126617651238,3.35994722141276,0.055927870261911844,1.0,13.394908905029297,13.373565673828125,0.21342827379703522,0.0043653505854308605,0.0,0.0,0.0,13.373565883479259,3.6452735662460327,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.10526321828365326,0.08392038941383362,0.21342827379703522,0.0043653505854308605,0.0,0.0,0.0,1.47797935190626,1.47797935190626,1.4769307908276121,0.05566330718321461,1.0,12.454035758972168,12.433060646057129,0.2097492218017578,0.0030992694664746523,0.0,0.0,0.0,12.433060564090443,3.5166916307948886,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.09058725833892822,0.06961233168840408,0.2097492218017578,0.0030992694664746523,0.0,0.0,0.0,1.5715363848897597,1.5715363848897597,1.570557483439563,0.05545989762307456,1.0,11.970120429992676,11.949385643005371,0.20735259354114532,0.0024126041680574417,0.0,0.0,0.0,11.949385000306972,3.4495573668252852,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.09418480098247528,0.07344954460859299,0.20735259354114532,0.0024126041680574417,0.0,0.0,0.0,2.1561609182446833,2.1561609182446833,2.1554514416868784,0.05530811781024807,1.0,11.800562858581543,11.779970169067383,0.20593130588531494,0.0021199819166213274,0.0,0.0,0.0,11.779969964089323,3.4265938145773753,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.08930151909589767,0.0687083899974823,0.20593130588531494,0.0021199819166213274,0.0,0.0,0.0,2.2963576869371747,2.2963576869371747,2.29569471720787,0.05517600691721118,1.0,11.84618091583252,11.825666427612305,0.20514199137687683,0.0020599933341145515,0.0,0.0,0.0,11.82566814464602,3.4344129959742227,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.07496535778045654,0.05445116013288498,0.20514199137687683,0.0020599933341145515,0.0,0.0,0.0,2.0853540056319186,2.0853540056319186,2.08462722470224,0.055051456250706884,1.0,12.046077728271484,12.025602340698242,0.20475609600543976,0.002140133874490857,0.0,0.0,0.0,12.025603156328847,3.464152137438456,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.058185577392578125,0.03770997002720833,0.20475609600543976,0.002140133874490857,0.0,0.0,0.0,1.727216954085077,1.727216954085077,1.7263431749782314,0.054933129211894194,1.0,12.363368034362793,12.342900276184082,0.2046746462583542,0.0023232530802488327,0.0,0.0,0.0,12.342899442116973,3.510095374924796,0.0,1.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
