variant,target_column,effective_lambda_r_mean,effective_lambda_r_std,best_epoch_mean,best_epoch_std,best_val_task_loss_mean,best_val_task_loss_std,train_total_loss_mean,train_total_loss_std,train_task_loss_mean,train_task_loss_std,train_recon_loss_mean,train_recon_loss_std,train_mse_mean,train_mse_std,train_mae_mean,train_mae_std,train_r2_mean,train_r2_std,train_proxy_recon_r2_mean,train_proxy_recon_r2_std,train_kstar_proxy_spearman_rho_mean,train_kstar_proxy_spearman_rho_std,train_kstar_proxy_spearman_p_mean,train_kstar_proxy_spearman_p_std,train_kstar_mean_mean,train_kstar_mean_std,train_kstar_std_mean,train_kstar_std_std,train_omega_entropy_mean_mean,train_omega_entropy_mean_std,val_total_loss_mean,val_total_loss_std,val_task_loss_mean,val_task_loss_std,val_recon_loss_mean,val_recon_loss_std,val_mse_mean,val_mse_std,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,val_proxy_recon_r2_mean,val_proxy_recon_r2_std,val_kstar_proxy_spearman_rho_mean,val_kstar_proxy_spearman_rho_std,val_kstar_proxy_spearman_p_mean,val_kstar_proxy_spearman_p_std,val_kstar_mean_mean,val_kstar_mean_std,val_kstar_std_mean,val_kstar_std_std,val_omega_entropy_mean_mean,val_omega_entropy_mean_std,test_total_loss_mean,test_total_loss_std,test_task_loss_mean,test_task_loss_std,test_recon_loss_mean,test_recon_loss_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std,test_proxy_recon_r2_mean,test_proxy_recon_r2_std,test_kstar_proxy_spearman_rho_mean,test_kstar_proxy_spearman_rho_std,test_kstar_proxy_spearman_p_mean,test_kstar_proxy_spearman_p_std,test_kstar_mean_mean,test_kstar_mean_std,test_kstar_std_mean,test_kstar_std_std,test_omega_entropy_mean_mean,test_omega_entropy_mean_std
no_ac_encoder,ctfp,0.0,0.0,9.666666666666666,11.71893055416463,2.894582986831665,0.10694261210801904,0.7059471110502878,0.2416121773472456,0.7059471110502878,0.2416121773472456,7613463755664043.0,8393590822745635.0,0.7059470949893815,0.241612132586808,0.6498269392873388,0.1359511613575626,0.11606201472744611,0.2933871165978408,-7613463783734283.0,8393590635247001.0,0.0,0.0,1.0,0.0,4.542997757593791,2.0177795852231655,0.0,0.0,1.7960644960403442,0.22332562252539842,2.894582986831665,0.10694261210801904,2.894582986831665,0.10694261210801904,7613463755664043.0,8393590822745635.0,2.8945828739396524,0.10694268702814796,1.2884738452742417,0.054226620232557164,-0.026743398511367967,0.05583855738049515,-7613463783734283.0,8393590635247001.0,0.0,0.0,1.0,0.0,4.542997757593791,2.0177795852231655,0.0,0.0,1.7960644960403442,0.22332562252539842,4.530973116556804,0.1514257932342151,4.530973116556804,0.1514257932342151,7613463755664043.0,8393590822745635.0,4.530973150403368,0.151426301654464,1.6202515553882748,0.05230363143069152,-0.09313808227812281,0.03610057552226149,-7613463783734283.0,8393590635247001.0,0.0,0.0,1.0,0.0,4.542997757593791,2.0177795852231655,0.0,0.0,1.7960644960403442,0.22332562252539842
no_recon_regularization,ctfp,0.0,0.0,4.666666666666667,3.511884584284246,2.8930845260620117,0.10772795962504012,0.7620959679285685,0.16318450511051666,0.7620959679285685,0.16318450511051666,0.3229025925199191,0.40962307211774796,0.7620959721932206,0.16318450050561967,0.6877650304126979,0.08143987398786985,0.049832665134032346,0.1961999928070742,0.6770974043313173,0.40962307312363394,-0.14674042820586186,1.0266643527107846,2.6859532097012015e-07,4.6522074259551845e-07,4.627961238225301,1.9650428479125293,0.1249750405550003,0.15745942218195075,1.8072182337443035,0.2122607478069564,2.8930845260620117,0.10772795962504012,2.8930845260620117,0.10772795962504012,0.3229025925199191,0.40962307211774796,2.8930844820893706,0.10772799708110785,1.284188807815826,0.05006132574756739,-0.022313164972893023,0.05254536073407878,0.6770974043313173,0.40962307312363394,-0.14674042820586186,1.0266643527107846,2.6859532097012015e-07,4.6522074259551845e-07,4.627961238225301,1.9650428479125293,0.1249750405550003,0.15745942218195075,1.8072182337443035,0.2122607478069564,4.551063696543376,0.1540162343622114,4.551063696543376,0.1540162343622114,0.3229025925199191,0.40962307211774796,4.551063612519385,0.15401632758812203,1.6216692011754743,0.05259653033037389,-0.09756968944826365,0.03674891333991039,0.6770974043313173,0.40962307312363394,-0.14674042820586186,1.0266643527107846,2.6859532097012015e-07,4.6522074259551845e-07,4.627961238225301,1.9650428479125293,0.1249750405550003,0.15745942218195075,1.8072182337443035,0.2122607478069564
uniform_lag,ctfp,0.10000000000000002,0.0,9.333333333333334,14.433756729740644,2.9226816495259604,0.07650421257649873,0.7713417708873749,0.27476718032294806,0.7605105439821879,0.2810587922382429,0.10831240316232045,0.0630898215694144,0.7605105241600366,0.2810587635774084,0.6675686695809558,0.15566138694776757,0.057284400661687475,0.34309909770289165,0.8916875957389689,0.06308982807788387,0.0,0.0,1.0,0.0,5.5,0.0,0.0,0.0,2.3025853633880615,0.0,2.9335128466288247,0.08029309408780252,2.9226816495259604,0.07650421257649873,0.10831240316232045,0.0630898215694144,2.9226815761456333,0.07650427928071582,1.305812945319389,0.03034026196658305,-0.041768318717625263,0.04365606650491672,0.8916875957389689,0.06308982807788387,0.0,0.0,1.0,0.0,5.5,0.0,0.0,0.0,2.3025853633880615,0.0,4.505665302276611,0.17133565402984363,4.494833946228027,0.1730040883756031,0.10831240316232045,0.0630898215694144,4.494834045347697,0.17300424734706893,1.618638149445358,0.049732001975240886,-0.0846562119559625,0.04144665232997274,0.8916875957389689,0.06308982807788387,0.0,0.0,1.0,0.0,5.5,0.0,0.0,0.0,2.3025853633880615,0.0
