seed,experiment,epoch,train_total_loss,train_task_loss,train_recon_loss,val_total_loss,val_task_loss,val_mse,val_mae,val_kstar_mean,val_kstar_std,val_kstar_proxy_spearman_adjusted_rho,val_lag_gate_sensitivity_range,val_omega_entropy_mean,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3
0,fullspan_income_k3_cmdl_seed0,1,3.050447702407837,2.9381306171417236,1.1231697797775269,9.101140022277832,8.989189147949219,8.989190328588288,2.9841665568805875,2.271327495574951,0.19135654129882637,0.32857142857142857,0.5182349681854248,0.8339867968429321,0.0,0.5238095238095238,0.47619047619047616
0,fullspan_income_k3_cmdl_seed0,2,2.516216278076172,2.4042649269104004,1.119512915611267,7.914017200469971,7.802387237548828,7.802387352548165,2.7794796299366724,2.3035078048706055,0.18854152567237203,0.27662337662337666,0.5152053833007812,0.8459330362309827,0.0,0.5238095238095238,0.47619047619047616
0,fullspan_income_k3_cmdl_seed0,3,2.0567257404327393,1.9450956583023071,1.1163007020950317,6.786510944366455,6.675146102905273,6.6751462227245,2.570685251837685,2.335552453994751,0.18217626209044857,0.2597402597402597,0.506601095199585,0.8567037998483306,0.0,0.5238095238095238,0.47619047619047616
0,fullspan_income_k3_cmdl_seed0,4,1.666153907775879,1.5547890663146973,1.1136488914489746,5.7445149421691895,5.6333489418029785,5.633349029534412,2.361807454554808,2.366940975189209,0.17298193046063287,0.21038961038961035,0.49342799186706543,0.8652639452051508,0.0,0.47619047619047616,0.5238095238095238
0,fullspan_income_k3_cmdl_seed0,5,1.3532763719558716,1.2421104907989502,1.1116589307785034,4.805748462677002,4.6947021484375,4.694702343719233,2.1564168917636075,2.3966891765594482,0.16208844334555883,0.15324675324675324,0.4741833209991455,0.8707162968710952,0.0,0.38095238095238093,0.6190476190476191
0,fullspan_income_k3_cmdl_seed0,6,1.1174744367599487,1.0064280033111572,1.1104648113250732,3.980193614959717,3.8691744804382324,3.8691741952856518,1.957787940012557,2.4231905937194824,0.15078512217075415,0.0987012987012987,0.44977855682373047,0.872966323091772,0.0,0.38095238095238093,0.6190476190476191
0,fullspan_income_k3_cmdl_seed0,7,0.9591200947761536,0.8481009602546692,1.1101914644241333,3.276419162750244,3.165327548980713,3.1653274329088257,1.7705044785425776,2.4444327354431152,0.1402571139773025,0.03636363636363636,0.42279767990112305,0.8731107051048371,0.0,0.23809523809523808,0.7619047619047619
0,fullspan_income_k3_cmdl_seed0,8,0.8540911674499512,0.7429995536804199,1.1109163761138916,2.7133874893188477,2.602119207382202,2.602119301337586,1.6045671995906603,2.4592182636260986,0.13148793414934035,0.02727272727272727,0.397477388381958,0.8727268677771498,0.0,0.14285714285714285,0.8571428571428571
0,fullspan_income_k3_cmdl_seed0,9,0.800870954990387,0.689602792263031,1.1126818656921387,2.308544874191284,2.197023868560791,2.197023802893205,1.473372723375048,2.4682095050811768,0.12487285435203489,0.01948051948051948,0.3772878646850586,0.8727701310417754,0.0,0.14285714285714285,0.8571428571428571
0,fullspan_income_k3_cmdl_seed0,10,0.7705415487289429,0.6590204238891602,1.1152111291885376,2.041032314300537,1.9292097091674805,1.9292096140232649,1.3796303364492597,2.4732778072357178,0.12001451225354529,-0.04675324675324675,0.3637864589691162,0.8733887302529313,0.0,0.14285714285714285,0.8571428571428571
0,fullspan_income_k3_cmdl_seed0,11,0.7433052659034729,0.6314827799797058,1.11822509765625,1.8759342432022095,1.7637841701507568,1.7637840842318504,1.3183758755524952,2.475864887237549,0.11639075982784729,-0.1064935064935065,0.3527078628540039,0.8744664014951388,0.0,0.14285714285714285,0.8571428571428571
