seed,experiment,entity_id,entity_code,entity_name,test_year_count,entity_test_mse,entity_test_mae,k_star,omega_peak,omega_1,omega_2,omega_3,proxy_income_level_true,proxy_income_level_pred,proxy_income_recent_level_true,proxy_income_recent_level_pred,proxy_income_growth_signal_true,proxy_income_growth_signal_pred
0,fullspan_income_k3_cmdl_seed0,0,SE110,Stockholm,3,1.53150786757674,1.219720443089803,2.5097732543945312,3,0.11506067216396332,0.2601053714752197,0.6248340010643005,3.1035892963409424,1.1932637691497803,3.122511863708496,1.2102086544036865,2.0450494289398193,0.7261155843734741
0,fullspan_income_k3_cmdl_seed0,1,SE121,Uppsala,3,2.117257510781291,1.442443569501241,2.438610792160034,3,0.10517263412475586,0.3510441482067108,0.5437832474708557,0.7865705490112305,0.3787018060684204,0.8276240229606628,0.38407957553863525,0.5018806457519531,0.23044468462467194
0,fullspan_income_k3_cmdl_seed0,2,SE122,Södermanland,3,1.7322960856539662,1.297545591990153,2.3837294578552246,3,0.10112245380878448,0.41402551531791687,0.4848519563674927,-0.15379680693149567,-0.020277410745620728,-0.49630576372146606,-0.02056536078453064,-1.5125248432159424,-0.01233905553817749
0,fullspan_income_k3_cmdl_seed0,3,SE123,Östergötland,3,1.558966609752692,1.226194699605306,2.265963554382324,2,0.09606596827507019,0.541904628276825,0.36202943325042725,-0.4559425711631775,-0.6982253789901733,-0.3133467733860016,-0.70814049243927,0.49542251229286194,-0.42487871646881104
0,fullspan_income_k3_cmdl_seed0,4,SE124,Örebro,3,2.1137183424639496,1.4361175298690796,2.3058176040649414,2,0.09738326072692871,0.49941596388816833,0.40320080518722534,-0.07100757211446762,-0.48055702447891235,-0.18100029230117798,-0.4873811602592468,-0.43909889459609985,-0.2924248278141022
0,fullspan_income_k3_cmdl_seed0,5,SE125,Västmanland,3,1.7612826221521516,1.3012882868448894,2.3520259857177734,3,0.09938784688711166,0.4491981565952301,0.45141398906707764,0.16785933077335358,-0.21672269701957703,-0.024768412113189697,-0.21980024874210358,-0.7913863062858582,-0.13187840580940247
0,fullspan_income_k3_cmdl_seed0,6,SE211,Jönköping,3,1.8545609101134677,1.3456130425135295,2.4380905628204346,3,0.10512547194957733,0.3516584634780884,0.5432160496711731,0.8547183871269226,0.3743869662284851,0.8996255993843079,0.3797034025192261,0.7994425296783447,0.2278190404176712
0,fullspan_income_k3_cmdl_seed0,7,SE212,Kronoberg,3,1.6573151808131097,1.2672605514526367,2.361374855041504,3,0.09986474364995956,0.4388957619667053,0.4612394869327545,-0.12300660461187363,-0.16050566732883453,-0.2900635600090027,-0.16278491914272308,-0.8802432417869568,-0.09766966849565506
0,fullspan_income_k3_cmdl_seed0,8,SE213,Kalmar,3,1.7616438180771326,1.304834008216858,2.220001697540283,2,0.09501540660858154,0.5899676084518433,0.31501704454421997,-0.3665507435798645,-0.949765682220459,-0.16980896890163422,-0.9632527232170105,0.8647927641868591,-0.5779440402984619
0,fullspan_income_k3_cmdl_seed0,9,SE214,Gotland,3,1.5740067613710476,1.232306718826294,2.43074631690979,3,0.10448155552148819,0.36029091477394104,0.5352275967597961,-1.953405499458313,0.314825177192688,-1.7984977960586548,0.31929582357406616,-0.3196624517440796,0.19157494604587555
