seed,experiment,cmdl_mse,cmdl_mae,train_mean_mse,train_mean_mae,persistence_mse,persistence_mae,panel_ols_mse,panel_ols_mae,grouped_ardl_mse,grouped_ardl_mae,grouped_ardl_effective_lag_mean
0,fullspan_income_k3_cmdl_seed0,1.7318588304778364,1.2951225893838065,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
1,fullspan_income_k3_cmdl_seed1,1.715944114425808,1.2785691789218359,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
2,fullspan_income_k3_cmdl_seed2,1.4755459070647485,1.18617173982045,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
3,fullspan_income_k3_cmdl_seed3,1.595266020531658,1.2311558401773846,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
4,fullspan_income_k3_cmdl_seed4,1.6321673231828675,1.2428683137136793,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
5,fullspan_income_k3_cmdl_seed5,1.1081679967613864,1.0074236828183372,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
6,fullspan_income_k3_cmdl_seed6,1.4562751285514302,1.1704214149051242,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
7,fullspan_income_k3_cmdl_seed7,1.9124268151508772,1.3576504484055534,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
8,fullspan_income_k3_cmdl_seed8,1.7560605065923982,1.303811472559732,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
9,fullspan_income_k3_cmdl_seed9,1.8950704625037365,1.354760798196944,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
10,fullspan_income_k3_cmdl_seed10,1.449030369732216,1.1681430301969014,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
11,fullspan_income_k3_cmdl_seed11,1.6327899141927988,1.2474640049631633,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
12,fullspan_income_k3_cmdl_seed12,1.4842424043305558,1.2006341692001101,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
13,fullspan_income_k3_cmdl_seed13,1.4223356884177647,1.1592047555106026,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
14,fullspan_income_k3_cmdl_seed14,1.2548786869554986,1.0780578662478735,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
15,fullspan_income_k3_cmdl_seed15,1.4553950644186973,1.1687653026883564,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
16,fullspan_income_k3_cmdl_seed16,1.891250951734865,1.3505667012835305,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
17,fullspan_income_k3_cmdl_seed17,1.4074850268374477,1.168234217734564,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
18,fullspan_income_k3_cmdl_seed18,1.586069688979796,1.213431918431842,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
19,fullspan_income_k3_cmdl_seed19,1.2995007704513513,1.1133962093837677,5.922037730745941,2.4119622039298223,0.15835694926778862,0.37547512849171955,1.4850496378949354,1.2146414966912122,1.444015072863602,1.1957765590811253,2.0957197433912333
