entity_id,entity_code,entity_name,seed_count,proxy_income_level_true,proxy_income_recent_level_true,proxy_income_growth_signal_true,k_star_mean,k_star_std,omega_1_mean,omega_2_mean,omega_3_mean,omega_peak_mode,omega_peak_mode_count,entity_test_mse_mean,entity_test_mae_mean
0,SE110,Stockholm,20,3.1035892963409424,3.122511863708496,2.0450494289398193,1.748270535469055,0.43839993881691763,0.4342172283679247,0.3832950102165341,0.18248776327818633,1,9,1.7039636711411539,1.2827766120433808
1,SE121,Uppsala,20,0.7865705490112305,0.8276240229606628,0.5018806457519531,1.750516152381897,0.4261101636828172,0.4281270485371351,0.3932297581806779,0.1786431897431612,1,9,1.4663683195578612,1.1823262830575307
2,SE122,Södermanland,20,-0.15379680693149567,-0.49630576372146606,-1.5125248432159424,1.7189915597438812,0.43468860839552703,0.4519127767533064,0.377182842977345,0.1709043648093939,1,9,1.5505253323852637,1.2107473810513816
3,SE123,Östergötland,20,-0.4559425711631775,-0.3133467733860016,0.49542251229286194,1.760250973701477,0.41441835359083384,0.4252457838505507,0.389257494173944,0.18549673669040204,1,10,1.4525091764094198,1.1749689598878226
4,SE124,Örebro,20,-0.07100757211446762,-0.18100029230117798,-0.43909889459609985,1.732142448425293,0.41770165252567804,0.43938769660890103,0.3890821520239115,0.1715301524847746,1,9,1.510529598639122,1.1981210629145305
5,SE125,Västmanland,20,0.16785933077335358,-0.024768412113189697,-0.7913863062858582,1.7250464141368866,0.42279007259431284,0.44428220130503177,0.3863891579210758,0.16932863146066665,1,9,1.581673447487695,1.2227953573067984
6,SE211,Jönköping,20,0.8547183871269226,0.8996255993843079,0.7994425296783447,1.7512408196926117,0.42439186966249615,0.4268556423485279,0.39504783432930707,0.17809651158750056,1,9,1.549636671111309,1.2195195734500885
7,SE212,Kronoberg,20,-0.12300660461187363,-0.2900635600090027,-0.8802432417869568,1.7249273478984832,0.42960955448895743,0.4472272016108036,0.38061825204640626,0.1721545413136482,1,9,1.6369121474699142,1.2504668553670248
8,SE213,Kalmar,20,-0.3665507435798645,-0.16980896890163422,0.8647927641868591,1.755147749185562,0.4061653466261868,0.4240822151303291,0.39668782111257317,0.17922995686531068,1,9,1.6788136929401172,1.2597688893477121
9,SE214,Gotland,20,-1.953405499458313,-1.7984977960586548,-0.3196624517440796,1.737494546175003,0.4450224712171537,0.44995594322681426,0.3625935958698392,0.18745047133415937,1,10,1.2611635904723064,1.0903372645378113
10,SE221,Blekinge,20,-0.8427590131759644,-0.9457042217254639,-1.3352458477020264,1.724726575613022,0.4433040664838497,0.45305942110717295,0.36915457583963873,0.17778600603342057,1,10,1.4186398037054915,1.161765698591868
11,SE224,Skåne,20,-1.003313660621643,-0.7420020699501038,0.4868941009044647,1.7618539869785308,0.4354612304199211,0.433212386444211,0.3717211987823248,0.19506639949977397,1,10,1.4262375499944142,1.1676639238993327
12,SE231,Halland,20,1.0436242818832397,1.1576299667358398,1.582605004310608,1.7509205639362335,0.42199010602598036,0.42592855244874955,0.3972223227843642,0.17684912383556367,1,9,1.7833595868524643,1.3073079327742259
13,SE232,Västra Götaland,20,0.672421932220459,0.9395136833190918,1.2788063287734985,1.7507730662822723,0.4175096416851528,0.42440214455127717,0.4004226729273796,0.17517518382519484,1,9,1.5018294521887305,1.193426114320755
14,SE311,Värmland,20,-0.8402035236358643,-0.5693495273590088,0.23329639434814453,1.759504097700119,0.4340991186132823,0.4336858157068491,0.37312427554279565,0.1931899121031165,1,10,2.2572638455311425,1.467170770963033
15,SE312,Dalarna,20,-0.2823609411716461,-0.42844921350479126,-0.9081844687461853,1.7259183645248413,0.43422261518066546,0.4486234236508608,0.3768347330391407,0.1745418282225728,1,9,1.4891386666432067,1.188248517115911
16,SE313,Gävleborg,20,-0.62269526720047,-0.8649656772613525,-1.4164929389953613,1.72246915102005,0.4411388742879142,0.4530754514038563,0.37137991916388274,0.1755446247756481,1,10,1.4532388620701093,1.166700561841329
17,SE321,Västernorrland,20,0.2921362519264221,0.03829967975616455,-1.1413333415985107,1.722055011987686,0.4263573498593129,0.447185268253088,0.3835744960233569,0.16924025285989047,1,9,1.4561112291412655,1.1741852541764577
18,SE322,Jämtland,20,-0.913016140460968,-0.8165866136550903,-0.2615734338760376,1.7429487228393554,0.44189264569905573,0.44535021111369133,0.36635090205818416,0.18829889670014383,1,10,1.5604747972771604,1.2199336727460226
19,SE331,Västerbotten,20,0.04706485569477081,-0.0063640098087489605,-0.012376036494970322,1.7394305527210236,0.40442388433238796,0.4291893016546965,0.4021908206865191,0.16861987467855216,1,9,1.3217532757614825,1.115721801916758
20,SE332,Norrbotten,20,0.6600732803344727,0.6620081067085266,0.7299321293830872,1.750449424982071,0.41912224521514296,0.4254145734012127,0.39872148297727106,0.17586396504193544,1,9,1.6597070380787962,1.2566938499609628
