model,seed_count,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std
CMDL,20,1.5580880835646869,0.21825441838342785,1.214792682727178,0.09277146405271139
Train mean,20,5.922037730745941,0.0,2.4119622039298223,0.0
Persistence,20,0.15835694926778862,0.0,0.37547512849171955,0.0
Panel OLS,20,1.4850496378949354,0.0,1.2146414966912122,0.0
Grouped ARDL,20,1.444015072863602,0.0,1.1957765590811253,0.0
