epoch,train_task_loss,train_grad_norm,val_task_loss,val_mae,val_r2
1.0,1.268157720565796,0.9047654867172241,17.422992706298828,2.5823831691339008,-0.06147580513844619
2.0,1.4046827554702759,6.166788101196289,17.94962501525879,2.6488938347504147,-0.09403147651739137
3.0,1.327289342880249,4.294501304626465,18.463808059692383,2.712012511270089,-0.12803593520485013
4.0,1.2682839632034302,1.12361741065979,18.357341766357422,2.697575074690195,-0.1218231668058695
5.0,1.247455358505249,2.359325885772705,18.014453887939453,2.6533877747670678,-0.09816525277553952
6.0,1.2255520820617676,1.7589800357818604,17.579877853393555,2.595514664082175,-0.06780544807409299
7.0,1.1899832487106323,0.49885883927345276,17.31648826599121,2.5618394289472195,-0.04983133028800172
8.0,1.1757625341415405,1.6329535245895386,17.258525848388672,2.55513192117652,-0.045797097838596736
9.0,1.1556110382080078,1.1664443016052246,17.38932991027832,2.5723429090665797,-0.054668106228316526
10.0,1.1173558235168457,0.8791478872299194,17.5269775390625,2.5885658433688725,-0.062207101180392
11.0,1.08433198928833,1.2998390197753906,17.579975128173828,2.594693567776957,-0.06186031049641275
12.0,1.0418509244918823,0.5446004271507263,17.620437622070312,2.5989469598608617,-0.06007677242763574
13.0,1.0065293312072754,1.015975832939148,17.803037643432617,2.621099949326828,-0.07002274427325987
14.0,0.9747226238250732,0.9325944781303406,18.027645111083984,2.6467188066568097,-0.08583825091858437
15.0,0.9374123215675354,1.1811803579330444,17.952884674072266,2.6378660165071963,-0.08242174677410441
16.0,0.8942627906799316,1.2157349586486816,17.592159271240234,2.5962330527488207,-0.06062660996458058
17.0,0.8507028222084045,0.7592135071754456,17.24425506591797,2.5556495903581222,-0.04161596179635416
18.0,0.8096258044242859,0.7235434651374817,16.93573760986328,2.5152999547680315,-0.024123620269817347
19.0,0.7640631794929504,0.7762429714202881,16.32933235168457,2.4306111647369355,0.01647565018569967
20.0,0.7311605215072632,0.8098502159118652,15.951579093933105,2.3708801907666315,0.04231469289643447
21.0,0.6951541900634766,0.7765719294548035,15.88538646697998,2.355168878385383,0.04577045709587071
22.0,0.6926535964012146,1.0775470733642578,15.841293334960938,2.3445827937466053,0.0466082174453325
23.0,0.6640161275863647,0.8278880715370178,16.10548973083496,2.3776786987148384,0.02695638651445174
24.0,0.6344180703163147,0.7835255265235901,16.53528594970703,2.4320037968707484,-0.0001501974829003679
25.0,0.5856114625930786,0.6333216428756714,16.8427791595459,2.4689288112338885,-0.01642940091575784
26.0,0.5693234205245972,0.4069249629974365,17.188371658325195,2.507428250798924,-0.03371393747595086
27.0,0.5424119830131531,0.41052255034446716,17.61998176574707,2.5530170526447047,-0.05689202862856394
28.0,0.5382402539253235,0.7363499402999878,17.8623104095459,2.57918159938099,-0.06868193007806216
29.0,0.5124636888504028,0.6645908951759338,18.219600677490234,2.6164682322504142,-0.08948865723532673
30.0,0.5037969946861267,0.561456024646759,18.42388343811035,2.635562914939056,-0.10201836226484391
31.0,0.47779691219329834,0.7019352912902832,18.235332489013672,2.6113033226281246,-0.0913005058209036
32.0,0.46262332797050476,0.982932984828949,18.324481964111328,2.6115986284915294,-0.10061685279965855
33.0,0.45300665497779846,0.7937663197517395,18.14962387084961,2.5915566365270375,-0.09456195976740411
34.0,0.43726566433906555,0.35937774181365967,18.13396453857422,2.591619878567548,-0.09887685863290181
35.0,0.4202919602394104,0.6996917128562927,18.446367263793945,2.625057183689653,-0.12244139090649682
36.0,0.4159681797027588,1.064197063446045,18.412330627441406,2.627254052909537,-0.12206524660654101
37.0,0.4038003385066986,1.0530296564102173,18.66759490966797,2.653069455202462,-0.13683084844020402
38.0,0.39981094002723694,0.7851285934448242,18.62679100036621,2.6524391553949758,-0.13242966117920152
39.0,0.3920583128929138,0.6211534142494202,18.79796028137207,2.6737334200431806,-0.14080411372193455
40.0,0.3907533884048462,0.3483594059944153,18.82526206970215,2.681336579265264,-0.141107881899226
41.0,0.37973150610923767,0.4569108188152313,18.63273048400879,2.6664907267241555,-0.12924270774822422
42.0,0.3782691955566406,0.49124962091445923,18.52935218811035,2.659770808694088,-0.1242051523971341
