epoch,train_task_loss,train_grad_norm,val_task_loss,val_task_mae,val_task_r2
1.0,0.5504730343818665,6.919710636138916,0.3101397752761841,0.44997737656813114,-0.4282356419197634
2.0,0.3940673768520355,4.744891166687012,0.27798935770988464,0.4221698844945058,-0.28481227955531824
3.0,0.28444942831993103,3.9055166244506836,0.21075084805488586,0.35852379065239803,0.025516133409827113
4.0,0.18936015665531158,1.4098302125930786,0.18431735038757324,0.33648252501385284,0.14151185825017581
5.0,0.1630270779132843,2.6071698665618896,0.1611684411764145,0.3162368806195445,0.24371010318658098
6.0,0.13414089381694794,2.0455803871154785,0.1555243283510208,0.3088393426290713,0.26509732316840445
7.0,0.11163059622049332,0.6786700487136841,0.1607021987438202,0.3153917944128625,0.23738339480210216
8.0,0.10877866297960281,1.599279761314392,0.14126141369342804,0.2941897529899143,0.3274926825043461
9.0,0.09627024084329605,1.0439677238464355,0.11699093878269196,0.26799298407277095,0.4415327577757928
10.0,0.08851229399442673,0.7936925888061523,0.11047845333814621,0.2606423575221561,0.47235105895102575
11.0,0.08628588169813156,1.1218539476394653,0.11019288003444672,0.25830171700334176,0.47393962255581823
12.0,0.07972859591245651,0.39891356229782104,0.11707865446805954,0.26740413236198946,0.4415238839499761
13.0,0.07973892986774445,0.7303155064582825,0.11670263856649399,0.267616712001618,0.4433177247729894
14.0,0.07923558354377747,0.8534678816795349,0.10752710700035095,0.2561420365679078,0.486604545865793
15.0,0.07575230300426483,0.28560495376586914,0.10151439160108566,0.2486118224519305,0.5147515826298091
16.0,0.07566974312067032,0.5687980651855469,0.10024665296077728,0.24716265393188222,0.520311648880714
17.0,0.07544444501399994,0.7014681696891785,0.10175719857215881,0.24837593585951254,0.5127449928982305
18.0,0.07317020744085312,0.2871266305446625,0.10597022622823715,0.253306492480915,0.4925302079946287
19.0,0.07278931140899658,0.3949103057384491,0.10737606137990952,0.25521239412715657,0.48578731679365567
20.0,0.07298585772514343,0.5811675190925598,0.10330907255411148,0.24960101693635806,0.505130799509014
21.0,0.07122588157653809,0.2960403859615326,0.09879378229379654,0.2433904286264442,0.5267794849787306
22.0,0.07060258835554123,0.2669770121574402,0.09662056714296341,0.2403351450827904,0.53754700895614
23.0,0.07058316469192505,0.5063988566398621,0.09574943035840988,0.23905760959489272,0.5423222004347522
24.0,0.06960628181695938,0.33485278487205505,0.09642840921878815,0.24047609636327252,0.5398432756824263
25.0,0.0686940923333168,0.12212561815977097,0.097487673163414,0.24248123177560046,0.5355363037277091
26.0,0.06887282431125641,0.3911801874637604,0.0961420014500618,0.24066033256938682,0.5424936448493173
27.0,0.06844354420900345,0.340120404958725,0.09325771033763885,0.23672287917463108,0.5565792199985945
28.0,0.06768260151147842,0.07964163273572922,0.09144306182861328,0.23439749964745715,0.5654465815331882
29.0,0.06771394610404968,0.29203951358795166,0.09116657078266144,0.2342573492298834,0.5669067600119623
30.0,0.0673690214753151,0.32965177297592163,0.09231599420309067,0.23593450078973546,0.561511625971183
31.0,0.0667443573474884,0.101592518389225,0.0945848599076271,0.23923867097822948,0.550698595409766
32.0,0.06641071289777756,0.2141200751066208,0.09583159536123276,0.24122390441363678,0.5445884281289598
33.0,0.06635446846485138,0.288693904876709,0.09506451338529587,0.24007464181398974,0.5478884117312661
34.0,0.06574385613203049,0.11815448850393295,0.09407464414834976,0.2386319890595041,0.5521863540270582
35.0,0.06541023403406143,0.17337985336780548,0.0942317396402359,0.23888452829560264,0.5511044251527158
36.0,0.06534712016582489,0.2609841227531433,0.09565172344446182,0.24091295267222448,0.5441627420803506
37.0,0.0647192969918251,0.09973470866680145,0.09781327843666077,0.24416530890157445,0.5337963120388081
38.0,0.06462575495243073,0.16274461150169373,0.09854388982057571,0.24520210979273543,0.530197877605618
39.0,0.06435925513505936,0.21781012415885925,0.09712493419647217,0.2428821935853921,0.5367298389345704
40.0,0.06384655833244324,0.054810456931591034,0.09567850828170776,0.24064411539351568,0.5433771386542092
41.0,0.0637100413441658,0.1754513531923294,0.09543173760175705,0.240242587167304,0.5444317504280919
42.0,0.06337115168571472,0.1764836311340332,0.09632301330566406,0.24151137339649723,0.5401713849650551
43.0,0.06304620951414108,0.05951325595378876,0.09683696180582047,0.2423357166047208,0.5376209668974695
44.0,0.06284018605947495,0.19228029251098633,0.09543140232563019,0.24038183521246537,0.5440160344722076
45.0,0.06224481761455536,0.08358646184206009,0.09368614107370377,0.2378750471561216,0.5519430634149762
46.0,0.061907995492219925,0.13454970717430115,0.09320052713155746,0.2372717357124202,0.5539764811235506
47.0,0.061398353427648544,0.13117237389087677,0.09387460350990295,0.23847499672090636,0.5505999572522937
48.0,0.06095709651708603,0.07304292172193527,0.094179168343544,0.2390012417896651,0.5489592706684716
49.0,0.06065746769309044,0.1607981026172638,0.09304967522621155,0.23707087527727708,0.554108503077311
