base_experiment,scenario,best_epoch_mean,best_epoch_std,best_val_task_loss_mean,best_val_task_loss_std,total_loss_mean,total_loss_std,task_loss_mean,task_loss_std,recon_loss_mean,recon_loss_std,kstar_mae_mean,kstar_mae_std,kstar_rmse_mean,kstar_rmse_std,kstar_spearman_rho_mean,kstar_spearman_rho_std,kstar_spearman_p_mean,kstar_spearman_p_std,z_spearman_rho_mean,z_spearman_rho_std,z_spearman_p_mean,z_spearman_p_std,proxy_recon_r2_mean,proxy_recon_r2_std,omega_entropy_mean_mean,omega_entropy_mean_std,omega_peak_accuracy_mean,omega_peak_accuracy_std
E1a_linear,linear,198.33333333333334,2.08166599946613,0.10449667771657307,0.026770604372631023,0.037578063706556954,0.006038857319564263,0.033930178731679916,0.005406543216021144,0.003647884742046396,0.000647022039777569,0.9565473024050394,0.2261700014651713,1.1961286661344857,0.24958690756938556,0.9825177212693933,0.001985407643745867,5.793333979485716e-144,5.977766119296615e-144,-0.329430235755894,1.144479509562205,3.883596314121661e-170,0.0,0.9401473860651085,0.007967263375896667,1.8354702863569399,0.08348809379721982,0.5183333333333334,0.12553220038433702
E1b_identification,linear,,,,,,,,,,,,,,,,,,,-0.9898297457436437,,1.1643377233982198e-169,,0.9484321554031075,,,,,
E1c_nonlinear,nonlinear,118.33333333333333,101.86428880296242,0.19649629294872284,0.08910312333751848,0.11001240834593773,0.10660092944317115,0.10577944045265515,0.10549620596186404,0.004232969678317507,0.0011209937061090224,1.8883270730574926,1.6243532498449242,2.1107053671164437,1.8164011166553824,0.3226471538746062,1.092036080048409,9.88978286577326e-94,1.7129548892627845e-93,0.9833275831895798,0.01216445257102984,2.7874515612650753e-123,4.8280077277483015e-123,0.9277433272512431,0.02358174487601902,1.353712753090334,0.16065712593812187,0.36166666666666664,0.2571154085879206
