epoch,train_task_loss,train_grad_norm,val_task_loss,val_task_mae,val_task_r2
1.0,0.4524786174297333,3.9436628818511963,0.34129953384399414,0.4710059465258382,-0.471738050620689
2.0,0.3327924609184265,3.7401483058929443,0.26196470856666565,0.41111794595839457,-0.12292599243953099
3.0,0.236502006649971,1.707411766052246,0.22653545439243317,0.3859657210414298,0.022964043886694326
4.0,0.1959099918603897,2.0750062465667725,0.2074979692697525,0.36949188872473315,0.1024134526196464
5.0,0.16389648616313934,1.443996787071228,0.20196431875228882,0.35829540419159456,0.12522776617205048
6.0,0.1478404551744461,0.7420098781585693,0.2036006897687912,0.35858306716894733,0.1142607100156888
7.0,0.14440518617630005,1.0947178602218628,0.19702884554862976,0.35482848819578067,0.13975845663930206
8.0,0.13596808910369873,0.46802258491516113,0.19339701533317566,0.3530717109120451,0.15380337925393542
9.0,0.13270050287246704,0.8976535797119141,0.18872100114822388,0.34898501727031545,0.17586228328029105
10.0,0.12693646550178528,0.648682177066803,0.18723857402801514,0.34699658418772744,0.18519038285074962
11.0,0.1220666766166687,0.33405277132987976,0.18819591403007507,0.3467694406188093,0.18302957119660865
12.0,0.1200840175151825,0.665810763835907,0.18477877974510193,0.34383229275001215,0.19918612760987003
13.0,0.11614155769348145,0.4623507559299469,0.1798430234193802,0.3398265111609362,0.2211343462643148
14.0,0.11265207082033157,0.20158624649047852,0.17710717022418976,0.33728278751252216,0.23326111873962435
15.0,0.1109447181224823,0.5062254667282104,0.17549583315849304,0.3351070244680159,0.24143387547642706
16.0,0.10755734890699387,0.36029037833213806,0.17523570358753204,0.3341525062150322,0.24419690604746794
17.0,0.10437799990177155,0.26032817363739014,0.17427463829517365,0.33270864037564024,0.24948507872108538
18.0,0.10166866332292557,0.5573638081550598,0.16803674399852753,0.326660308369901,0.27690901658784833
19.0,0.09746648371219635,0.30871298909187317,0.1608228087425232,0.3198375109839253,0.30744269648015143
20.0,0.094838447868824,0.3631567358970642,0.15573707222938538,0.31419835206819696,0.32944300541137905
21.0,0.09263169020414352,0.4497712552547455,0.15257824957370758,0.3100295941182412,0.34455536924466046
22.0,0.09048328548669815,0.31732651591300964,0.14768436551094055,0.3042229271424003,0.3659950647174854
23.0,0.08740613609552383,0.29353994131088257,0.1420036405324936,0.29796968657756223,0.3898888815511258
24.0,0.0844469740986824,0.3824213445186615,0.13975180685520172,0.29472920110682027,0.40050537947009
25.0,0.08140499889850616,0.25982147455215454,0.1402556598186493,0.2944852874870412,0.399777022515463
26.0,0.07925157994031906,0.35200193524360657,0.138496533036232,0.29305277445120737,0.40763899675673054
27.0,0.07658252865076065,0.21393351256847382,0.13640758395195007,0.291360492866952,0.41600555210474477
28.0,0.07494695484638214,0.30145594477653503,0.13558265566825867,0.2901974084950052,0.41979380375232855
29.0,0.07250507175922394,0.16945040225982666,0.13569429516792297,0.28942627339391036,0.4196114296826229
30.0,0.07110900431871414,0.3532354533672333,0.1332351267337799,0.2863108925591223,0.42915673331292253
31.0,0.06856968998908997,0.12410158663988113,0.13183388113975525,0.2846144311851822,0.4332542541912132
32.0,0.0673573687672615,0.3503228425979614,0.13234291970729828,0.28460098896874114,0.4309256803737808
33.0,0.06586068123579025,0.13199128210544586,0.13375341892242432,0.2861429693340324,0.4243572748733076
34.0,0.06516768038272858,0.265238881111145,0.13418813049793243,0.2859006732911803,0.4210345331905538
35.0,0.06425473093986511,0.24002249538898468,0.13576596975326538,0.2878999599558301,0.41449173507363846
36.0,0.06325263530015945,0.1553318351507187,0.13783007860183716,0.2903893856867217,0.40689104310273977
37.0,0.06243031844496727,0.20990774035453796,0.13819076120853424,0.2906194457761012,0.4055547358098354
38.0,0.06145419552922249,0.08428038656711578,0.13833564519882202,0.29041000473080203,0.40513353388016055
39.0,0.06036894768476486,0.19447483122348785,0.13874149322509766,0.2906545947655104,0.40452813478030897
40.0,0.05955389514565468,0.0957326665520668,0.13881421089172363,0.2904016824881546,0.40445661482546214
41.0,0.05890451744198799,0.20741006731987,0.1377706080675125,0.2890750502957962,0.4077478748239122
42.0,0.05799218639731407,0.11726094782352448,0.13743966817855835,0.28904514099238443,0.40859574008458094
43.0,0.05702918395400047,0.09915108233690262,0.137473464012146,0.2894850523560308,0.40857006828901365
44.0,0.056454360485076904,0.1503380835056305,0.13661369681358337,0.2887103729578666,0.41167306654460745
45.0,0.05580834671854973,0.07720405608415604,0.13578884303569794,0.28788134570000695,0.4148202519091127
46.0,0.05514330789446831,0.12939845025539398,0.13551835715770721,0.2874349499982782,0.4165401403664168
47.0,0.05403541028499603,0.07894336432218552,0.13530421257019043,0.2869680208270438,0.41733492161586805
48.0,0.05354272201657295,0.0976831316947937,0.13507650792598724,0.2867717158491723,0.41755764223946645
49.0,0.05272688716650009,0.09777479618787766,0.13533495366573334,0.2869924435135908,0.4162306236019206
50.0,0.05214739590883255,0.04176047816872597,0.13588066399097443,0.28768635033862666,0.41371962584606725
51.0,0.05122401565313339,0.11730536073446274,0.13610896468162537,0.28789696417050437,0.41174418712828775
