method,stratifier,n_seeds_total,n_seeds_valid,rho_mean,rho_median,abs_rho_mean,share_seeds_p_lt_05,share_seeds_p_lt_01,fisher_combined_p
AC-GATE Original,hc_mean_train,20,20,-0.14165191098307556,-0.2958646770879847,0.3705994647853369,0.8,0.75,1.0097785084638574e-46
AC-GATE Original,log_capital_per_worker_train,20,20,-0.0993471305743811,-0.1352101017928217,0.2567913910794708,0.65,0.5,1.3827876299118313e-24
AC-GATE Original,log_gdp_per_worker_train,20,20,-0.10946302199052618,-0.1460938325525695,0.27826827717702896,0.7,0.55,3.494822716844449e-37
AC-GATE Proxy Shuffled,hc_mean_train,20,20,-0.004915290056708113,-0.010734035433764224,0.06688915501391288,0.0,0.0,0.9365659014471172
AC-GATE Proxy Shuffled,log_capital_per_worker_train,20,20,0.0036745799725265045,0.005415448557641507,0.050902574759606925,0.0,0.0,0.9957765605888939
AC-GATE Proxy Shuffled,log_gdp_per_worker_train,20,20,-0.007037441442710718,-0.0016554541932302502,0.054839561832975246,0.0,0.0,0.9915229684432151
