domain,stratifier,n_pairs,original_abs_rho_mean,proxy_shuffled_abs_rho_mean,delta_abs_rho_mean,delta_abs_rho_ci_low,delta_abs_rho_ci_high,paired_wilcoxon_original_gt_proxy_p,original_seed_p_lt_05_share,proxy_shuffled_seed_p_lt_05_share,original_fisher_p,proxy_shuffled_fisher_p,original_kstar_std_mean,proxy_shuffled_kstar_std_mean,original_test_r2_mean,proxy_shuffled_test_r2_mean,delta_test_r2_mean
economics,hc_mean_train,20,0.3705994647853369,0.06688915501391288,0.303710309771424,0.2209499813181109,0.3872230426797401,1.9073486328125e-06,0.8,0.0,1.0097785084638574e-46,0.9365659014471172,0.16824748353058888,0.18387880853964786,0.05414579722609828,0.05496339770253082,-0.000817600476432543
economics,log_capital_per_worker_train,20,0.2567913910794708,0.050902574759606925,0.20588881631986386,0.1544161978984123,0.25956281126180214,9.5367431640625e-07,0.65,0.0,1.3827876299118313e-24,0.9957765605888939,0.16824748353058888,0.18387880853964786,0.05414579722609828,0.05496339770253082,-0.000817600476432543
economics,log_gdp_per_worker_train,20,0.27826827717702896,0.054839561832975246,0.22342871534405373,0.16825498367205544,0.28159121432495166,4.76837158203125e-06,0.7,0.0,3.494822716844449e-37,0.9915229684432151,0.16824748353058888,0.18387880853964786,0.05414579722609828,0.05496339770253082,-0.000817600476432543
energy,government_effectiveness_train,20,0.7155277720207219,0.08635923931798348,0.6291685327027382,0.49757111214141114,0.7470458407699605,1.9073486328125e-06,0.9,0.1,9.0340168721252e-77,0.6006018663365336,0.10861020868356056,0.0732451988886946,-0.028567153527486667,-0.028023539644205266,-0.0005436138832814019
energy,log_gdp_per_capita_train,20,0.6087509482353205,0.07911459255387258,0.5296363556814481,0.4238367000011082,0.6241545531163459,9.5367431640625e-07,0.9,0.05,1.4522589463042203e-77,0.7522985518019001,0.10861020868356056,0.0732451988886946,-0.028567153527486667,-0.028023539644205266,-0.0005436138832814019
energy,rule_of_law_train,20,0.7346915120736472,0.09706373715518317,0.637627774918464,0.5232175564514141,0.7397075614522413,9.5367431640625e-07,0.95,0.05,1.788747239368012e-79,0.38743950420255485,0.10861020868356056,0.0732451988886946,-0.028567153527486667,-0.028023539644205266,-0.0005436138832814019
