method,stratifier,n_seeds_total,n_seeds_valid,rho_mean,rho_median,abs_rho_mean,share_seeds_p_lt_05,share_seeds_p_lt_01,fisher_combined_p
AC-GATE Original,government_effectiveness_train,20,20,0.014916467284276974,0.12911139493417972,0.7155277720207219,0.9,0.85,9.0340168721252e-77
AC-GATE Original,log_gdp_per_capita_train,20,20,0.011460485900164224,0.18515661553636237,0.6087509482353205,0.9,0.85,1.4522589463042203e-77
AC-GATE Original,rule_of_law_train,20,20,0.02103251073898315,0.23686440142136345,0.7346915120736472,0.95,0.9,1.788747239368012e-79
AC-GATE Proxy Shuffled,government_effectiveness_train,20,20,0.016123146297080327,-0.0026682178580912765,0.08635923931798348,0.1,0.0,0.6006018663365336
AC-GATE Proxy Shuffled,log_gdp_per_capita_train,20,20,0.021167476378908315,-0.006461892537841905,0.07911459255387258,0.05,0.0,0.7522985518019001
AC-GATE Proxy Shuffled,rule_of_law_train,20,20,0.012903593501368646,-0.019651234841108256,0.09706373715518317,0.05,0.0,0.38743950420255485
