variant,treatment_column,target_column,effective_lambda_r_mean,effective_lambda_r_std,matched_init_to_full_cmdl_mean,matched_init_to_full_cmdl_std,best_epoch_mean,best_epoch_std,best_val_task_loss_mean,best_val_task_loss_std,proxy_refit_applied_mean,proxy_refit_applied_std,proxy_metric_interpretable_mean,proxy_metric_interpretable_std,train_total_loss_mean,train_total_loss_std,train_task_loss_mean,train_task_loss_std,train_recon_loss_mean,train_recon_loss_std,train_mse_mean,train_mse_std,train_mae_mean,train_mae_std,train_r2_mean,train_r2_std,train_proxy_recon_r2_mean,train_proxy_recon_r2_std,train_proxy_metric_valid_mean,train_proxy_metric_valid_std,train_kstar_proxy_spearman_rho_mean,train_kstar_proxy_spearman_rho_std,train_kstar_proxy_spearman_p_mean,train_kstar_proxy_spearman_p_std,train_kstar_mean_mean,train_kstar_mean_std,train_kstar_std_mean,train_kstar_std_std,train_kstar_proxy_metric_valid_mean,train_kstar_proxy_metric_valid_std,train_omega_entropy_mean_mean,train_omega_entropy_mean_std,val_total_loss_mean,val_total_loss_std,val_task_loss_mean,val_task_loss_std,val_recon_loss_mean,val_recon_loss_std,val_mse_mean,val_mse_std,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,val_proxy_recon_r2_mean,val_proxy_recon_r2_std,val_proxy_metric_valid_mean,val_proxy_metric_valid_std,val_kstar_proxy_spearman_rho_mean,val_kstar_proxy_spearman_rho_std,val_kstar_proxy_spearman_p_mean,val_kstar_proxy_spearman_p_std,val_kstar_mean_mean,val_kstar_mean_std,val_kstar_std_mean,val_kstar_std_std,val_kstar_proxy_metric_valid_mean,val_kstar_proxy_metric_valid_std,val_omega_entropy_mean_mean,val_omega_entropy_mean_std,test_total_loss_mean,test_total_loss_std,test_task_loss_mean,test_task_loss_std,test_recon_loss_mean,test_recon_loss_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std,test_proxy_recon_r2_mean,test_proxy_recon_r2_std,test_proxy_metric_valid_mean,test_proxy_metric_valid_std,test_kstar_proxy_spearman_rho_mean,test_kstar_proxy_spearman_rho_std,test_kstar_proxy_spearman_p_mean,test_kstar_proxy_spearman_p_std,test_kstar_mean_mean,test_kstar_mean_std,test_kstar_std_mean,test_kstar_std_std,test_kstar_proxy_metric_valid_mean,test_kstar_proxy_metric_valid_std,test_omega_entropy_mean_mean,test_omega_entropy_mean_std
no_ac_encoder,renewables_share_energy,co2_per_unit_energy,0.0,,0.0,,15.0,,13.791987419128418,,0.0,,0.0,,0.5930119156837463,,0.5930119156837463,,1.440144419670105,,0.5930119022401191,,0.592285698108598,,0.4559230433501162,,,,0.0,,,,,,3.492619514465332,,0.0,,0.0,,1.717545509338379,,13.791987419128418,,13.791987419128418,,1.440144419670105,,13.791986239938847,,1.9673406110865534,,0.21580495137869748,,,,0.0,,,,,,3.492619514465332,,0.0,,0.0,,1.717545509338379,,24173.0625,,24173.0625,,1.440144419670105,,24173.059528783895,,16.552313984950814,,-0.018752371823882712,,,,0.0,,,,,,3.492619514465332,,0.0,,0.0,,1.717545509338379,
no_recon_regularization,renewables_share_energy,co2_per_unit_energy,0.0,,1.0,,20.0,,14.245144844055176,,1.0,,1.0,,0.565544068813324,,0.565544068813324,,0.5350107550621033,,0.5655440343501075,,0.5790793696123884,,0.48025489430538654,,0.4649892933492266,,1.0,,-0.6631722707672075,,3.704762722250046e-11,,4.731954574584961,,0.06184504181146622,,1.0,,1.886400818824768,,14.245144844055176,,14.245144844055176,,0.5350107550621033,,14.2451436313964,,2.0359942467115086,,0.1666395610106906,,0.4649892933492266,,1.0,,-0.6631722707672075,,3.704762722250046e-11,,4.731954574584961,,0.06184504181146622,,1.0,,1.886400818824768,,24185.8203125,,24185.8203125,,0.5350107550621033,,24185.81888396687,,16.694616209411134,,-0.026533306724202732,,0.4649892933492266,,1.0,,-0.6631722707672075,,3.704762722250046e-11,,4.731954574584961,,0.06184504181146622,,1.0,,1.886400818824768,
uniform_lag,renewables_share_energy,co2_per_unit_energy,0.1,,0.0,,20.0,,14.200980186462402,,1.0,,1.0,,0.5725336670875549,,0.5591996908187866,,0.1333397775888443,,0.5591995987887621,,0.57050622229536,,0.48711124839738407,,0.8666602138614058,,1.0,,,,,,5.5,,0.0,,0.0,,2.3025851249694824,,14.214314460754395,,14.200980186462402,,0.1333397775888443,,14.200979399018,,2.064890867184736,,0.1593666871455506,,0.8666602138614058,,1.0,,,,,,5.5,,0.0,,0.0,,2.3025851249694824,,24180.65234375,,24180.638671875,,0.1333397775888443,,24180.637765120297,,16.739663560267807,,-0.0244605899912043,,0.8666602138614058,,1.0,,,,,,5.5,,0.0,,0.0,,2.3025851249694824,
