family,display_name,experiment,model,variant,lag_method,tracking_backend,device,domain,scenario,seed,target_column,feature_bundle,seq_feature_names,proxy_feature_names,static_feature_names,source_path,stats_end_year,year_start,year_end,train_end_year,val_end_year,train_year_start,train_year_end,val_year_start,val_year_end,test_year_start,test_year_end,n_entities,full_seq_length,max_lag,d_model,seq_features,n_proxies,static_dim,lambda_r,effective_lambda_r,temperature,lag_bias_strength,lstm_layers,dropout,noise_std,best_epoch,best_val_task_loss,matched_init_to_full_cmdl,causal_ablation_validity,proxy_refit_status,proxy_refit_applied,proxy_metric_interpretable,proxy_refit_reason,proxy_design_rank,proxy_design_columns,proxy_latent_std,proxy_target_std,run_dir,output_root,train_total_loss,train_task_loss,train_recon_loss,train_mse,train_mae,train_r2,train_proxy_recon_r2,train_proxy_metric_valid,train_kstar_proxy_spearman_rho,train_kstar_proxy_spearman_p,train_kstar_mean,train_kstar_std,train_kstar_proxy_metric_valid,train_omega_entropy_mean,train_proxy_signal_r2,train_proxy_signal_metric_valid,train_effective_kstar_proxy_spearman_rho,train_effective_kstar_proxy_spearman_p,train_effective_kstar_mean,train_effective_kstar_std,train_effective_lag_entropy_mean,train_effective_kstar_proxy_metric_valid,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean,val_proxy_signal_r2,val_proxy_signal_metric_valid,val_effective_kstar_proxy_spearman_rho,val_effective_kstar_proxy_spearman_p,val_effective_kstar_mean,val_effective_kstar_std,val_effective_lag_entropy_mean,val_effective_kstar_proxy_metric_valid,test_total_loss,test_task_loss,test_recon_loss,test_mse,test_mae,test_r2,test_proxy_recon_r2,test_proxy_metric_valid,test_kstar_proxy_spearman_rho,test_kstar_proxy_spearman_p,test_kstar_mean,test_kstar_std,test_kstar_proxy_metric_valid,test_omega_entropy_mean,test_proxy_signal_r2,test_proxy_signal_metric_valid,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_p,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_kstar_proxy_metric_valid,train_posthoc_kstar_proxy_spearman_rho,train_posthoc_kstar_proxy_spearman_p,train_posthoc_kstar_mean,train_posthoc_kstar_std,train_lag_profile_entropy_mean,val_posthoc_kstar_proxy_spearman_rho,val_posthoc_kstar_proxy_spearman_p,val_posthoc_kstar_mean,val_posthoc_kstar_std,val_lag_profile_entropy_mean,test_posthoc_kstar_proxy_spearman_rho,test_posthoc_kstar_proxy_spearman_p,test_posthoc_kstar_mean,test_posthoc_kstar_std,test_lag_profile_entropy_mean
ablation,No AC Encoder,E3_energy_ablation_no_ac_encoder_seed0,cmdl_ablation,no_ac_encoder,learned_omega,json,cuda,energy,linear,0,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.0,1.0,1.0,2,0.05,0.1,15,13.791987419128418,False,architecture_changed,skipped_rank_deficient,False,False,rank_deficient_design,1.0,2.0,0.0,1.000000003822209,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\ablation\E3_energy_ablation_no_ac_encoder_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\ablation,0.5930119156837463,0.5930119156837463,1.440144419670105,0.5930119022401191,0.592285698108598,0.4559230433501162,,0.0,,,3.492619514465332,0.0,0.0,1.717545509338379,,False,,,3.492619514465332,0.0,1.717545509338379,False,13.791987419128418,13.791987419128418,1.440144419670105,13.791986239938847,1.9673406110865534,0.21580495137869748,,0.0,,,3.492619514465332,0.0,0.0,1.717545509338379,,False,,,3.492619514465332,0.0,1.717545509338379,False,24173.0625,24173.0625,1.440144419670105,24173.059528783895,16.552313984950814,-0.018752371823882712,,0.0,,,3.492619514465332,0.0,0.0,1.717545509338379,,False,,,3.492619514465332,0.0,1.717545509338379,False,,,,,,,,,,,,,,,
ablation,No Recon Regularization,E3_energy_ablation_no_recon_regularization_seed0,cmdl_ablation,no_recon_regularization,learned_omega,json,cuda,energy,linear,0,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.0,1.0,1.0,2,0.05,0.1,20,14.245144844055176,True,matched_init_effective_lambda_only,applied_ols,True,True,,2.0,2.0,0.09560163944172878,1.000000003822209,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\ablation\E3_energy_ablation_no_recon_regularization_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\ablation,0.565544068813324,0.565544068813324,0.5350107550621033,0.5655440343501075,0.5790793696123884,0.48025489430538654,0.4649892933492266,1.0,-0.6631722707672075,3.704762722250046e-11,4.731954574584961,0.06184504181146622,1.0,1.886400818824768,0.4649892933492266,True,-0.6631722707672075,3.704762722250046e-11,4.731954574584961,0.06184504181146622,1.886400818824768,True,14.245144844055176,14.245144844055176,0.5350107550621033,14.2451436313964,2.0359942467115086,0.1666395610106906,0.4649892933492266,1.0,-0.6631722707672075,3.704762722250046e-11,4.731954574584961,0.06184504181146622,1.0,1.886400818824768,0.4649892933492266,True,-0.6631722707672075,3.704762722250046e-11,4.731954574584961,0.06184504181146622,1.886400818824768,True,24185.8203125,24185.8203125,0.5350107550621033,24185.81888396687,16.694616209411134,-0.026533306724202732,0.4649892933492266,1.0,-0.6631722707672075,3.704762722250046e-11,4.731954574584961,0.06184504181146622,1.0,1.886400818824768,0.4649892933492266,True,-0.6631722707672075,3.704762722250046e-11,4.731954574584961,0.06184504181146622,1.886400818824768,True,,,,,,,,,,,,,,,
ablation,Uniform Lag,E3_energy_ablation_uniform_lag_seed0,cmdl_ablation,uniform_lag,learned_omega,json,cuda,energy,linear,0,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,20,14.200980186462402,False,architecture_changed,applied_ols,True,True,,2.0,2.0,0.281513122256624,1.000000003822209,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\ablation\E3_energy_ablation_uniform_lag_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\ablation,0.5725336670875549,0.5591996908187866,0.1333397775888443,0.5591995987887621,0.57050622229536,0.48711124839738407,0.8666602138614058,1.0,,,5.5,0.0,0.0,2.3025851249694824,0.8666602138614058,True,,,5.5,0.0,2.3025851249694824,False,14.214314460754395,14.200980186462402,0.1333397775888443,14.200979399018,2.064890867184736,0.1593666871455506,0.8666602138614058,1.0,,,5.5,0.0,0.0,2.3025851249694824,0.8666602138614058,True,,,5.5,0.0,2.3025851249694824,False,24180.65234375,24180.638671875,0.1333397775888443,24180.637765120297,16.739663560267807,-0.0244605899912043,0.8666602138614058,1.0,,,5.5,0.0,0.0,2.3025851249694824,0.8666602138614058,True,,,5.5,0.0,2.3025851249694824,False,,,,,,,,,,,,,,,
cmdl,CMDL,E3_energy_cmdl_seed0,cmdl,,learned_omega,json,cuda,energy,linear,0,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,20,14.245157241821289,,,applied_ols,True,True,,2.0,2.0,0.09559423378325953,1.000000003822209,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\cmdl\E3_energy_cmdl_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\cmdl,0.6190511584281921,0.5655463337898254,0.5350481867790222,0.5655462661466399,0.5790794969409003,0.4802547247454593,0.4649518805390411,1.0,-0.6631722707672075,3.704762722250046e-11,4.731987953186035,0.06183774024248123,1.0,1.8864023685455322,0.4649518805390411,True,-0.6631722707672075,3.704762722250046e-11,4.731987953186035,0.06183774024248123,1.8864023685455322,True,14.298662185668945,14.245157241821289,0.5350481867790222,14.245157264676976,2.0359992512251037,0.16663918493773586,0.4649518805390411,1.0,-0.6631722707672075,3.704762722250046e-11,4.731987953186035,0.06183774024248123,1.0,1.8864023685455322,0.4649518805390411,True,-0.6631722707672075,3.704762722250046e-11,4.731987953186035,0.06183774024248123,1.8864023685455322,True,24185.873046875,24185.8203125,0.5350481867790222,24185.8184047654,16.69462187177279,-0.026533245941146772,0.4649518805390411,1.0,-0.6631722707672075,3.704762722250046e-11,4.731987953186035,0.06183774024248123,1.0,1.8864023685455322,0.4649518805390411,True,-0.6631722707672075,3.704762722250046e-11,4.731987953186035,0.06183774024248123,1.8864023685455322,True,,,,,,,,,,,,,,,
cmdl,CMDL,E3_energy_cmdl_seed1,cmdl,,learned_omega,json,cuda,energy,linear,1,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,21,13.996672630310059,,,applied_ols,True,True,,2.0,2.0,0.1552912126663271,1.000000003822209,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\cmdl\E3_energy_cmdl_seed1,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\cmdl,0.5338585376739502,0.5146719813346863,0.19186539947986603,0.514671923159257,0.5397707142262186,0.5242109271261421,0.8081346282876231,1.0,0.877439016679523,5.86307915032363e-26,3.7946667671203613,0.11216326802968979,1.0,1.886324405670166,0.8081346282876231,True,0.877439016679523,5.86307915032363e-26,3.7946667671203613,0.11216326802968979,1.886324405670166,True,14.015859603881836,13.996672630310059,0.19186539947986603,13.996671306905668,2.0453069773044947,0.18620908545828527,0.8081346282876231,1.0,0.877439016679523,5.86307915032363e-26,3.7946667671203613,0.11216326802968979,1.0,1.886324405670166,0.8081346282876231,True,0.877439016679523,5.86307915032363e-26,3.7946667671203613,0.11216326802968979,1.886324405670166,True,24180.15625,24180.13671875,0.19186539947986603,24180.133730314352,16.774848719905567,-0.024177986134401325,0.8081346282876231,1.0,0.877439016679523,5.86307915032363e-26,3.7946667671203613,0.11216326802968979,1.0,1.886324405670166,0.8081346282876231,True,0.877439016679523,5.86307915032363e-26,3.7946667671203613,0.11216326802968979,1.886324405670166,True,,,,,,,,,,,,,,,
cmdl,CMDL,E3_energy_cmdl_seed2,cmdl,,learned_omega,json,cuda,energy,linear,2,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,23,14.601487159729004,,,applied_ols,True,True,,2.0,2.0,0.0930107852059801,1.000000003822209,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\cmdl\E3_energy_cmdl_seed2,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\cmdl,0.46072402596473694,0.4436245262622833,0.17099495232105255,0.44362454209185215,0.4971480884541495,0.6032218281383805,0.8290050608447794,1.0,-0.9192200204858433,1.7058960126236777e-32,4.367868423461914,0.14358574151992798,1.0,1.739562749862671,0.8290050608447794,True,-0.9192200204858433,1.7058960126236777e-32,4.367868423461914,0.14358574151992798,1.739562749862671,True,14.618586540222168,14.601487159729004,0.17099495232105255,14.601486747198173,2.1616203902850453,0.13188697633937263,0.8290050608447794,1.0,-0.9192200204858433,1.7058960126236777e-32,4.367868423461914,0.14358574151992798,1.0,1.739562749862671,0.8290050608447794,True,-0.9192200204858433,1.7058960126236777e-32,4.367868423461914,0.14358574151992798,1.739562749862671,True,24183.95703125,24183.939453125,0.17099495232105255,24183.9377870247,17.018583071137517,-0.03400338400733394,0.8290050608447794,1.0,-0.9192200204858433,1.7058960126236777e-32,4.367868423461914,0.14358574151992798,1.0,1.739562749862671,0.8290050608447794,True,-0.9192200204858433,1.7058960126236777e-32,4.367868423461914,0.14358574151992798,1.739562749862671,True,,,,,,,,,,,,,,,
plain_lstm,Plain LSTM,E3_energy_lstm_seed0,plain_lstm,,lag_occlusion,json,cuda,energy,linear,0,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,20,14.458306312561035,,,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\plain_lstm\E3_energy_lstm_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\plain_lstm,,0.5534882545471191,,0.5534882376831443,0.5624303186479478,0.4864054117939823,,,,,,,1.0,,,,0.07649934775666757,0.5056077147766708,5.6022868156433105,2.3029613494873047,1.594855546951294,True,,14.458306312561035,,14.458304978262051,2.103741029673455,0.13970056963734098,,,,,,,1.0,,,,-0.003991803367158291,0.9723304500625227,5.285268783569336,2.276656150817871,1.6810367107391357,True,,24186.49609375,,24186.494681613876,16.88366692401588,-0.03246319255543051,,,,,,,1.0,,,,-0.017146967620939136,0.8815505850903858,5.45845365524292,1.3046740293502808,2.103978157043457,True,0.07649934775666757,0.5056077147766708,5.6022868156433105,2.3029613494873047,1.594855546951294,-0.003991803367158291,0.9723304500625227,5.285268783569336,2.276656150817871,1.6810367107391357,-0.017146967620939136,0.8815505850903858,5.45845365524292,1.3046740293502808,2.103978157043457
plain_lstm,Plain LSTM,E3_energy_lstm_seed1,plain_lstm,,lag_occlusion,json,cuda,energy,linear,1,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,27,14.483810424804688,,,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\plain_lstm\E3_energy_lstm_seed1,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\plain_lstm,,0.44278234243392944,,0.4427823141112796,0.4975560121198431,0.6025853460417302,,,,,,,1.0,,,,0.1416434383925747,0.21608268772285458,5.727537631988525,2.11881685256958,1.6800801753997803,True,,14.483810424804688,,14.483809409459926,2.1803470568265766,0.11778918170164919,,,,,,,1.0,,,,-0.22018960529983367,0.052731740601763506,6.50022554397583,2.3174283504486084,1.521449089050293,True,,24183.93359375,,24183.932358156748,17.040018666052045,-0.03110201977340643,,,,,,,1.0,,,,-0.20170300279636233,0.07658037040340965,5.6290812492370605,1.611143946647644,1.985951542854309,True,0.1416434383925747,0.21608268772285458,5.727537631988525,2.11881685256958,1.6800801753997803,-0.22018960529983367,0.052731740601763506,6.50022554397583,2.3174283504486084,1.521449089050293,-0.20170300279636233,0.07658037040340965,5.6290812492370605,1.611143946647644,1.985951542854309
plain_lstm,Plain LSTM,E3_energy_lstm_seed2,plain_lstm,,lag_occlusion,json,cuda,energy,linear,2,co2_per_unit_energy,minimal,x_t,"proxy_government_effectiveness,proxy_regulatory_quality,proxy_rule_of_law","static_log_population,static_log_gdp_per_capita",C:\DevSpace\PyDevspace\CMDL\data\energy\raw\energy_wgi_merged.csv,2011,1996,2023,2011,2017,1996,2011,2002,2017,2008,2023,78,28,10,64,1,3,2,0.1,0.1,1.0,1.0,2,0.05,0.1,25,14.848111152648926,,,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\plain_lstm\E3_energy_lstm_seed2,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_energy\formal_target\plain_lstm,,0.5280920267105103,,0.5280920058508078,0.5577019519315889,0.5120312657930907,,,,,,,1.0,,,,0.04935664398115327,0.6678285942258466,5.406285762786865,1.9868035316467285,1.7688055038452148,True,,14.848111152648926,,14.848110050186625,2.166135043023218,0.11534174544371394,,,,,,,1.0,,,,-0.033625778283017084,0.7700856998684577,6.667280197143555,2.3838913440704346,1.4690055847167969,True,,24212.287109375,,24212.288915379777,17.023568209481592,-0.03559715471743963,,,,,,,1.0,,,,0.03936654150242589,0.7322039145037916,5.457396030426025,1.1543892621994019,2.151947498321533,True,0.04935664398115327,0.6678285942258466,5.406285762786865,1.9868035316467285,1.7688055038452148,-0.033625778283017084,0.7700856998684577,6.667280197143555,2.3838913440704346,1.4690055847167969,0.03936654150242589,0.7322039145037916,5.457396030426025,1.1543892621994019,2.151947498321533
