display_name,family,variant,seed,test_r2,test_baseline_grouped_ardl_r2,test_r2_delta_vs_grouped_ardl,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_std,test_effective_lag_entropy_mean,test_lag_gate_sensitivity_range,test_proxy_signal_r2
No AC Encoder,ablation,no_ac_encoder,0,-0.018752371823882712,0.6070779775073337,-0.6258303493312164,,,0.0,1.717545699727793,0.0,
No AC Encoder,ablation,no_ac_encoder,1,-0.01884508543630518,0.6070779775073337,-0.6259230629436389,,,0.0,1.8907142746527592,0.0,
No AC Encoder,ablation,no_ac_encoder,2,-0.017403600705974537,0.6070779775073337,-0.6244815782133083,,,0.0,1.8349613735279486,0.0,
No Recon Regularization,ablation,no_recon_regularization,0,-0.02653331806706675,0.6070779775073337,-0.6336112955744004,0.644153315039391,0.6631722707672075,0.061844869659410606,1.8864008463434128,0.18298053741455078,0.46498785396579906
No Recon Regularization,ablation,no_recon_regularization,1,-0.024178230610183465,0.6070779775073337,-0.6312562081175171,-0.8708886050658202,-0.877439016679523,0.11218621735722902,1.8863314850281527,0.27326273918151855,0.8081402841690751
No Recon Regularization,ablation,no_recon_regularization,2,-0.034001911538138474,0.6070779775073337,-0.6410798890454722,0.8706862757495668,0.9192200204858433,0.1435961594174682,1.7395339620744426,0.39516401290893555,0.8290142926877162
Uniform Lag,ablation,uniform_lag,0,-0.024460588838157937,0.6070779775073337,-0.6315385663454917,,,0.0,2.3025851124040755,1.4720401763916016,0.8666601827399801
Uniform Lag,ablation,uniform_lag,1,-0.029635807421809712,0.6070779775073337,-0.6367137849291434,,,0.0,2.3025851124040755,0.33632326126098633,0.8771912900111505
Uniform Lag,ablation,uniform_lag,2,-0.02279190534226046,0.6070779775073337,-0.6298698828495942,,,0.0,2.3025851124040755,1.4205937385559082,0.7450400863563807
CMDL,cmdl,,0,-0.026533244322158533,0.6070779775073337,-0.6336112218294923,0.644153315039391,0.6631722707672075,0.06183773333426115,1.8864024508542627,0.18296337127685547,0.4649512223617757
CMDL,cmdl,,1,-0.024177986134401325,0.6070779775073337,-0.6312559636417351,-0.8708886050658202,-0.877439016679523,0.11216327410343822,1.8863243040078732,0.2732088565826416,0.8081346282876231
CMDL,cmdl,,2,-0.03400301214948365,0.6070779775073337,-0.6410809896568174,0.8706862757495668,0.9192200204858433,0.14358600315068207,1.7395633890749649,0.3951401710510254,0.8290050613052348
Plain LSTM,plain_lstm,,0,-0.03246319255543051,0.6070779775073337,-0.6395411700627642,0.021377844079971904,0.017146967620939136,1.3046741596049602,2.1039781969288276,,
Plain LSTM,plain_lstm,,1,-0.03110201977340643,0.6070779775073337,-0.6381799972807402,0.2063126277108422,0.20170300279636233,1.611143799778682,1.9859515826615353,,
Plain LSTM,plain_lstm,,2,-0.03559715471743963,0.6070779775073337,-0.6426751322247733,-0.06297675026858672,-0.03936654150242589,1.1543892719885351,2.1519476355328275,,
