display_name,family,variant,target_column,feature_bundle,anchor_proxy_name,anchor_expected_sign,n_seeds,test_r2_mean,test_r2_std,test_r2_delta_vs_persistence_mean,test_r2_delta_vs_persistence_std,test_r2_delta_vs_panel_ols_mean,test_r2_delta_vs_panel_ols_std,test_r2_delta_vs_grouped_ardl_mean,test_r2_delta_vs_grouped_ardl_std,test_effective_kstar_proxy_spearman_adjusted_rho_mean,test_effective_kstar_proxy_spearman_adjusted_rho_std,test_effective_kstar_proxy_mean_spearman_adjusted_rho_mean,test_effective_kstar_proxy_mean_spearman_adjusted_rho_std,test_effective_kstar_std_mean,test_effective_kstar_std_std,test_effective_lag_entropy_mean_mean,test_effective_lag_entropy_mean_std,test_effective_lag_top1_share_mean,test_effective_lag_top1_share_std,test_z_std_mean,test_z_std_std,test_z_proxy_spearman_adjusted_rho_mean,test_z_proxy_spearman_adjusted_rho_std,test_z_anchor_adjusted_rho_mean,test_z_anchor_adjusted_rho_std,test_omega_entropy_penalty_mean,test_omega_entropy_penalty_std,test_omega_entropy_band_violation_share_mean,test_omega_entropy_band_violation_share_std,test_z_anchor_loss_mean,test_z_anchor_loss_std,test_lag_gate_sensitivity_range_mean,test_lag_gate_sensitivity_range_std,test_proxy_signal_r2_mean,test_proxy_signal_r2_std,test_effective_kstar_proxy_spearman_adjusted_rho_positive_share,test_effective_kstar_proxy_mean_spearman_adjusted_rho_positive_share,test_z_proxy_spearman_adjusted_rho_positive_share,test_z_anchor_adjusted_rho_positive_share,mechanism_positive_seed_share
CMDL,cmdl,,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,-0.028238080868681167,0.005129584270389807,-0.7870771359960576,0.005129584270389781,-0.6610979083289454,0.005129584270389781,-0.6353160583760149,0.005129584270389781,0.21465032857437918,0.9469030456749811,0.23498442485784263,0.9718562380801863,0.10586233686279382,0.04123677075229696,1.8374300479790335,0.0847550218011676,0.923076923076923,0.13323467750529827,0.11463204274058376,0.03523555716351597,0.3658071885919987,0.8746514588142043,0.3658071885919987,0.8746514588142043,0.0,0.0,0.0,0.0,0.0,0.0,0.2837707996368408,0.10648199177049684,0.7006969706515446,0.2044283178062984,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
No AC Encoder,ablation,no_ac_encoder,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,-0.018333685988720812,0.0008068103422539994,-0.7771727411160971,0.0008068103422539399,-0.6511935134489851,0.0008068103422539399,-0.6254116634960546,0.0008068103422539399,,,,,0.0,0.0,1.8144071159695,0.08839511843546673,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
No Recon Regularization,ablation,no_recon_regularization,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,-0.028237820071796232,0.005128856798221399,-0.7870768751991726,0.005128856798221411,-0.6610976475320605,0.005128856798221411,-0.6353157975791299,0.005128856798221411,0.21465032857437918,0.9469030456749811,0.23498442485784263,0.9718562380801863,0.10587574881136928,0.04123936049731721,1.8374220978153362,0.0847736193745949,0.923076923076923,0.13323467750529827,0.1146478976917595,0.03524366039371783,0.3658071885919987,0.8746514588142043,0.3658071885919987,0.8746514588142043,0.0,0.0,0.0,0.0,0.0,0.0,0.28380242983500165,0.10648366366500724,0.70071414360753,0.20441157936648802,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Plain LSTM,plain_lstm,,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,-0.03305412234875885,0.0023050939366432333,-0.7918931774761352,0.0023050939366431947,-0.6659139498090231,0.0023050939366431947,-0.6401320998560925,0.0023050939366431947,0.05490457384074245,0.1377396946398377,0.059827809638291866,0.12607486666100037,1.3567357437907257,0.23278526816606904,2.0806258050410635,0.08542641890757209,0.6965811965811967,0.057810894266960115,,,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,0.6666666666666666
Uniform Lag,ablation,uniform_lag,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,3,-0.02562943386740937,0.003568528820875485,-0.7844684889947858,0.003568528820875459,-0.6584892613276736,0.003568528820875459,-0.6327074113747431,0.003568528820875459,,,,,0.0,0.0,2.3025851124040755,0.0,1.0,0.0,0.3371495958388267,0.08028353292390825,-0.2458511952182838,1.0523796428487728,-0.2458511952182838,1.0523796428487728,0.0,0.0,0.0,0.0,0.0,0.0,1.0763190587361653,0.641371202348679,0.8296305197025037,0.07344645747313402,,,0.3333333333333333,0.3333333333333333,
