epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_income_level_spearman_rho,val_kstar_proxy_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_income_recent_level_spearman_rho,val_kstar_proxy_income_recent_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_income_growth_signal_spearman_rho,val_kstar_proxy_income_growth_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_income_recent_level_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_income_growth_signal_recon_r2
1.0,1.121590495109558,0.9882763624191284,1.333141565322876,1.2666420936584473,0.0,0.0,0.0,7.241234893216793,7.241234893216793,7.240929736604111,0.06647802872180031,1.0,2.8125176429748535,2.679079055786133,1.3343859910964966,1.2686748504638672,0.0,0.0,0.0,2.6790788702632775,1.5629534327558108,0.0,1.8181648254394531,3.540508208845382e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8181649645169575,6.0,1.8181648969650268,5.0,1.81816508769989,5.0,1.8181650638580322,5.0,0.47416456944444413,5.339176777613795e-07,1.0,0.0,1.0,0.05187165395764413,-0.18441558441558442,0.42356621430502056,0.18441558441558442,1.0,-0.18441558441558442,0.42356621430502056,-1.0,0.18441558441558442,1.0,-6.730225108273763e-06,1.1920928955078125e-06,1.818164348602295,1.8181655406951904,-0.3343859054187863,-0.26867493107742946,1.0,-0.26867493107742946,-0.26867493107742946,-0.04718126920179233,-0.04718126920179233,-0.687301515977139,-0.687301515977139
2.0,0.8688629269599915,0.7354243397712708,1.3343859910964966,1.2686748504638672,0.0,0.0,0.0,6.058046689983295,6.058046689983295,6.057680648623194,0.0665947243679609,1.0,2.4431512355804443,2.30956768989563,1.3358362913131714,1.2712023258209229,0.0,0.0,0.0,2.309567470556707,1.467476674843402,0.0,1.8187446594238281,3.640133889943395e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.818744699160258,6.0,1.8187447309494018,5.0,1.8187448740005494,5.0,1.818744707107544,5.0,0.4732915297800836,5.511870134123928e-07,1.0,0.0,1.0,0.05542398295138007,-0.16233766233766234,0.4820201872355597,0.16233766233766234,1.0,-0.16233766233766234,0.4820201872355597,-1.0,0.16233766233766234,1.0,-6.293033415325115e-06,9.5367431640625e-07,1.81874418258667,1.8187451362609863,-0.33583626723262466,-0.2712023695298047,1.0,-0.2712023695298047,-0.2712023695298047,-0.05082498137227165,-0.05082498137227165,-0.6854814507957985,-0.6854814507957985
3.0,0.6724017858505249,0.5388181209564209,1.3358362913131714,1.2712023258209229,0.0,0.0,0.0,4.894298760419912,4.894298760419912,4.893843611193613,0.06674627650542621,1.0,2.110581398010254,1.9768284559249878,1.337528944015503,1.274172067642212,0.0,0.0,0.0,1.9768286083465672,1.369475869905381,0.0,1.8192434310913086,3.9090531895698413e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.819243570168813,6.0,1.8192434787750245,5.0,1.8192436695098877,5.0,1.8192434310913086,5.0,0.4725386365398156,5.686136597799786e-07,1.0,0.0,1.0,0.060202580977202304,0.06753246753246753,0.7711624988673798,-0.06753246753246753,1.0,0.06753246753246753,0.7711624988673798,-1.0,-0.06753246753246753,1.0,-6.820500029846259e-06,1.1920928955078125e-06,1.8192429542541504,1.819244146347046,-0.3375287364792004,-0.2741720961774381,1.0,-0.2741720961774381,-0.2741720961774381,-0.05477221633908802,-0.05477221633908802,-0.6836418969210758,-0.6836418969210758
4.0,0.5212559700012207,0.387503057718277,1.337528944015503,1.274172067642212,0.0,0.0,0.0,3.817062918443959,3.817062918443959,3.8164761922053434,0.06692382004724938,1.0,1.8025938272476196,1.6686369180679321,1.3395695686340332,1.2792459726333618,0.0,0.0,0.0,1.6686369119830498,1.265438675170853,0.0,1.8194425106048584,3.5568532938776785e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8194426496823628,6.0,1.819442629814148,5.0,1.819442915916443,5.0,1.8194425106048584,5.0,0.47223749407529486,5.907749901171496e-07,1.0,0.0,1.0,0.06579893012212784,0.0935064935064935,0.6868397848627376,-0.0935064935064935,1.0,0.0935064935064935,0.6868397848627376,-1.0,-0.0935064935064935,1.0,-4.72179966113888e-06,8.344650268554688e-07,1.8194421529769897,1.8194429874420166,-0.33956956497496926,-0.2792460214954453,1.0,-0.2792460214954453,-0.2792460214954453,-0.057691173804959694,-0.057691173804959694,-0.6817714996245037,-0.6817714996245037
5.0,0.41663599014282227,0.28267902135849,1.3395695686340332,1.2792459726333618,0.0,0.0,0.0,2.9554750629766224,2.9554750629766224,2.954712223610351,0.06714553986861123,1.0,1.5129841566085815,1.3787928819656372,1.3419127464294434,1.2857500314712524,0.0,0.0,0.0,1.3787928745767353,1.1534612008503504,0.0,1.8192832469940186,4.023607605223282e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8192832072575886,6.0,1.8192831754684449,5.0,1.8192835092544555,5.0,1.8192830085754395,5.0,0.47247863102450227,6.196102272230859e-07,1.0,0.0,1.0,0.07168988166020528,0.08961038961038961,0.6992893846688304,-0.08961038961038961,1.0,0.08961038961038961,0.6992893846688304,-1.0,-0.08961038961038961,1.0,-5.4017039983599295e-06,9.5367431640625e-07,1.8192826509475708,1.8192836046218872,-0.3419128279811809,-0.2857500323998101,1.0,-0.2857500323998101,-0.2857500323998101,-0.060117890331167656,-0.060117890331167656,-0.6798705612125657,-0.6798705612125657
6.0,0.34376734495162964,0.2095760554075241,1.3419127464294434,1.2857500314712524,0.0,0.0,0.0,2.3315622143395633,2.3315622143395633,2.3305875506034734,0.06740940815724544,1.0,1.2420610189437866,1.1076078414916992,1.344531774520874,1.2931791543960571,0.0,0.0,0.0,1.1076078244857717,1.0339941822347187,0.0,1.8189504146575928,4.155977616474317e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8189505139986675,6.0,1.8189505577087401,5.0,1.8189507722854614,5.0,1.8189502000808715,5.0,0.47298111155335903,6.605296775774281e-07,1.0,0.0,1.0,0.0779150684078629,0.10519480519480517,0.6499672847296488,-0.10519480519480517,1.0,0.10519480519480517,0.6499672847296488,-1.0,-0.10519480519480517,1.0,-5.275021612302039e-06,1.0728836059570312e-06,1.8189500570297241,1.81895112991333,-0.34453188136175167,-0.2931792877757933,1.0,-0.2931792877757933,-0.2931792877757933,-0.06247471554970141,-0.06247471554970141,-0.6779416407597616,-0.6779416407597616
7.0,0.2947778105735779,0.16032461822032928,1.344531774520874,1.2931791543960571,0.0,0.0,0.0,1.8914716819667494,1.8914716819667494,1.8902594096133225,0.06770884765241271,1.0,0.9986275434494019,0.8638794422149658,1.3474808931350708,1.3022501468658447,0.0,0.0,0.0,0.8638794354248154,0.9116066722642808,0.0,1.8185330629348755,4.865374414629283e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8185330231984456,6.0,1.8185331344604492,5.0,1.8185333490371705,5.0,1.8185327053070068,5.0,0.4736106381059598,6.989446801940549e-07,1.0,0.0,1.0,0.0842257651734875,0.12467532467532469,0.590260853646067,-0.12467532467532469,1.0,0.12467532467532469,0.590260853646067,-1.0,-0.12467532467532469,1.0,-5.525493504439603e-06,1.1920928955078125e-06,1.8185324668884277,1.8185336589813232,-0.3474809041245172,-0.3022502302868848,1.0,-0.3022502302868848,-0.3022502302868848,-0.06422381713256842,-0.06422381713256842,-0.675968664954099,-0.675968664954099
8.0,0.25802862644195557,0.12328054755926132,1.3474808931350708,1.3022501468658447,0.0,0.0,0.0,1.5124597543447362,1.5124597543447362,1.5109277995020904,0.06805654416961378,1.0,0.7945768237113953,0.6595076322555542,1.3506919145584106,1.3120344877243042,0.0,0.0,0.0,0.6595076509489386,0.7937511588845935,0.0,1.8180625438690186,4.957231554444813e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8180624842643738,6.0,1.8180624961853027,5.0,1.8180628061294555,5.0,1.8180621147155762,5.0,0.47431876867658657,7.256041839968804e-07,1.0,0.0,1.0,0.09061920283156182,0.12857142857142856,0.5786044448638965,-0.12857142857142856,1.0,0.12857142857142856,0.5786044448638965,-1.0,-0.12857142857142856,1.0,-5.452099456136246e-06,1.1920928955078125e-06,1.8180618286132812,1.8180630207061768,-0.35069190846272336,-0.31203458204271795,1.0,-0.31203458204271795,-0.31203458204271795,-0.06608346371077545,-0.06608346371077545,-0.6739576796346771,-0.6739576796346771
9.0,0.2321052849292755,0.09703608602285385,1.3506919145584106,1.3120344877243042,0.0,0.0,0.0,1.1096563234150236,1.1096563234150236,1.1075434993628837,0.06844379529194299,1.0,0.636082649230957,0.50066077709198,1.354218602180481,1.3227533102035522,0.0,0.0,0.0,0.500660801678735,0.6873721707434881,0.0,1.8175541162490845,5.282014580886984e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8175541162490845,6.0,1.8175542116165162,5.0,1.817554521560669,5.0,1.8175537586212158,5.0,0.47508205362172734,7.652659237149626e-07,1.0,0.0,1.0,0.09702486671889324,0.13896103896103898,0.5480180624883647,-0.13896103896103898,1.0,0.13896103896103898,0.5480180624883647,-1.0,-0.13896103896103898,1.0,-5.232824065741227e-06,1.3113021850585938e-06,1.8175534009933472,1.8175547122955322,-0.3542184769722734,-0.32275329856441015,1.0,-0.32275329856441015,-0.32275329856441015,-0.06798705253549642,-0.06798705253549642,-0.671915079816914,-0.671915079816914
10.0,0.21490895748138428,0.07948709279298782,1.354218602180481,1.3227533102035522,0.0,0.0,0.0,0.7258018136213799,0.7258018136213799,0.7225258035094433,0.06888204351728833,1.0,0.526799201965332,0.3909904360771179,1.3580875396728516,1.3344460725784302,0.0,0.0,0.0,0.3909904231572176,0.6017523336978186,0.0,1.8170162439346313,5.154182553434901e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8170162439346313,6.0,1.8170162916183472,5.0,1.8170165777206422,5.0,1.817015790939331,5.0,0.47588790417462323,7.854980426220828e-07,1.0,0.0,1.0,0.10343350952701465,0.15974025974025974,0.4891511154734236,-0.15974025974025974,1.0,0.15974025974025974,0.4891511154734236,-1.0,-0.15974025974025974,1.0,-5.4802193871687076e-06,1.430511474609375e-06,1.8170154094696045,1.817016839981079,-0.3580875643154095,-0.33444615137891054,1.0,-0.33444615137891054,-0.33444615137891054,-0.07000900568953816,-0.07000900568953816,-0.6698075358777806,-0.6698075358777806
