variant,target_column,effective_lambda_r_mean,effective_lambda_r_std,best_epoch_mean,best_epoch_std,best_val_task_loss_mean,best_val_task_loss_std,proxy_refit_applied_mean,proxy_refit_applied_std,proxy_metric_interpretable_mean,proxy_metric_interpretable_std,train_total_loss_mean,train_total_loss_std,train_task_loss_mean,train_task_loss_std,train_recon_loss_mean,train_recon_loss_std,train_mse_mean,train_mse_std,train_mae_mean,train_mae_std,train_r2_mean,train_r2_std,train_proxy_recon_r2_mean,train_proxy_recon_r2_std,train_proxy_metric_valid_mean,train_proxy_metric_valid_std,train_kstar_proxy_spearman_rho_mean,train_kstar_proxy_spearman_rho_std,train_kstar_proxy_spearman_p_mean,train_kstar_proxy_spearman_p_std,train_kstar_mean_mean,train_kstar_mean_std,train_kstar_std_mean,train_kstar_std_std,train_kstar_proxy_metric_valid_mean,train_kstar_proxy_metric_valid_std,train_omega_entropy_mean_mean,train_omega_entropy_mean_std,val_total_loss_mean,val_total_loss_std,val_task_loss_mean,val_task_loss_std,val_recon_loss_mean,val_recon_loss_std,val_mse_mean,val_mse_std,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,val_proxy_recon_r2_mean,val_proxy_recon_r2_std,val_proxy_metric_valid_mean,val_proxy_metric_valid_std,val_kstar_proxy_spearman_rho_mean,val_kstar_proxy_spearman_rho_std,val_kstar_proxy_spearman_p_mean,val_kstar_proxy_spearman_p_std,val_kstar_mean_mean,val_kstar_mean_std,val_kstar_std_mean,val_kstar_std_std,val_kstar_proxy_metric_valid_mean,val_kstar_proxy_metric_valid_std,val_omega_entropy_mean_mean,val_omega_entropy_mean_std,test_total_loss_mean,test_total_loss_std,test_task_loss_mean,test_task_loss_std,test_recon_loss_mean,test_recon_loss_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std,test_proxy_recon_r2_mean,test_proxy_recon_r2_std,test_proxy_metric_valid_mean,test_proxy_metric_valid_std,test_kstar_proxy_spearman_rho_mean,test_kstar_proxy_spearman_rho_std,test_kstar_proxy_spearman_p_mean,test_kstar_proxy_spearman_p_std,test_kstar_mean_mean,test_kstar_mean_std,test_kstar_std_mean,test_kstar_std_std,test_kstar_proxy_metric_valid_mean,test_kstar_proxy_metric_valid_std,test_omega_entropy_mean_mean,test_omega_entropy_mean_std
no_ac_encoder,ctfp,0.0,0.0,13.666666666666666,6.027713773341707,2.7081521352132163,0.10646756361682616,0.0,0.0,0.0,0.0,0.5250870486100515,0.11320912464886436,0.5250870486100515,0.11320912464886436,1.1660735209782918,0.2160585914760358,0.5250870090285827,0.11320911368925625,0.5517648489609409,0.07175329346569638,0.34262577969684066,0.1453868789331292,,,0.0,0.0,0.0,0.0,1.0,0.0,4.693913857142131,0.9195610668497345,3.9622693748242455e-07,4.943957792214064e-07,0.6666666666666666,0.5773502691896258,1.7866724729537964,0.13564247289549436,2.7081521352132163,0.10646756361682616,2.7081521352132163,0.10646756361682616,1.1660735209782918,0.2160585914760358,2.7081520285850256,0.1064678141189905,1.2530323236919545,0.022570179695848583,0.036267348795364855,0.025450399237264488,,,0.0,0.0,0.0,0.0,1.0,0.0,4.693913857142131,0.9195610668497345,3.9622693748242455e-07,4.943957792214064e-07,0.6666666666666666,0.5773502691896258,1.7866724729537964,0.13564247289549436,4.148522853851318,0.13593674412495577,4.148522853851318,0.13593674412495577,1.1660735209782918,0.2160585914760358,4.148522490262404,0.13593685059489774,1.5442289091840464,0.01982418875870208,2.6359761515428366e-05,0.03295380304239487,,,0.0,0.0,0.0,0.0,1.0,0.0,4.693913857142131,0.9195610668497345,3.9622693748242455e-07,4.943957792214064e-07,0.6666666666666666,0.5773502691896258,1.7866724729537964,0.13564247289549436
no_recon_regularization,ctfp,0.0,0.0,19.666666666666668,6.110100926607786,2.694780111312866,0.09503588394724599,1.0,0.0,1.0,0.0,0.4381330708662669,0.07296140010722922,0.4381330708662669,0.07296140010722922,0.5694152514139811,0.0325021573195038,0.4381330731928954,0.07296140771611989,0.49577931859108587,0.052097155341773733,0.451774701108792,0.09813079414582,0.43058471206128096,0.032502144891629774,1.0,0.0,-0.8898196143479161,0.06934215273181533,1.77760251553412e-29,3.0750563336236603e-29,4.471726258595784,0.42500181360565176,0.22219538440306982,0.16333441539824045,1.0,0.0,1.801118016242981,0.1462910687162689,2.694780111312866,0.09503588394724599,2.694780111312866,0.09503588394724599,0.5694152514139811,0.0325021573195038,2.6947800031421423,0.09503589761121839,1.2605394900599052,0.029011543974489292,0.02931213383126415,0.04070523069873247,0.43058471206128096,0.032502144891629774,1.0,0.0,-0.8898196143479161,0.06934215273181533,1.77760251553412e-29,3.0750563336236603e-29,4.471726258595784,0.42500181360565176,0.22219538440306982,0.16333441539824045,1.0,0.0,1.801118016242981,0.1462910687162689,4.125712235768636,0.11398063172612154,4.125712235768636,0.11398063172612154,0.5694152514139811,0.0325021573195038,4.125712339403645,0.1139803203026363,1.5409324114910274,0.01541075695661863,0.005126147457667012,0.028303848742541823,0.43058471206128096,0.032502144891629774,1.0,0.0,-0.8898196143479161,0.06934215273181533,1.77760251553412e-29,3.0750563336236603e-29,4.471726258595784,0.42500181360565176,0.22219538440306982,0.16333441539824045,1.0,0.0,1.801118016242981,0.1462910687162689
uniform_lag,ctfp,0.10000000000000002,0.0,22.333333333333332,8.326663997864532,2.664400021235148,0.06273099385436691,1.0,0.0,1.0,0.0,0.46780043840408325,0.10673597938575963,0.410372128089269,0.10789794886531154,0.5742830236752828,0.012095005670451887,0.41037214809123307,0.1078979649813433,0.4725291844257921,0.07884410008556722,0.4875701603038452,0.14117590475545044,0.42571696723827457,0.012095000811730107,1.0,0.0,,,,,5.5,0.0,0.0,0.0,0.0,0.0,2.3025853633880615,0.0,2.72182830174764,0.06229976869795191,2.664400021235148,0.06273099385436691,0.5742830236752828,0.012095005670451887,2.664400139240283,0.06273107934389989,1.2533478820445165,0.023279714915708925,0.039624087567812764,0.03312089076103874,0.42571696723827457,0.012095000811730107,1.0,0.0,,,,,5.5,0.0,0.0,0.0,0.0,0.0,2.3025853633880615,0.0,4.04004184405009,0.08913673760423177,3.9826135635375977,0.09012430198229064,0.5742830236752828,0.012095005670451887,3.982613616794309,0.09012444573325416,1.521586699798451,0.011413857156895987,0.03915176837856762,0.021577941726926054,0.42571696723827457,0.012095000811730107,1.0,0.0,,,,,5.5,0.0,0.0,0.0,0.0,0.0,2.3025853633880615,0.0
