epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_effective_labor_anchor_spearman_rho,val_kstar_proxy_effective_labor_anchor_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_employment_level_spearman_rho,val_kstar_proxy_employment_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_hc_level_spearman_rho,val_kstar_proxy_hc_level_spearman_adjusted_rho,val_kstar_proxy_4_spearman_rho,val_kstar_proxy_4_spearman_p,val_kstar_proxy_4_spearman_adjusted_rho,val_kstar_proxy_4_metric_valid,val_kstar_proxy_hc_trend_spearman_rho,val_kstar_proxy_hc_trend_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_omega_peak_share_4,val_omega_peak_share_5,val_omega_peak_share_6,val_omega_peak_share_7,val_omega_peak_share_8,val_omega_peak_share_9,val_omega_peak_share_10,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_effective_labor_anchor_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_employment_level_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_hc_level_recon_r2,val_proxy_4_recon_r2,val_proxy_proxy_hc_trend_recon_r2
1.0,1.5622128248214722,1.5622128248214722,1.1350932121276855,1.185067057609558,0.0,0.0,0.0,10.672792546641448,10.672792546641448,10.672792546641448,0.0,1.0,3.038085699081421,3.038085699081421,1.1350806951522827,1.1852236986160278,0.0,0.0,0.0,3.0380857201386706,1.3309881664569152,-0.09273488753087537,5.021216869354248,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.02121639251709,22.0,5.02121639251709,22.0,5.02121639251709,22.0,5.02121639251709,22.0,1.9359578551540084,2.220446049250313e-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12254486772731094,-0.18522367068032253,1.0,-0.18522367068032253,-0.18522367068032253,-0.1628103630041824,-0.1628103630041824,-0.06851715568102912,-0.06851715568102912,-0.07362828154370882,-0.07362828154370882
2.0,1.0660209655761719,1.0660209655761719,1.1350806951522827,1.1852236986160278,0.0,0.0,0.0,4.389739889509449,4.389739889509449,4.389739889509449,0.0,1.0,3.077842950820923,3.077842950820923,1.135068416595459,1.1853796243667603,0.0,0.0,0.0,3.0778428400390205,1.3100088704430328,-0.10671635132031394,5.041913032531738,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.04191255569458,22.0,5.04191255569458,22.0,5.04191255569458,22.0,5.04191255569458,22.0,1.93881943669405,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12249056448940232,-0.18537964456465872,1.0,-0.18537964456465872,-0.18537964456465872,-0.16223188999328508,-0.16223188999328508,-0.06853595735872209,-0.06853595735872209,-0.0738147660409425,-0.0738147660409425
3.0,0.9209702014923096,0.9209702014923096,1.135068416595459,1.1853796243667603,0.0,0.0,0.0,3.3950357775402584,3.3950357775402584,3.3950357775402584,0.0,1.0,3.0872786045074463,3.0872786045074463,1.135060429573059,1.1854822635650635,0.0,0.0,0.0,3.0872784367668458,1.3093278305605054,-0.10891825112520037,5.047261714935303,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.047261714935303,22.0,5.047261714935303,22.0,5.047261714935303,22.0,5.047261714935303,22.0,1.940305860694933,4.440892098500626e-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12245505932000117,-0.18548223463922908,1.0,-0.18548223463922908,-0.18548223463922908,-0.16185221659124838,-0.16185221659124838,-0.06854831638069214,-0.06854831638069214,-0.07393746966883352,-0.07393746966883352
4.0,0.8431729674339294,0.8431729674339294,1.135060429573059,1.1854822635650635,0.0,0.0,0.0,3.794030865031749,3.794030865031749,3.794030865031749,0.0,1.0,2.9920520782470703,2.9920520782470703,1.1350605487823486,1.185481309890747,0.0,0.0,0.0,2.992052151275154,1.29252215780346,-0.07184172323011932,5.039299011230469,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.039299011230469,22.0,5.039299011230469,22.0,5.039299011230469,22.0,5.039299011230469,22.0,1.9403702203572133,4.440892098500626e-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12245532943642956,-0.18548143886020108,1.0,-0.18548143886020108,-0.18548143886020108,-0.16185514209880436,-0.16185514209880436,-0.06854820714203136,-0.06854820714203136,-0.07393652964468078,-0.07393652964468078
5.0,0.7475035786628723,0.7475035786628723,1.1350605487823486,1.185481309890747,0.0,0.0,0.0,2.703682318014279,2.703682318014279,2.703682318014279,0.0,1.0,2.860621213912964,2.860621213912964,1.1350661516189575,1.185408353805542,0.0,0.0,0.0,2.8606212912078344,1.271062906267065,-0.021891126296911072,5.022433280944824,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.022433280944824,22.0,5.022433280944824,22.0,5.022433280944824,22.0,5.022433280944824,22.0,1.9393466660507988,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12248061346886607,-0.1854083371532873,1.0,-0.1854083371532873,-0.1854083371532873,-0.1621256258839805,-0.1621256258839805,-0.0685394059131259,-0.0685394059131259,-0.07384908492507258,-0.07384908492507258
6.0,0.6742351651191711,0.6742351651191711,1.1350661516189575,1.185408353805542,0.0,0.0,0.0,1.0925002203393095,1.0925002203393095,1.0925002203393095,0.0,1.0,2.7529234886169434,2.7529234886169434,1.1350737810134888,1.1853107213974,0.0,0.0,0.0,2.752923520171764,1.25134250181586,0.018154105004935712,5.00295352935791,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.00295352935791,22.0,5.00295352935791,22.0,5.00295352935791,22.0,5.00295352935791,22.0,1.9377855829478925,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12251451626557869,-0.1853107195671595,1.0,-0.1853107195671595,-0.1853107195671595,-0.16248735901796296,-0.16248735901796296,-0.06852764061386729,-0.06852764061386729,-0.07373234586332744,-0.07373234586332744
7.0,0.6482812166213989,0.6482812166213989,1.1350737810134888,1.1853107213974,0.0,0.0,0.0,1.5192634671147298,1.5192634671147298,1.5192634671147298,0.0,1.0,2.719865560531616,2.719865560531616,1.1350829601287842,1.1851942539215088,0.0,0.0,0.0,2.7198655574201154,1.245861872339226,0.030016929237353034,4.980033874511719,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.980033874511719,22.0,4.980033874511719,22.0,4.980033874511719,22.0,4.980033874511719,22.0,1.935773086227222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12255513573130528,-0.18519427417323575,1.0,-0.18519427417323575,-0.18519427417323575,-0.16291949765602043,-0.16291949765602043,-0.0685136140769338,-0.0685136140769338,-0.07359315701903157,-0.07359315701903157
8.0,0.6310732960700989,0.6310732960700989,1.1350829601287842,1.1851942539215088,0.0,0.0,0.0,1.9393630578305119,1.9393630578305119,1.9393630578305119,0.0,1.0,2.7196693420410156,2.7196693420410156,1.1350932121276855,1.1850664615631104,0.0,0.0,0.0,2.719669327484163,1.2454674991666141,0.029574161795166493,4.955007076263428,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.955007076263428,22.0,4.955007076263428,22.0,4.955007076263428,22.0,4.955007076263428,22.0,1.9334726392119104,2.220446049250313e-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12259997035344933,-0.18506637779492108,1.0,-0.18506637779492108,-0.18506637779492108,-0.16339490101243226,-0.16339490101243226,-0.06849818498450433,-0.06849818498450433,-0.07344041762194009,-0.07344041762194009
9.0,0.6032270789146423,0.6032270789146423,1.1350932121276855,1.1850664615631104,0.0,0.0,0.0,1.550172493892598,1.550172493892598,1.550172493892598,0.0,1.0,2.740222930908203,2.740222930908203,1.1351045370101929,1.184929609298706,0.0,0.0,0.0,2.7402230217407393,1.2485154404333143,0.021552839960584064,4.9283671379089355,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.9283671379089355,22.0,4.9283671379089355,22.0,4.9283671379089355,22.0,4.9283671379089355,22.0,1.930912047224808,4.440892098500626e-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12264821017295002,-0.18492957990226122,1.0,-0.18492957990226122,-0.18492957990226122,-0.16390444084944522,-0.16390444084944522,-0.06848169696526041,-0.06848169696526041,-0.0732771229748368,-0.0732771229748368
10.0,0.5730233788490295,0.5730233788490295,1.1351045370101929,1.184929609298706,0.0,0.0,0.0,0.765417409893023,0.765417409893023,0.765417409893023,0.0,1.0,2.7649199962615967,2.7649199962615967,1.135116457939148,1.1847864389419556,0.0,0.0,0.0,2.764919957318825,1.251988183692888,0.012458453458561392,4.900869846343994,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.900869846343994,22.0,4.900869846343994,22.0,4.900869846343994,22.0,4.900869846343994,22.0,1.9282268028135865,6.661338147750939e-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.12269897425125703,-0.18478640137888136,1.0,-0.18478640137888136,-0.18478640137888136,-0.16443867749971708,-0.16443867749971708,-0.06846443112954415,-0.06846443112954415,-0.07310638699688488,-0.07310638699688488
