experiment,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,train_years,val_years,test_years,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean
multiseq_overlap_region_proxy_cmdl_seed18,cmdl,none,multiseq_overlap_region_proxy,18,2,6,26,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed18\summary.json,30.477097274832257,5.513618220885594,0.0,0.0,0.0,0.0,0.0,0.0,1.158274531364441,0.20842070401202062,0.4831168831168831,0.464935064935065,0.6321365833282471,0.31735404464406364,0.9047619047619048,0.4296677796468053,0.5054473017640585,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed19,cmdl,none,multiseq_overlap_region_proxy,19,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed19\summary.json,32.80845559777434,5.711292904402528,0.0,0.0,0.0,0.0,0.0,0.0,1.4922335147857666,0.3612230623202423,0.07142857142857142,-0.16103896103896104,0.746833324432373,0.39597748187567866,0.5714285714285714,0.2654828804207902,0.002465924964058286,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed2,cmdl,none,multiseq_overlap_region_proxy,2,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed2\summary.json,28.12265004396271,5.29075398118723,0.0,0.0,0.0,0.0,0.0,0.0,1.074209213256836,6.270045903289467e-08,-0.0,-0.0,2.384185791015625e-07,0.26439326310871536,1.0,0.369941552108547,0.7018230123353488,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed3,cmdl,none,multiseq_overlap_region_proxy,3,2,6,14,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed3\summary.json,29.26374077414177,5.405109377134414,0.0,0.0,0.0,0.0,0.0,0.0,1.8197524547576904,0.0015662218900701177,-0.45194805194805193,-0.5272727272727272,0.0031076669692993164,0.4717601082359859,1.0,0.11050721555839609,0.2910702431403013,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed4,cmdl,none,multiseq_overlap_region_proxy,4,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed4\summary.json,24.47689836033086,4.943198856853304,0.0,0.0,0.0,0.0,0.0,0.0,1.8225919008255005,8.25120455095342e-05,0.8077922077922077,0.851948051948052,0.0002580881118774414,0.4674403419089637,1.0,0.14990218658006893,0.38121266436704326,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed5,cmdl,none,multiseq_overlap_region_proxy,5,2,6,8,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed5\summary.json,36.91217245595314,6.051716611144089,0.0,0.0,0.0,0.0,0.0,0.0,1.813176155090332,0.0,,,0.0,0.481584579505856,1.0,0.10998099853145149,0.14593555595210428,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed6,cmdl,none,multiseq_overlap_region_proxy,6,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed6\summary.json,26.503926372414917,5.137130713178998,0.0,0.0,0.0,0.0,0.0,0.0,1.0786386728286743,7.856061978113587e-06,0.24488471574112525,0.1182202075991639,1.6689300537109375e-05,0.27543189148573605,1.0,0.34065171502859654,0.009617646395172486,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed7,cmdl,none,multiseq_overlap_region_proxy,7,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed7\summary.json,27.747962826754957,5.260792766298566,0.0,0.0,0.0,0.0,0.0,0.0,1.0729877948760986,6.037546702933688e-07,-0.0,-0.0,1.6689300537109375e-06,0.26129992424807347,1.0,0.21739599263769846,0.14729259496767044,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed8,cmdl,none,multiseq_overlap_region_proxy,8,2,6,31,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed8\summary.json,30.450371298637492,5.508750687042872,0.0,0.0,0.0,0.0,0.0,0.0,1.07515549659729,1.3505137822026658e-07,-0.0,-0.0,3.5762786865234375e-07,0.26677521823533534,1.0,0.28010413727520506,0.537347236443908,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed9,cmdl,none,multiseq_overlap_region_proxy,9,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed9\summary.json,26.362994878724656,5.131627343949818,0.0,0.0,0.0,0.0,0.0,0.0,1.8204832077026367,5.66697434322191e-07,-0.0,-0.0,1.7881393432617188e-06,0.4706600081171332,1.0,0.04447023916900054,0.07198089616909742,0.0,1.5102827032054373
