entity_code,entity_name,year,rydgdp_disposable_income_msek_raw,x_rydgdp_disposable_income_per_capita_raw,qa_rydgdp_numerator_candidate_count,qa_rydgdp_numerator_per_capita_candidate_count,rydgdp_grdp_msek_raw,x_rydgdp_grdp_per_capita_raw,qa_rydgdp_denominator_candidate_count,qa_rydgdp_denominator_per_capita_candidate_count,x_rydgdp_ratio_raw
SE332,Norrbotten,2021,59597.0,239.0,1,1,161328.0,646.0,1,1,0.3694151046315581
SE110,Stockholm,2022,734742.0,303.0,2,2,1840489.0,758.0,2,2,0.399210209895305
SE121,Uppsala,2022,99933.0,251.0,1,1,213131.0,536.0,1,1,0.4688806414834069
SE122,Södermanland,2022,71860.0,238.0,1,1,122660.0,406.0,1,1,0.5858470569052666
SE123,Östergötland,2022,114800.0,244.0,1,1,236501.0,502.0,1,1,0.48541020968198867
SE124,Örebro,2022,72825.0,237.0,1,1,146045.0,475.0,1,1,0.4986476770858297
SE125,Västmanland,2022,68420.0,244.0,1,1,121353.0,434.0,1,1,0.5638097121620397
SE211,Jönköping,2022,89412.0,243.0,1,1,180626.0,491.0,1,1,0.49501179232225706
SE212,Kronoberg,2022,48720.0,239.0,1,1,112849.0,554.0,1,1,0.4317273524798625
SE213,Kalmar,2022,58706.0,237.0,1,1,104911.0,424.0,1,1,0.5595790717846556
SE214,Gotland,2022,14485.0,237.0,1,1,23966.0,392.0,1,1,0.6043978970207794
SE221,Blekinge,2022,37570.0,237.0,1,1,69069.0,435.0,1,1,0.54394880481837
SE224,Skåne,2022,354574.0,252.0,1,1,675351.0,480.0,1,1,0.5250218034770068
SE231,Halland,2022,90298.0,264.0,1,1,147852.0,433.0,1,1,0.6107323539755972
SE232,Västra Götaland,2022,449428.0,257.0,1,1,979342.0,559.0,1,1,0.45890812402613185
SE311,Värmland,2022,67742.0,239.0,1,1,138287.0,488.0,1,1,0.48986528017818015
SE312,Dalarna,2022,69487.0,241.0,1,1,132270.0,459.0,1,1,0.525342103273607
SE313,Gävleborg,2022,67670.0,235.0,1,1,119434.0,415.0,1,1,0.566589078486863
SE321,Västernorrland,2022,58473.0,240.0,1,1,127497.0,523.0,1,1,0.45862255582484296
SE322,Jämtland,2022,31404.0,237.0,1,1,62345.0,471.0,1,1,0.5037132087577192
SE331,Västerbotten,2022,65832.0,239.0,1,1,151560.0,550.0,1,1,0.43436262866191605
SE332,Norrbotten,2022,62885.0,252.0,1,1,158649.0,636.0,1,1,0.39637816815737886
SE110,Stockholm,2023,772231.0,316.0,2,2,1953915.0,798.0,2,2,0.39522241243861683
SE121,Uppsala,2023,105246.0,261.0,1,1,220681.0,548.0,1,1,0.4769146414960962
SE122,Södermanland,2023,74908.0,248.0,1,1,139054.0,460.0,1,1,0.5386971967724768
SE123,Östergötland,2023,119950.0,254.0,1,1,251151.0,532.0,1,1,0.4776011244231558
SE124,Örebro,2023,75750.0,246.0,1,1,157740.0,512.0,1,1,0.4802206162038798
SE125,Västmanland,2023,71417.0,254.0,1,1,133912.0,477.0,1,1,0.5333129219188721
SE211,Jönköping,2023,93016.0,252.0,1,1,193215.0,524.0,1,1,0.48141189866211215
SE212,Kronoberg,2023,51211.0,251.0,1,1,112602.0,552.0,1,1,0.45479654002593206
SE213,Kalmar,2023,62015.0,251.0,1,1,114351.0,463.0,1,1,0.5423214488723317
SE214,Gotland,2023,15279.0,250.0,1,1,25834.0,423.0,1,1,0.5914298985832623
SE221,Blekinge,2023,39280.0,248.0,1,1,72882.0,460.0,1,1,0.5389533766910897
SE224,Skåne,2023,372543.0,263.0,1,1,737834.0,520.0,1,1,0.5049143845363592
SE231,Halland,2023,94873.0,276.0,1,1,152468.0,444.0,1,1,0.6222486029855445
SE232,Västra Götaland,2023,473842.0,269.0,1,1,1057444.0,600.0,1,1,0.44810127061102056
SE311,Värmland,2023,71511.0,252.0,1,1,143204.0,505.0,1,1,0.4993645428898634
SE312,Dalarna,2023,72396.0,252.0,1,1,123890.0,430.0,1,1,0.584357090967794
SE313,Gävleborg,2023,70614.0,246.0,1,1,113004.0,394.0,1,1,0.6248805352022937
SE321,Västernorrland,2023,61380.0,253.0,1,1,133989.0,552.0,1,1,0.45809730649530933
SE322,Jämtland,2023,33151.0,250.0,1,1,62559.0,472.0,1,1,0.5299157595230103
SE331,Västerbotten,2023,70214.0,253.0,1,1,148729.0,536.0,1,1,0.4720935392559622
SE332,Norrbotten,2023,66170.0,266.0,1,1,158594.0,637.0,1,1,0.4172288989495189
