epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2
1.0,1.6638834476470947,1.6638834476470947,,,,,,17.335812793876663,17.335812793876663,17.335812793876663,0.0,1.0,22.48128318786621,22.48128318786621,,,,,,22.481284334490493,4.711514775951703,0.0,1.9285714626312256,0.1749635530559413,0.0,-1.0,0.11236664374387369,0.627719873395742,-0.11236664374387369,1.0,0.13483997249264842,0.5600620180993927,-0.13483997249264842,1.0,0.11236664374387369,0.627719873395742,-0.11236664374387369,1.0,0.11236664374387369,-0.11236664374387369,0.17978662999019787,0.4354949869841582,-0.17978662999019787,1.0,0.17978662999019787,-0.17978662999019787,-0.15731330124142315,0.4958609297287322,0.15731330124142315,1.0,-0.15731330124142315,0.15731330124142315,1.9166666666666667,6.0,1.9,5.0,2.0,5.0,1.9,5.0,0.09902118368582713,0.24255092254399716,0.8571428571428571,0.14285714285714285,0.8571428571428571
2.0,1.0763838291168213,1.0763838291168213,,,,,,12.940124034543205,12.940124034543205,12.940124034543205,0.0,1.0,20.682010650634766,20.682010650634766,,,,,,20.6820090755687,4.5188767697129935,0.0,1.9285714626312256,0.1749635530559413,0.0,-1.0,0.11236664374387369,0.627719873395742,-0.11236664374387369,1.0,0.13483997249264842,0.5600620180993927,-0.13483997249264842,1.0,0.11236664374387369,0.627719873395742,-0.11236664374387369,1.0,0.11236664374387369,-0.11236664374387369,0.17978662999019787,0.4354949869841582,-0.17978662999019787,1.0,0.17978662999019787,-0.17978662999019787,-0.15731330124142315,0.4958609297287322,0.15731330124142315,1.0,-0.15731330124142315,0.15731330124142315,1.9166666666666667,6.0,1.9,5.0,2.0,5.0,1.9,5.0,0.09902118368582713,0.24255092254399716,0.8571428571428571,0.14285714285714285,0.8571428571428571
3.0,0.6695606708526611,0.6695606708526611,,,,,,9.01210587315829,9.01210587315829,9.01210587315829,0.0,1.0,19.004499435424805,19.004499435424805,,,,,,19.00449901832057,4.331875857143175,0.0,1.9285714626312256,0.1749635530559413,0.0,-1.0,0.11236664374387369,0.627719873395742,-0.11236664374387369,1.0,0.13483997249264842,0.5600620180993927,-0.13483997249264842,1.0,0.11236664374387369,0.627719873395742,-0.11236664374387369,1.0,0.11236664374387369,-0.11236664374387369,0.17978662999019787,0.4354949869841582,-0.17978662999019787,1.0,0.17978662999019787,-0.17978662999019787,-0.15731330124142315,0.4958609297287322,0.15731330124142315,1.0,-0.15731330124142315,0.15731330124142315,1.9166666666666667,6.0,1.9,5.0,2.0,5.0,1.9,5.0,0.09902118368582713,0.24255092254399716,0.8571428571428571,0.14285714285714285,0.8571428571428571
4.0,0.40133044123649597,0.40133044123649597,,,,,,5.861469664350454,5.861469664350454,5.861469664350454,0.0,1.0,17.467117309570312,17.467117309570312,,,,,,17.467116832059606,4.153761858031864,0.0,1.952380895614624,0.14677176197545183,0.0,-1.0,-0.08036995796652296,0.7291096885193631,0.08036995796652296,1.0,-0.08036995796652296,0.7291096885193631,0.08036995796652296,1.0,-0.08036995796652296,0.7291096885193631,0.08036995796652296,1.0,-0.08036995796652296,0.08036995796652296,0.24110987389956892,0.29239527495858314,-0.24110987389956892,1.0,0.24110987389956892,-0.24110987389956892,-0.24110987389956892,0.29239527495858314,0.24110987389956892,1.0,-0.24110987389956892,0.24110987389956892,2.0,6.0,1.9,5.0,2.0,5.0,1.9,5.0,0.06601418385948724,0.20346881192548424,0.9047619047619048,0.09523809523809523,0.9047619047619048
5.0,0.23214289546012878,0.23214289546012878,,,,,,3.371745271667712,3.371745271667712,3.371745271667712,0.0,1.0,16.096847534179688,16.096847534179688,,,,,,16.096846604070407,3.9893111813636053,0.0,1.976190447807312,0.10647942749998998,0.0,-1.0,-0.22156468376279892,0.33442778501073034,0.22156468376279892,1.0,-0.1846372364689991,0.42299946453213094,0.1846372364689991,1.0,-0.22156468376279892,0.33442778501073034,0.22156468376279892,1.0,-0.22156468376279892,0.22156468376279892,0.33234702564419843,0.14102988590229731,-0.33234702564419843,1.0,0.33234702564419843,-0.33234702564419843,-0.33234702564419843,0.14102988590229731,0.33234702564419843,1.0,-0.33234702564419843,0.33234702564419843,2.0,6.0,2.0,5.0,2.0,5.0,1.9,5.0,0.03300718403314734,0.14761179069003955,0.9523809523809523,0.047619047619047616,0.9523809523809523
6.0,0.1516687273979187,0.1516687273979187,,,,,,1.944876553276782,1.944876553276782,1.944876553276782,0.0,1.0,14.984437942504883,14.984437942504883,,,,,,14.984436371625142,3.8520853833428452,0.0,2.0,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,6.0,2.0,5.0,2.0,5.0,2.0,5.0,1.842068074395237e-07,2.6469779601696886e-23,1.0,0.0,1.0
7.0,0.11606331914663315,0.11606331914663315,,,,,,1.8185698078756685,1.8185698078756685,1.8185698078756685,0.0,1.0,14.234722137451172,14.234722137451172,,,,,,14.234721316473108,3.7583189684720266,0.0,2.0,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,6.0,2.0,5.0,2.0,5.0,2.0,5.0,1.842068074395237e-07,2.6469779601696886e-23,1.0,0.0,1.0
8.0,0.09875934571027756,0.09875934571027756,,,,,,2.168295712952585,2.168295712952585,2.168295712952585,0.0,1.0,13.807764053344727,13.807764053344727,,,,,,13.807763377528643,3.705101183482579,0.0,2.0,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,6.0,2.0,5.0,2.0,5.0,2.0,5.0,1.842068074395237e-07,2.6469779601696886e-23,1.0,0.0,1.0
9.0,0.09423751384019852,0.09423751384019852,,,,,,2.4308679559187345,2.4308679559187345,2.4308679559187345,0.0,1.0,13.63152027130127,13.63152027130127,,,,,,13.631518565617858,3.684220240229652,0.0,2.0,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,6.0,2.0,5.0,2.0,5.0,2.0,5.0,1.842068074395237e-07,2.6469779601696886e-23,1.0,0.0,1.0
10.0,0.07523570954799652,0.07523570954799652,,,,,,2.3272615412242987,2.3272615412242987,2.3272615412242987,0.0,1.0,13.648492813110352,13.648492813110352,,,,,,13.648493478714162,3.68850416796548,0.0,2.0,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,6.0,2.0,5.0,2.0,5.0,2.0,5.0,1.842068074395237e-07,2.6469779601696886e-23,1.0,0.0,1.0
