epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_income_level_spearman_rho,val_kstar_proxy_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_income_recent_level_spearman_rho,val_kstar_proxy_income_recent_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_income_growth_signal_spearman_rho,val_kstar_proxy_income_growth_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_income_recent_level_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_income_growth_signal_recon_r2
1.0,1.3283530473709106,1.1832730770111084,1.450799584388733,1.1087828874588013,0.0,0.0,0.0,7.938337153533456,7.938337153533456,7.938017007769554,0.0712933905137269,1.0,3.5032458305358887,3.359187602996826,1.4405826330184937,1.1071958541870117,0.0,0.0,0.0,3.359187540015451,1.7913730848757994,0.0,1.7402403354644775,0.00823456794952128,0.0,-1.0,-0.6324675324675325,0.002094285916756489,0.6324675324675325,1.0,-0.9025974025974025,2.1977492069540088e-08,0.9025974025974025,1.0,-0.6324675324675325,0.002094285916756489,0.6324675324675325,1.0,-0.6324675324675325,0.6324675324675325,-0.48571428571428565,0.025600283346738088,0.48571428571428565,1.0,-0.48571428571428565,0.48571428571428565,-0.45584415584415583,0.03781998900387756,0.45584415584415583,1.0,-0.45584415584415583,0.45584415584415583,1.747309943040212,6.0,1.741568636894226,5.0,1.7364552974700929,5.0,1.7342143297195434,5.0,0.766949750717852,0.0051496150738969074,1.0,0.0,1.0,0.0,0.08465864797461879,-0.6324675324675325,0.002094285916756489,0.6324675324675325,1.0,-0.6324675324675325,0.002094285916756489,-1.0,0.6324675324675325,1.0,0.09667618376482928,0.021586298942565918,1.7307699918746948,1.7523562908172607,-0.44058273999211006,-0.1071958520635845,1.0,-0.1071958520635845,-0.1071958520635845,-0.5710797261478031,-0.5710797261478031,-0.6434726417649428,-0.6434726417649428
2.0,1.0437809228897095,0.8997226357460022,1.4405826330184937,1.1071958541870117,0.0,0.0,0.0,6.839779840024006,6.839779840024006,6.83941745913978,0.07040653103776191,1.0,2.87731671333313,2.734276294708252,1.4304046630859375,1.1053717136383057,0.0,0.0,0.0,2.734276391965829,1.6192769984759035,0.0,1.736692190170288,0.008055478339586114,0.0,-1.0,-0.6324675324675325,0.002094285916756489,0.6324675324675325,1.0,-0.9025974025974025,2.1977492069540088e-08,0.9025974025974025,1.0,-0.6324675324675325,0.002094285916756489,0.6324675324675325,1.0,-0.6324675324675325,0.6324675324675325,-0.48571428571428565,0.025600283346738088,0.48571428571428565,1.0,-0.48571428571428565,0.48571428571428565,-0.45584415584415583,0.03781998900387756,0.45584415584415583,1.0,-0.45584415584415583,0.45584415584415583,1.743689775466919,6.0,1.7379123449325562,5.0,1.7329534530639648,5.0,1.7308133840560913,5.0,0.7690970070993459,0.004939093260386723,1.0,0.0,1.0,0.0,0.08338908532597143,-0.6324675324675325,0.002094285916756489,0.6324675324675325,1.0,-0.6324675324675325,0.002094285916756489,-1.0,0.6324675324675325,1.0,0.09591175578439981,0.020980119705200195,1.7273954153060913,1.7483755350112915,-0.43040466236255676,-0.10537188698965383,1.0,-0.10537188698965383,-0.10537188698965383,-0.5564110855814537,-0.5564110855814537,-0.6294310145165627,-0.6294310145165627
3.0,0.810667097568512,0.6676266193389893,1.4304046630859375,1.1053717136383057,0.0,0.0,0.0,5.741329878249782,5.741329878249782,5.740908707088016,0.0695412666311165,1.0,2.3222179412841797,2.180194139480591,1.420238733291626,1.103228211402893,0.0,0.0,0.0,2.1801938187970715,1.447862927225374,0.0,1.7331384420394897,0.007854682907167418,0.0,-1.0,-0.6168831168831169,0.0028947180479421885,0.6168831168831169,1.0,-0.9077922077922078,1.3331670916365496e-08,0.9077922077922078,1.0,-0.6168831168831169,0.0028947180479421885,0.6168831168831169,1.0,-0.6168831168831169,0.6168831168831169,-0.4909090909090909,0.023839688371383023,0.4909090909090909,1.0,-0.4909090909090909,0.4909090909090909,-0.4727272727272727,0.03045523160195435,0.4727272727272727,1.0,-0.4727272727272727,0.4727272727272727,1.7400267124176025,6.0,1.7342477798461915,5.0,1.7294578790664672,5.0,1.727443552017212,5.0,0.7712012413886746,0.004718954761875459,1.0,0.0,1.0,0.0,0.08189759106666603,-0.6168831168831169,0.0028947180479421885,0.6168831168831169,1.0,-0.6168831168831169,0.0028947180479421885,-1.0,0.6168831168831169,1.0,0.09513617628922157,0.020346641540527344,1.7240355014801025,1.7443821430206299,-0.42023869834702343,-0.1032280723271175,1.0,-0.1032280723271175,-0.1032280723271175,-0.5418642900536141,-0.5418642900536141,-0.6156237326603389,-0.6156237326603389
4.0,0.6157265901565552,0.47370269894599915,1.420238733291626,1.103228211402893,0.0,0.0,0.0,4.620134576061986,4.620134576061986,4.619623788375547,0.06869901599165242,1.0,1.8468270301818848,1.7058076858520508,1.4101938009262085,1.1011048555374146,0.0,0.0,0.0,1.7058074442440212,1.2808986277807326,0.0,1.7295732498168945,0.007651784196696464,0.0,-1.0,-0.6168831168831169,0.0028947180479421885,0.6168831168831169,1.0,-0.9077922077922078,1.3331670916365496e-08,0.9077922077922078,1.0,-0.6168831168831169,0.0028947180479421885,0.6168831168831169,1.0,-0.6168831168831169,0.6168831168831169,-0.4909090909090909,0.023839688371383023,0.4909090909090909,1.0,-0.4909090909090909,0.4909090909090909,-0.4727272727272727,0.03045523160195435,0.4727272727272727,1.0,-0.4727272727272727,0.4727272727272727,1.7363361318906148,6.0,1.7305708646774292,5.0,1.7259567022323608,5.0,1.724076509475708,5.0,0.7732633235350441,0.004501713747867714,1.0,0.0,1.0,0.0,0.08036272756979879,-0.6168831168831169,0.0028947180479421885,0.6168831168831169,1.0,-0.6168831168831169,0.0028947180479421885,-1.0,0.6168831168831169,1.0,0.09436433059243718,0.019725799560546875,1.7206645011901855,1.7403903007507324,-0.41019377489830156,-0.10110477397823003,1.0,-0.10110477397823003,-0.10110477397823003,-0.5273969028053807,-0.5273969028053807,-0.6020796479112944,-0.6020796479112944
5.0,0.4682074785232544,0.32718807458877563,1.4101938009262085,1.1011048555374146,0.0,0.0,0.0,3.5839600617831846,3.5839600617831846,3.583317279254932,0.06787488968654388,1.0,1.4532735347747803,1.3132442235946655,1.4002925157546997,1.0990575551986694,0.0,0.0,0.0,1.3132442308371988,1.1219456820260911,0.0,1.7259671688079834,0.007448521908480293,0.0,-1.0,-0.625974025974026,0.002401601261543425,0.625974025974026,1.0,-0.9038961038961039,1.9447237283174465e-08,0.9038961038961039,1.0,-0.625974025974026,0.002401601261543425,0.625974025974026,1.0,-0.625974025974026,0.625974025974026,-0.4714285714285714,0.030978075295294817,0.4714285714285714,1.0,-0.4714285714285714,0.4714285714285714,-0.47402597402597396,0.029939368084679438,0.47402597402597396,1.0,-0.47402597402597396,0.47402597402597396,1.7325940330823262,6.0,1.7268521070480347,5.0,1.7224179267883302,5.0,1.7206787824630738,5.0,0.7752991022494717,0.0042878101058506195,1.0,0.0,1.0,0.0,0.0788255929200539,-0.625974025974026,0.002401601261543425,0.625974025974026,1.0,-0.625974025974026,0.002401601261543425,-1.0,0.625974025974026,1.0,0.09356639345423587,0.019115090370178223,1.7172505855560303,1.7363656759262085,-0.400292561349984,-0.09905741838021176,1.0,-0.09905741838021176,-0.09905741838021176,-0.5130230847347443,-0.5130230847347443,-0.5887971809349959,-0.5887971809349959
6.0,0.35808247327804565,0.2180532068014145,1.4002925157546997,1.0990575551986694,0.0,0.0,0.0,2.6348912512270353,2.6348912512270353,2.634037550847381,0.0670677755610295,1.0,1.13767409324646,0.9986202716827393,1.3905378580093384,1.097060203552246,0.0,0.0,0.0,0.9986202767105244,0.9739286587351844,0.0,1.7223198413848877,0.007247678873606537,0.0,-1.0,-0.5987012987012986,0.004137339094531022,0.5987012987012986,1.0,-0.9025974025974025,2.1977492069540088e-08,0.9025974025974025,1.0,-0.5987012987012986,0.004137339094531022,0.5987012987012986,1.0,-0.5987012987012986,0.5987012987012986,-0.44285714285714284,0.04437704849154563,0.44285714285714284,1.0,-0.44285714285714284,0.44285714285714284,-0.512987012987013,0.017401319733001772,0.512987012987013,1.0,-0.512987012987013,0.512987012987013,1.7288017670313518,6.0,1.7230891704559326,5.0,1.7188405990600586,5.0,1.7172511339187622,5.0,0.7773094204807551,0.004078987643489123,1.0,0.0,1.0,0.0,0.07730922366926163,-0.5987012987012986,0.004137339094531022,0.5987012987012986,1.0,-0.5987012987012986,0.004137339094531022,-1.0,0.5987012987012986,1.0,0.09282224508138741,0.018721938133239746,1.7137887477874756,1.7325106859207153,-0.39053780820005096,-0.09706014681901509,1.0,-0.09706014681901509,-0.09706014681901509,-0.49871083832209173,-0.49871083832209173,-0.575842439459046,-0.575842439459046
7.0,0.2841028571128845,0.145049050450325,1.3905378580093384,1.097060203552246,0.0,0.0,0.0,1.8257684686655389,1.8257684686655389,1.824565158770746,0.066275806846759,1.0,0.8935287594795227,0.7554343938827515,1.3809434175491333,1.0950671434402466,0.0,0.0,0.0,0.755434404514334,0.8402953417528243,0.0,1.7186644077301025,0.00705412426119787,0.0,-1.0,-0.5987012987012986,0.004137339094531022,0.5987012987012986,1.0,-0.9025974025974025,2.1977492069540088e-08,0.9025974025974025,1.0,-0.5987012987012986,0.004137339094531022,0.5987012987012986,1.0,-0.5987012987012986,0.5987012987012986,-0.44285714285714284,0.04437704849154563,0.44285714285714284,1.0,-0.44285714285714284,0.44285714285714284,-0.512987012987013,0.017401319733001772,0.512987012987013,1.0,-0.512987012987013,0.512987012987013,1.7249929110209148,6.0,1.719311809539795,5.0,1.7152577877044677,5.0,1.7138291120529174,5.0,0.7793074356211586,0.0038783258568252294,1.0,0.0,1.0,0.0,0.0758379595871412,-0.5987012987012986,0.004137339094531022,0.5987012987012986,1.0,-0.5987012987012986,0.004137339094531022,-1.0,0.5987012987012986,1.0,0.09216298933041148,0.018558621406555176,1.7103017568588257,1.7288603782653809,-0.3809433453325833,-0.09506705295560303,1.0,-0.09506705295560303,-0.09506705295560303,-0.4844430891313418,-0.4844430891313418,-0.5633198939108051,-0.5633198939108051
8.0,0.23818305134773254,0.1000887081027031,1.3809434175491333,1.0950671434402466,0.0,0.0,0.0,1.1294798026314945,1.1294798026314945,1.1275790553579423,0.06549884327658108,1.0,0.7096987962722778,0.5725420713424683,1.3715672492980957,1.0928773880004883,0.0,0.0,0.0,0.572542150360956,0.7233200527372814,0.0,1.7151644229888916,0.006861576065641516,0.0,-1.0,-0.6,0.00403591538162697,0.6,1.0,-0.8883116883116883,7.615212819509366e-08,0.8883116883116883,1.0,-0.6,0.00403591538162697,0.6,1.0,-0.6,0.6,-0.4116883116883117,0.06369892951455675,0.4116883116883117,1.0,-0.4116883116883117,0.4116883116883117,-0.5246753246753247,0.014608927612336524,0.5246753246753247,1.0,-0.5246753246753247,0.5246753246753247,1.7213138739267986,6.0,1.7156769514083863,5.0,1.7118410110473632,5.0,1.7105960845947266,5.0,0.7813605636717156,0.0036842111994790368,1.0,0.0,1.0,0.0,0.07441989881907843,-0.6,0.00403591538162697,0.6,1.0,-0.6,0.00403591538162697,-1.0,0.6,1.0,0.09141899940603611,0.01841270923614502,1.7069475650787354,1.7253602743148804,-0.3715672712613966,-0.09287735053567236,1.0,-0.09287735053567236,-0.09287735053567236,-0.4702851794134688,-0.4702851794134688,-0.5515392838350481,-0.5515392838350481
9.0,0.2162756323814392,0.07911890000104904,1.3715672492980957,1.0928773880004883,0.0,0.0,0.0,0.6612571941835549,0.6612571941835549,0.6580799081794771,0.06474497131050758,1.0,0.5799576640129089,0.4436981976032257,1.362594723701477,1.090106725692749,0.0,0.0,0.0,0.44369817859411886,0.6289716533252171,0.0,1.7124292850494385,0.0066371632781418236,0.0,-1.0,-0.5675324675324676,0.007287579658099422,0.5675324675324676,1.0,-0.8584415584415584,6.409520654006245e-07,0.8584415584415584,1.0,-0.5675324675324676,0.007287579658099422,0.5675324675324676,1.0,-0.5675324675324676,0.5675324675324676,-0.33766233766233766,0.1343969724884117,0.33766233766233766,1.0,-0.33766233766233766,0.33766233766233766,-0.5675324675324676,0.007287579658099422,0.5675324675324676,1.0,-0.5675324675324676,0.5675324675324676,1.7183255950609844,6.0,1.712787652015686,5.0,1.7092166662216186,5.0,1.7082075119018554,5.0,0.7831140233465387,0.003493438350255882,1.0,0.0,1.0,0.0,0.0730602801813749,-0.5675324675324676,0.007287579658099422,0.5675324675324676,1.0,-0.5675324675324676,0.007287579658099422,-1.0,0.5675324675324676,1.0,0.09013016028136957,0.01818537712097168,1.7043585777282715,1.7225439548492432,-0.3625948179136224,-0.09010675876844765,1.0,-0.09010675876844765,-0.09010675876844765,-0.45654236227436074,-0.45654236227436074,-0.5411353326980586,-0.5411353326980586
10.0,0.20961274206638336,0.07335326075553894,1.362594723701477,1.090106725692749,0.0,0.0,0.0,0.7444440289298854,0.7444440289298854,0.7416846532908502,0.06403738972031277,1.0,0.4965502619743347,0.36107656359672546,1.3547369241714478,1.086863398551941,0.0,0.0,0.0,0.3610765811181325,0.5619961065905434,0.0,1.7108819484710693,0.006447285414682802,0.0,-1.0,-0.5298701298701299,0.01349023456881028,0.5298701298701299,1.0,-0.8337662337662338,2.6652061559546158e-06,0.8337662337662338,1.0,-0.5298701298701299,0.01349023456881028,0.5298701298701299,1.0,-0.5298701298701299,0.5298701298701299,-0.3103896103896104,0.17087682060108259,0.3103896103896104,1.0,-0.3103896103896104,0.3103896103896104,-0.5844155844155844,0.005399998364912409,0.5844155844155844,1.0,-0.5844155844155844,0.5844155844155844,1.7165075143178303,6.0,1.7110809564590455,5.0,1.707778024673462,5.0,1.7070359230041503,5.0,0.7842695254459814,0.0033509240738748697,1.0,0.0,1.0,0.0,0.07194959859462838,-0.5298701298701299,0.01349023456881028,0.5298701298701299,1.0,-0.5298701298701299,0.01349023456881028,-1.0,0.5298701298701299,1.0,0.08895356634514029,0.0180208683013916,1.7028958797454834,1.720916748046875,-0.35473689402865216,-0.0868634569044966,1.0,-0.0868634569044966,-0.0868634569044966,-0.44422343918247265,-0.44422343918247265,-0.5331237859989872,-0.5331237859989872
