experiment,scenario,best_epoch,best_val_task_loss,total_loss,task_loss,recon_loss,kstar_mae,kstar_rmse,kstar_spearman_rho,kstar_spearman_p,z_spearman_rho,z_spearman_p,proxy_recon_r2,omega_entropy_mean,omega_peak_accuracy
E1a_linear,linear,1.0,0.37271642684936523,0.43803802132606506,0.3170057535171509,1.210322618484497,2.2515303349494933,2.7547754475220434,0.9295291855881714,9.932501174919088e-88,0.9321458036450913,2.6748063848903827e-89,-24.287403211723127,1.6986091894453859,0.055
E1b_identification,linear,,,,,,,,,,0.9321458036450913,2.6748063848903827e-89,-24.287403211723127,,
