epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2
1.0,2.28354549407959,2.28354549407959,,,,,,19.839024214892163,19.839024214892163,19.839024214892163,0.0,1.0,21.247892379760742,21.247892379760742,,,,,,21.247893159256435,4.580912799530086,0.0,1.523809552192688,0.18747637795266214,0.0,-1.0,0.17931288310616972,0.43672577649432315,-0.17931288310616972,1.0,0.22093908811295915,0.33582936520486184,-0.22093908811295915,1.0,0.17931288310616972,0.43672577649432315,-0.17931288310616972,1.0,0.17931288310616972,-0.17931288310616972,0.2273431196524652,0.3216460837509759,-0.2273431196524652,1.0,0.2273431196524652,-0.2273431196524652,0.17931288310616972,0.43672577649432315,-0.17931288310616972,1.0,0.17931288310616972,-0.17931288310616972,1.5,6.0,1.5,5.0,1.5,5.0,1.6,5.0,0.5941261810809256,0.24255092254399713,0.9047619047619048,0.9047619047619048,0.09523809523809523
2.0,1.6336822509765625,1.6336822509765625,,,,,,16.238181361216714,16.238181361216714,16.238181361216714,0.0,1.0,19.268953323364258,19.268953323364258,,,,,,19.26895295466673,4.361695681299482,0.0,1.523809552192688,0.18747637795266214,0.0,-1.0,0.17931288310616972,0.43672577649432315,-0.17931288310616972,1.0,0.22093908811295915,0.33582936520486184,-0.22093908811295915,1.0,0.17931288310616972,0.43672577649432315,-0.17931288310616972,1.0,0.17931288310616972,-0.17931288310616972,0.2273431196524652,0.3216460837509759,-0.2273431196524652,1.0,0.2273431196524652,-0.2273431196524652,0.17931288310616972,0.43672577649432315,-0.17931288310616972,1.0,0.17931288310616972,-0.17931288310616972,1.5,6.0,1.5,5.0,1.5,5.0,1.6,5.0,0.5941261810809256,0.24255092254399713,0.9047619047619048,0.9047619047619048,0.09523809523809523
3.0,1.1106675863265991,1.1106675863265991,,,,,,12.77206424417272,12.77206424417272,12.77206424417272,0.0,1.0,17.452682495117188,17.452682495117188,,,,,,17.45268333231361,4.151158584725289,0.0,1.5,0.1543033499620919,0.0,-1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.22934123614693147,0.3172954677561135,-0.22934123614693147,1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,-0.2038588765750502,0.3754262957948507,0.2038588765750502,1.0,-0.2038588765750502,0.2038588765750502,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,1.5,6.0,1.4,5.0,1.5,5.0,1.6,5.0,0.6271331809072654,0.20346881192548424,0.9523809523809523,0.9523809523809523,0.047619047619047616
4.0,0.71314936876297,0.71314936876297,,,,,,9.536725806975868,9.536725806975868,9.536725806975868,0.0,1.0,15.808419227600098,15.808419227600098,,,,,,15.808420311348181,3.951480899360918,0.0,1.5,0.1543033499620919,0.0,-1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.22934123614693147,0.3172954677561135,-0.22934123614693147,1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,-0.2038588765750502,0.3754262957948507,0.2038588765750502,1.0,-0.2038588765750502,0.2038588765750502,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,1.5,6.0,1.4,5.0,1.5,5.0,1.6,5.0,0.6271331809072654,0.20346881192548424,0.9523809523809523,0.9523809523809523,0.047619047619047616
5.0,0.4367082715034485,0.4367082715034485,,,,,,6.676882320771408,6.676882320771408,6.676882320771408,0.0,1.0,14.337831497192383,14.337831497192383,,,,,,14.337830764133864,3.7643036459173476,0.0,1.5,0.1543033499620919,0.0,-1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.22934123614693147,0.3172954677561135,-0.22934123614693147,1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,-0.2038588765750502,0.3754262957948507,0.2038588765750502,1.0,-0.2038588765750502,0.2038588765750502,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,1.5,6.0,1.4,5.0,1.5,5.0,1.6,5.0,0.6271331809072654,0.20346881192548424,0.9523809523809523,0.9523809523809523,0.047619047619047616
6.0,0.2617129683494568,0.2617129683494568,,,,,,4.270562797935908,4.270562797935908,4.270562797935908,0.0,1.0,13.047063827514648,13.047063827514648,,,,,,13.047063288159345,3.5923684466452825,0.0,1.5,0.1543033499620919,0.0,-1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.22934123614693147,0.3172954677561135,-0.22934123614693147,1.0,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,-0.2038588765750502,0.3754262957948507,0.2038588765750502,1.0,-0.2038588765750502,0.2038588765750502,0.280305955290694,0.2184254488303006,-0.280305955290694,1.0,0.280305955290694,-0.280305955290694,1.5,6.0,1.4,5.0,1.5,5.0,1.6,5.0,0.6271331809072654,0.20346881192548424,0.9523809523809523,0.9523809523809523,0.047619047619047616
7.0,0.1540919542312622,0.1540919542312622,,,,,,2.3468020120214397,2.3468020120214397,2.3468020120214397,0.0,1.0,11.968242645263672,11.968242645263672,,,,,,11.968242044223606,3.4426478033974055,0.0,1.5,0.1543033499620919,0.0,-1.0,0.05096471914376255,0.82634570000905,-0.05096471914376255,1.0,-0.2038588765750502,0.3754262957948507,0.2038588765750502,1.0,0.05096471914376255,0.82634570000905,-0.05096471914376255,1.0,0.05096471914376255,-0.05096471914376255,-0.25482359571881275,0.2649479595040434,0.25482359571881275,1.0,-0.25482359571881275,0.25482359571881275,0.05096471914376255,0.82634570000905,-0.05096471914376255,1.0,0.05096471914376255,-0.05096471914376255,1.5,6.0,1.5,5.0,1.5,5.0,1.5,5.0,0.6271331809072654,0.20346881192548424,0.9523809523809523,0.9523809523809523,0.047619047619047616
8.0,0.11338736861944199,0.11338736861944199,,,,,,1.633560337285629,1.633560337285629,1.633560337285629,0.0,1.0,11.2061128616333,11.2061128616333,,,,,,11.206112545515365,3.3339021773565385,0.0,1.523809552192688,0.18747637795266214,0.0,-1.0,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,-0.04376088218662476,0.8506041637744856,0.04376088218662476,1.0,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,0.1451580482288041,-0.1451580482288041,-0.2753733561987607,0.22697843873834536,0.2753733561987607,1.0,-0.2753733561987607,0.2753733561987607,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,0.1451580482288041,-0.1451580482288041,1.5,6.0,1.5,5.0,1.6,5.0,1.5,5.0,0.5941261810809256,0.24255092254399716,0.9047619047619048,0.9047619047619048,0.09523809523809523
9.0,0.10330497473478317,0.10330497473478317,,,,,,2.035533887935183,2.035533887935183,2.035533887935183,0.0,1.0,10.755083084106445,10.755083084106445,,,,,,10.75508336497126,3.2688499433653697,0.0,1.523809552192688,0.18747637795266214,0.0,-1.0,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,-0.04376088218662476,0.8506041637744856,0.04376088218662476,1.0,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,0.1451580482288041,-0.1451580482288041,-0.2753733561987607,0.22697843873834536,0.2753733561987607,1.0,-0.2753733561987607,0.2753733561987607,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,0.1451580482288041,-0.1451580482288041,1.5,6.0,1.5,5.0,1.6,5.0,1.5,5.0,0.5941261810809256,0.24255092254399716,0.9047619047619048,0.9047619047619048,0.09523809523809523
10.0,0.10061066597700119,0.10061066597700119,,,,,,2.445333690251804,2.445333690251804,2.445333690251804,0.0,1.0,10.543315887451172,10.543315887451172,,,,,,10.54331622128873,3.2389036189942133,0.0,1.523809552192688,0.18747637795266214,0.0,-1.0,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,-0.04376088218662476,0.8506041637744856,0.04376088218662476,1.0,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,0.1451580482288041,-0.1451580482288041,-0.2753733561987607,0.22697843873834536,0.2753733561987607,1.0,-0.2753733561987607,0.2753733561987607,0.1451580482288041,0.5301318242640417,-0.1451580482288041,1.0,0.1451580482288041,-0.1451580482288041,1.5,6.0,1.5,5.0,1.6,5.0,1.5,5.0,0.5941261810809256,0.24255092254399716,0.9047619047619048,0.9047619047619048,0.09523809523809523
